round,accuracy,flops,memory_bytes,communication_bytes,sparsity,avg_grad_norm,avg_phi,skipped_batches,effective_compute_ratio,compression_ratio
1,0.6814,435174068.30082095,6466340.0,63094928.0,0.9701741717952157,3.617529907822609,5.318895748408179,0,0.239106630934517,0.9701741717952156
2,0.776,434627335.70697427,6323372.0,60078200.0,0.9237876922206381,4.742125231027603,7.606983438899476,0,0.23880622841042543,0.9237876922206381
3,0.7364,318299298.9803349,6230800.0,58137560.0,0.8939475946972261,4.162447732686997,6.447264172247159,1,0.1748897247144697,0.893947594697226
4,0.8162,269392937.02387756,6280988.0,56515616.0,0.8690079010201333,4.8546671003103254,7.623243737723348,0,0.1480180972658668,0.8690079010201333
5,0.8347,260239899.31300557,5913156.0,54514368.0,0.8382358693766891,3.9447171092033386,5.544652464082572,0,0.14298895566648656,0.8382358693766891
6,0.5041,255133891.31119478,6197676.0,54717880.0,0.8413651555540247,3.7879248589277266,5.7687225659276855,3,0.14018345676439273,0.8413651555540248
7,0.8505,265539262.2684593,5694104.0,53414920.0,0.8213302941324807,3.050018012523651,4.726850118433377,2,0.14590069355409852,0.8213302941324808
8,0.8066,237792930.99545282,5790132.0,53035640.0,0.8154983252002317,3.6871251203119755,5.875929403899502,4,0.13065545659090813,0.8154983252002318
9,0.8344,225542612.965296,5556720.0,51705192.0,0.7950407967200248,5.29595168530941,8.04773357520074,7,0.1239245126182945,0.7950407967200249
10,0.8672,215081346.20873612,5322404.0,51022152.0,0.7845380861645425,7.844936581328511,13.190874658734739,7,0.11817656385095392,0.7845380861645425
11,0.8681,221178245.75303638,5402676.0,51942472.0,0.7986893138794956,3.33521918207407,4.931034508397559,4,0.1215265086555145,0.7986893138794956
12,0.858,224158205.54713494,5589200.0,53277896.0,0.8192233554302752,5.5172918170690535,8.656066325123295,7,0.12316384920172249,0.8192233554302754
13,0.8721,223610953.1554497,5549652.0,52898696.0,0.813392616611701,7.286503458023072,11.975183847659988,8,0.12286316107442291,0.813392616611701
14,0.8328,201348641.63599154,5503480.0,51681720.0,0.7946798813678372,2.463765097307578,5.87721553259924,12,0.11063112177801733,0.7946798813678372
15,0.8632,197309650.64664084,5481456.0,51096776.0,0.7856855362004003,3.859078508615494,5.971572488418991,14,0.10841189595969276,0.7856855362004003
16,0.8368,186794334.14204445,5513468.0,51424184.0,0.790719899425906,4.7575625568628315,7.785732228970166,6,0.10263424952859586,0.7907198994259059
17,0.8608,200214653.13182825,5488716.0,52206344.0,0.8027467208244714,4.215007403492928,6.331306807817727,5,0.1100080511713342,0.8027467208244714
18,0.8776,203673007.79020095,5446464.0,52779032.0,0.8115526125769282,5.473470485210418,9.059898665430017,13,0.11190824603857195,0.8115526125769282
19,0.8711,181101933.89401776,5350184.0,51685728.0,0.7947415100629449,3.5775449723005295,5.876220867403076,15,0.09950655708462514,0.7947415100629449
20,0.875,172346762.9820279,5620820.0,52838112.0,0.8124610515257714,3.486117574572563,5.39176274643337,21,0.09469602361649884,0.8124610515257715
21,0.8665,173435674.86368382,5340132.0,51320384.0,0.7891238269328469,6.3138014554977415,9.591711008571469,20,0.09529432684817793,0.7891238269328469
22,0.8764,152328600.8149446,5171088.0,50134376.0,0.7708872686924999,3.9708193600177766,6.378034611613189,23,0.08369703341480472,0.7708872686924999
23,0.8807,152792283.24737704,5333864.0,50814040.0,0.7813380684509055,7.68578850030899,12.65209335423065,22,0.0839518039820753,0.7813380684509056
24,0.8504,153621526.8892345,5585024.0,51447592.0,0.7910798306871538,4.55626325905323,6.878624022248593,29,0.08440743235672225,0.7910798306871538
25,0.883,141171363.5066238,5445548.0,51298600.0,0.7887888669791976,4.496659004688263,6.90614804490618,30,0.0775666832453977,0.7887888669791976
26,0.8262,143722995.73335168,5558648.0,50545240.0,0.7772048865035618,3.9356758101144806,7.9997700115046415,36,0.07896867897436906,0.7772048865035618
27,0.8719,148776268.55278438,5249092.0,50378832.0,0.7746461270486005,4.458544844388962,7.043504776900013,36,0.08174520250152988,0.7746461270486006
28,0.8757,136816238.85356587,5235132.0,50202528.0,0.771935202532066,5.602438795566559,8.666912110800116,48,0.07517375761184938,0.7719352025320659
29,0.8722,150436879.93346587,5458308.0,51858536.0,0.7973986786118905,6.26314679980278,10.228181133405034,36,0.08265762633706916,0.7973986786118905
30,0.8879,145033967.09710446,5379908.0,51370552.0,0.7898952312183168,2.17868927823456,3.9538957789754314,45,0.07968899291049696,0.7898952312183168
31,0.8657,131548279.68445495,5411432.0,50935448.0,0.783204888963789,4.9390026492998,7.941458673253557,63,0.07227927455189832,0.7832048889637891
32,0.8752,130629098.09846261,5379020.0,51418720.0,0.7906358826619168,3.2865440770983696,4.51696929007887,48,0.07177422972443001,0.7906358826619168
33,0.8334,123654975.41879098,5340764.0,51131320.0,0.7862166992851809,5.390108865499497,8.418531270959992,56,0.06794229418614889,0.7862166992851809
