round,accuracy,flops,memory_bytes,communication_bytes,sparsity,avg_grad_norm,avg_phi,skipped_batches,effective_compute_ratio,compression_ratio
1,0.4831,137086729.9610244,6233188.0,61641184.0,0.9478207921193997,2.9528259694576264,3.152097717411185,0,0.3080600673281447,0.9478207921193997
2,0.1009,94762713.20938566,6357900.0,62738544.0,0.9646942613966957,31.006037283223122,32.77837960774722,0,0.21294991732446217,0.9646942613966957
3,0.0787,4968610.977146119,6271648.0,56437976.0,0.8678140756987354,3.293766065686941,inf,5,0.011165417926171053,0.8678140756987354
4,0.1,212054.75778035866,5876140.0,34796160.0,0.535040403083649,nan,nan,43,0.0004765275455738397,0.535040403083649
5,0.1,0.0,5461644.0,19101656.0,0.29371510321268784,nan,nan,0,0.0,0.2937151032126879
6,0.1,0.0,4332656.0,11355696.0,0.17460996170656132,nan,nan,0,0.0,0.1746099617065613
7,0.1,0.0,2182684.0,4680616.0,0.07197112185137029,nan,nan,0,0.0,0.07197112185137028
8,0.1,0.0,24084.0,49480.0,0.0007608253078666999,nan,nan,0,0.0,0.0007608253078666999
9,0.1,0.0,8.0,16.0,2.4602273496093775e-07,nan,nan,0,0.0,2.4602273496093775e-07
10,0.1,0.0,0.0,0.0,0.0,nan,nan,0,0.0,0.0
11,0.1,0.0,0.0,0.0,0.0,nan,nan,0,0.0,0.0
