round,accuracy,flops,memory_bytes,communication_bytes,sparsity,avg_grad_norm,avg_phi,skipped_batches,effective_compute_ratio,compression_ratio
1,0.6409,332494678.37739414,6436704.0,64040888.0,0.9847196509429436,6.081336212158203,11.393458675382485,0,0.17733049513461022,0.9847196509429437
2,0.8096,185626979.53780437,3266392.0,27104040.0,0.4167631280806659,4.0946963965892795,7.156024427732518,0,0.09900105575349566,0.41676312808066596
3,0.832,130775130.53384769,2523684.0,23224728.0,0.3571131938302418,2.8612118870019914,5.009310203605876,0,0.06974673628471877,0.35711319383024187
4,0.8397,109847912.68872653,2395564.0,20503616.0,0.3152722303068026,5.029321950674057,8.455679386600297,0,0.05858555343398748,0.3152722303068026
5,0.8228,94863205.81779882,2036888.0,19461080.0,0.29924175793085034,6.362051385641098,11.238283969991333,0,0.050593709769492706,0.2992417579308504
6,0.8498,68293544.91053325,2101208.0,19683464.0,0.30266122792407246,2.6208498388528825,4.513406631094524,0,0.0364232239522844,0.30266122792407246
7,0.8709,59445597.15852049,1680504.0,14688712.0,0.22585981870584662,4.072928711771965,7.3756361336899205,0,0.03170431848454426,0.22585981870584662
8,0.8726,60128628.127399065,1508800.0,14109144.0,0.21694813717735656,6.010245889425278,10.363946356672136,0,0.032068601667946166,0.21694813717735656
9,0.8622,56170917.526229784,1476332.0,13887272.0,0.21353653991165325,3.5245265424251557,6.187582172836448,0,0.029957822680655884,0.21353653991165322
10,0.8659,53067797.631936386,1492412.0,14127920.0,0.21723684485683323,3.727736160159111,6.554721955959304,0,0.028302825403699407,0.21723684485683323
11,0.8738,48002969.30670656,1519820.0,14160616.0,0.21773959231572587,6.042110669612884,10.59558572074678,0,0.0256015836302435,0.2177395923157259
12,0.8745,45850770.654121,1551660.0,14650304.0,0.22526924113057287,4.350741538405418,7.520940690708942,0,0.02445374434886453,0.22526924113057287
13,0.8851,48700772.99167342,1485036.0,14659680.0,0.22541341045326,4.179930320382118,7.174565379666939,1,0.025973745595559157,0.22541341045326
14,0.8871,48681077.267179765,1545092.0,14919024.0,0.22940119296424183,2.889930987358093,5.05836976558407,0,0.025963241209162543,0.22940119296424183
15,0.8862,45499873.280053556,1741660.0,15488152.0,0.23815234465816987,3.052875256538391,5.177385148252934,0,0.02426659908269523,0.23815234465816987
16,0.8851,40955369.973032035,1522220.0,14297056.0,0.2198375511881053,3.8030577659606934,6.6140097122384685,4,0.021842863985617085,0.2198375511881053
17,0.8798,40889805.93393832,1536236.0,13813240.0,0.21239819271698898,3.7229370385408402,6.33374212677862,0,0.021807896498100436,0.21239819271698898
18,0.8845,39317042.848565966,1405616.0,13687320.0,0.21046199379284639,4.426886707544327,7.540332375374325,1,0.020969089519235182,0.21046199379284639
19,0.879,39203383.053483196,1535184.0,14370464.0,0.22096630349610608,2.811838874220848,5.0430189860137755,1,0.020908470961857703,0.22096630349610608
20,0.8921,38589834.599712595,1523988.0,14748344.0,0.226776745439046,3.4660607665777206,5.877569085635941,3,0.020581245119846717,0.22677674543904602
21,0.8959,37995120.05177064,1515688.0,14430624.0,0.22189134897955923,3.8127457082271574,6.669856706965175,4,0.02026406402761101,0.2218913489795592
22,0.8965,36580348.44294405,1516892.0,14586504.0,0.22428822547491611,4.169043189287185,6.650860046913041,3,0.01950951916957016,0.22428822547491614
23,0.885,36494633.47178204,1505984.0,14747472.0,0.22676333719999064,4.143765333294868,7.543284733768436,2,0.019463804518283757,0.22676333719999064
24,0.9005,36450400.21357847,1571924.0,14910808.0,0.2292748602898394,4.466511809825898,7.504026653537454,3,0.01944021344724185,0.22927486028983937
25,0.8983,34662631.51808034,1596076.0,15385136.0,0.23656832727912386,3.4298957735300064,5.953181490612187,2,0.018486736809642846,0.23656832727912386
26,0.9033,33306413.136552427,1578596.0,15195864.0,0.23365800133590345,3.1185814112424852,5.313191611733633,5,0.01776342033949463,0.23365800133590345
27,0.9008,32407809.393515874,1542784.0,14993896.0,0.23055245635249152,4.010238593816757,7.16897989806113,6,0.017284165009875133,0.23055245635249152
28,0.8383,32377637.743351508,1643708.0,15166680.0,0.2332092558673347,7.3701602011919025,11.690268836461751,4,0.017268073463120804,0.2332092558673347
29,0.8845,31680690.955886714,1873008.0,17136488.0,0.26349785283658067,4.350732469558716,7.53430684959191,0,0.016896368509806248,0.2634978528365806
30,0.8924,27999196.62014526,1531444.0,14085992.0,0.2165921422798681,4.065421921014786,7.204370694945335,0,0.014932904864077473,0.2165921422798681
31,0.8937,27685296.549280524,1418788.0,13310984.0,0.20467529304383017,3.8831562638282775,6.570487304550478,4,0.014765491492949614,0.20467529304383017
32,0.8971,26567446.383929446,1407524.0,13312808.0,0.2047033396356157,2.872067630290985,5.085959786189017,5,0.014169304738095705,0.20470333963561574
33,0.901,25871549.034467824,1410784.0,13318320.0,0.20478809446780977,3.603038528561592,6.051077805723962,11,0.013798159485049507,0.20478809446780977
34,0.8994,26094373.142260976,1374068.0,13157168.0,0.20231015348128317,2.5802666664123537,4.603600573735225,9,0.013916999009205854,0.2023101534812832
35,0.8986,26032786.633137144,1406728.0,13473880.0,0.2071800505084675,4.043296241760254,7.043101676587031,14,0.013884152871006477,0.2071800505084675
36,0.9023,26018825.29379344,1475128.0,14093160.0,0.21670236046513058,3.944944229820976,8.623569925873571,14,0.013876706823356502,0.21670236046513058
