round,accuracy,flops,memory_bytes,communication_bytes,sparsity,avg_grad_norm,avg_phi,skipped_batches,effective_compute_ratio,compression_ratio
1,0.641,314194838.0691323,6322044.0,62783488.0,0.9653853392592009,4.847042003273964,5.875130931913033,0,0.14716385858038986,0.9653853392592009
2,0.1284,159163807.67602992,5795360.0,44188712.0,0.6794642362900756,7.22303535938263,inf,297,0.07454979282249645,0.6794642362900756
3,0.1284,0.0,0.0,0.0,0.0,0.0,0.0,1878,0.0,0.0
4,0.1284,0.0,0.0,0.0,0.0,0.0,0.0,1878,0.0,0.0
5,0.1284,0.0,0.0,0.0,0.0,0.0,0.0,1878,0.0,0.0
6,0.1284,0.0,0.0,0.0,0.0,0.0,0.0,1878,0.0,0.0
7,0.1284,0.0,0.0,0.0,0.0,0.0,0.0,1878,0.0,0.0
8,0.1284,0.0,0.0,0.0,0.0,0.0,0.0,1878,0.0,0.0
9,0.1284,0.0,0.0,0.0,0.0,0.0,0.0,1878,0.0,0.0
10,0.1284,0.0,0.0,0.0,0.0,0.0,0.0,1878,0.0,0.0
11,0.1284,0.0,0.0,0.0,0.0,0.0,0.0,1878,0.0,0.0
