round,accuracy,flops,memory_bytes,communication_bytes,sparsity,avg_grad_norm,avg_phi,skipped_batches,effective_compute_ratio,compression_ratio
1,0.6953,396301344.9538395,6399960.0,63684200.0,0.9792350661124596,3.9848092973232268,5.835026053101037,0,0.2113607173087144,0.9792350661124595
2,0.7919,247994136.43432218,4483028.0,39455096.0,0.6066781641291471,3.118426966667175,4.5622984892859915,0,0.1322635394316385,0.6066781641291472
3,0.8411,182790310.47617173,4644884.0,36618632.0,0.5630634996980071,3.9804315328598023,5.879649147581663,0,0.09748816558729159,0.5630634996980071
4,0.8348,140791758.52837542,3601116.0,33090080.0,0.5088069988547641,3.480262342095375,5.291620391880317,0,0.07508893788180022,0.5088069988547642
5,0.8721,112187934.90777737,3269472.0,29390216.0,0.45191633258829444,5.184320130944252,7.841985253781763,0,0.05983356528414793,0.4519163325882945
6,0.8684,113585158.87974644,3607424.0,30873984.0,0.4747313739262645,3.699140179157257,5.3702892620683205,0,0.06057875140253143,0.4747313739262645
7,0.8683,103518816.06661285,3095876.0,29026592.0,0.4463250969022047,4.735344099998474,7.148678421100129,0,0.05521003523552685,0.44632509690220473
8,0.8831,93162039.13308793,2879036.0,26620416.0,0.40932672188236907,7.252498167753219,11.071229949889343,0,0.049686420870980234,0.4093267218823691
9,0.8568,90423494.98533493,2755232.0,26850672.0,0.412867235061192,5.234536918997764,7.690431102187328,0,0.04822586399217863,0.412867235061192
10,0.8806,85905095.98728372,3271448.0,29498568.0,0.45358239854945,3.6851033568382263,5.479578710364265,0,0.04581605119321799,0.4535823985494499
11,0.8852,79497615.69654141,2772660.0,26454400.0,0.40677398998441444,5.1975231856107715,7.8025445588978055,0,0.04239872837148875,0.40677398998441444
12,0.8877,74505403.43694022,2914104.0,27208104.0,0.4183632599488519,3.0969298869371413,4.702859047997059,0,0.03973621516636812,0.4183632599488519
13,0.887,67586014.54695773,2804216.0,26539136.0,0.40807692638876764,5.202296394109726,7.813886519848682,2,0.036045874425044123,0.4080769263887676
14,0.8956,67024664.8688018,3073572.0,28873952.0,0.4439780400106773,4.246091115474701,6.385174097058434,0,0.035746487930027625,0.44397804001067737
15,0.8986,63748138.57010687,2709768.0,26312208.0,0.40458758593881655,4.39227465391159,6.432724831063444,2,0.033999007237390334,0.4045875859388166
16,0.8966,63506815.19556703,2865180.0,26832952.0,0.4125947648822227,2.677784964442253,4.052876132532811,0,0.033870301437635746,0.41259476488222274
17,0.8763,61179795.919371665,2971280.0,27096136.0,0.4166415928495952,6.038377320766449,9.147836543677306,1,0.03262922449033155,0.41664159284959523
18,0.899,57272271.953308,2718920.0,26424624.0,0.4063161416746522,5.158541226387024,7.591931649576298,1,0.030545211708430935,0.40631614167465213
19,0.9009,58824383.99342531,2774436.0,26676304.0,0.41018607929558765,4.831443771719933,7.176174478199056,4,0.0313730047964935,0.4101860792955877
20,0.8937,55669679.23859767,3387672.0,30049264.0,0.46205013205270296,4.958224001526832,7.478549826192278,1,0.029690495593918755,0.462050132052703
21,0.9022,56080187.890002154,3395904.0,31270880.0,0.48083421388970554,6.949908796697855,9.974772047274202,3,0.029909433541334483,0.48083421388970554
22,0.8984,52535624.298734285,3135672.0,28006224.0,0.4306354890255408,2.3307108387351034,3.3819083854643557,4,0.02801899962599162,0.43063548902554083
23,0.9027,53050421.62063741,3516516.0,29660624.0,0.4560742398205019,3.889310222864151,5.499680841572697,4,0.028293558197673284,0.4560742398205018
24,0.8464,47473254.09440757,3318408.0,28482608.0,0.43796056993626775,4.896280586719513,7.357699018754853,6,0.025319068850350707,0.4379605699362678
25,0.8994,44908019.77323282,2897268.0,26584840.0,0.4087796903311835,3.9782925337553023,5.939007174321583,0,0.023950943879057503,0.4087796903311835
26,0.9002,43985287.568158105,2604612.0,25119448.0,0.3862472061043161,4.500829556584359,6.724279033532261,7,0.02345882003635099,0.3862472061043161
27,0.9093,46548166.49770673,3073108.0,28284152.0,0.4349090269431798,4.803615859150886,7.230189261766817,8,0.024825688798776925,0.43490902694317984
28,0.9066,44125677.890199,3168864.0,27872904.0,0.4285855045864788,3.3372101962566374,5.096909436916474,10,0.0235336948747728,0.4285855045864788
29,0.8976,44780290.373220995,3419168.0,29577296.0,0.45479295341682524,3.953357309103012,5.810965732250287,17,0.02388282153238453,0.45479295341682524
30,0.901,44511977.49552173,3101428.0,28841528.0,0.44347947493827905,4.876018017530441,7.2837842523991245,17,0.023739721330944923,0.44347947493827905
31,0.9028,39112109.62874748,2858028.0,27440048.0,0.42192972852621313,2.601136542111635,3.8069960617796945,16,0.020859791801998654,0.42192972852621313
32,0.9035,45499428.52995021,3842516.0,32498424.0,0.49970944715001114,4.207866799831391,6.412355980673564,22,0.02426636188264011,0.49970944715001114
33,0.8975,40858642.054290265,3621784.0,29611448.0,0.45531808894459935,4.474104674626142,6.525709938367673,31,0.02179127576228814,0.45531808894459935
34,0.9083,43510541.131080106,3709408.0,33962784.0,0.5222260629104735,4.339969062805176,6.416565873702446,30,0.023205621936576055,0.5222260629104736
35,0.9038,44300955.56681954,3797068.0,33835024.0,0.5202615713718105,3.2753116309642794,4.6120765748883334,24,0.023627176302303755,0.5202615713718105
36,0.9041,36807281.10667112,3481204.0,32189168.0,0.49495419671731866,4.718996348977089,7.154637250101599,46,0.01963054992355793,0.49495419671731866
37,0.9056,37524372.059605144,3445056.0,30153136.0,0.4636473116480694,3.22703987210989,4.611000895679774,47,0.02001299843178941,0.4636473116480694
