round,accuracy,flops,memory_bytes,communication_bytes,sparsity,avg_grad_norm,avg_phi,skipped_batches,effective_compute_ratio,compression_ratio
1,0.6762,315284079.05356187,6173436.0,60950520.0,0.9372008517307083,2.560988287627697,2.6977986158719904,1,0.11082041443007447,0.9372008517307084
2,0.9635,153981575.78098848,4089484.0,39983112.0,0.6147971604055932,1.3283019792928201,1.540534553158793,39,0.05412357672442478,0.6147971604055931
3,0.9726,94058310.86002247,3487232.0,33055008.0,0.5082677170197298,2.358141664690629,3.048335397642915,131,0.033060917701238125,0.5082677170197298
4,0.9758,69360696.02468455,3284048.0,31234688.0,0.480277710463224,1.5899877843894301,3.4042635794308262,257,0.024379858005161528,0.48027771046322393
5,0.9762,55650226.49652569,3150948.0,29649128.0,0.45589747248543233,1.7936750637838628,3.197801903746485,361,0.019560712301063512,0.4558974724854324
6,0.9819,46221198.27857721,3158416.0,28918488.0,0.44466284429344116,2.688785037654452,3.428442480883067,446,0.01624646688174946,0.44466284429344116
7,0.9829,38761205.48808095,3031180.0,27385888.0,0.4210969415683704,0.4801184810115672,1.7172672322187483,581,0.013624325303367645,0.42109694156837035
8,0.9815,36564980.2661365,3209784.0,27712072.0,0.42611248405465146,2.257553063620435,2.5960310137509355,547,0.012852365647148154,0.42611248405465146
9,0.9845,28367527.214031212,2842440.0,25883040.0,0.3979885181189594,0.011633236329640403,1.4138612788284857,647,0.009971011323033819,0.39798851811895936
10,0.982,24406286.908722278,2622196.0,24050656.0,0.3698130104202929,0.23114047372064853,1.9079810616005848,790,0.008578659721870748,0.36981301042029296
11,0.9854,24489612.655262697,2673020.0,24595080.0,0.37818430301144124,1.0920807908608519,1.3485762241464645,821,0.008607948209231176,0.3781843030114413
12,0.9866,19065954.041259035,2533568.0,23947560.0,0.36822776292757214,0.5635543186178922,2.01252386183804,983,0.0067015655681051094,0.36822776292757214
13,0.9864,20359415.292021807,2733940.0,24320760.0,0.373966243220536,0.35923491889734577,1.3721656284094792,963,0.007156209241483939,0.373966243220536
14,0.9845,19338639.37225645,2677828.0,24780712.0,0.3810386587824581,1.472754718260609,2.985306550327068,999,0.0067974127846244115,0.3810386587824581
15,0.9874,17005936.152831636,2599844.0,24091936.0,0.3704477490764922,0.8639090527591954,1.6293258898905507,1010,0.0059774819517861635,0.37044774907649214
16,0.9885,12421015.334343813,2464484.0,21393272.0,0.3289519554502031,0.0003603928217322242,1.362701216374755,1203,0.004365910486588335,0.32895195545020317
17,0.9887,13800921.118678767,2593192.0,22786184.0,0.35036995668769755,0.1836216209995541,0.3680606275939498,1239,0.004850938881785155,0.3503699566876975
18,0.9864,14444529.266156174,2615404.0,24408192.0,0.37531063445573004,5.334546022778758,6.269118683310966,1188,0.005077163186698128,0.37531063445573004
19,0.9869,14335911.20253538,2573312.0,23891816.0,0.3673706197189682,0.3964114306615141,2.4380177089331885,1130,0.00503898460546059,0.3673706197189682
20,0.9889,10129858.41814138,2398096.0,21833688.0,0.3357239772527379,0.01967537416755302,1.9309947408080341,1289,0.003560582923775529,0.33572397725273795
21,0.9887,9707880.38129171,2386960.0,21223144.0,0.32633599570936356,0.9121548737783675,2.182722290808418,1342,0.0034122602394698453,0.3263359957093635
22,0.9864,10357170.011417098,2550540.0,21590504.0,0.33198467770406664,0.9533926057189748,3.214973326673261,1338,0.003640481550585975,0.33198467770406664
23,0.9872,7827001.436979588,2516656.0,21309168.0,0.32765873694388103,2.1387349693361803e-07,1.6772967902673304,1436,0.0027511428600982737,0.327658736943881
24,0.9895,6625117.492765891,2344608.0,19905480.0,0.3060750393943904,0.7679931402594415,2.006834461283419,1465,0.002328688046666394,0.30607503939439046
25,0.9891,5190649.5443003075,2099708.0,18056960.0,0.2776514177675159,0.021055643967165256,1.0640614328950013,1532,0.001824481386397296,0.2776514177675159
26,0.9891,5902605.263675911,1940776.0,17982832.0,0.2765115944364419,0.00017440450460070488,2.281366760201837,1501,0.0020747294424168406,0.27651159443644185
27,0.9888,5563420.872620616,1950912.0,18125968.0,0.27871251382340245,2.625946769353152e-07,2.0438584668705726,1542,0.001955508215332378,0.2787125138234024
28,0.9884,5512579.7228401005,1990812.0,18757536.0,0.2884237692405155,2.9406216933695758e-05,1.6812268823043646,1535,0.0019376378639156767,0.2884237692405155
29,0.9877,4392508.267553788,1932868.0,18163448.0,0.27928882208004846,1.5062026012747585,3.2478083992081346,1613,0.001543939637101507,0.2792888220800484
30,0.9881,5483073.659967323,2149388.0,19041480.0,0.2927898117064998,1.1329079581314101e-09,1.4402415591925062,1559,0.0019272666643118884,0.2927898117064998
31,0.9897,3622850.0669278167,2109900.0,18103888.0,0.2783730024491563,3.054272523535541e-08,1.564083934057478,1640,0.001273409513858635,0.2783730024491563
32,0.9885,3909687.432334009,2216804.0,17831136.0,0.2741790528862772,1.3259992983756264,1.8356948456568176,1637,0.0013742310834214443,0.2741790528862772
33,0.9888,4167139.3033601707,1982352.0,17819336.0,0.27399761111924353,0.4492135336844164,2.4461734004138256,1606,0.001464723832464032,0.27399761111924353
34,0.9876,6675123.890277751,2490596.0,18831504.0,0.28956113234423997,0.18868849358955608,0.7765019686304265,1473,0.002346264987795343,0.2895611323442399
35,0.9882,6772232.584004253,1997204.0,19029008.0,0.29259803698459774,1.790336522683592,3.447511520661068,1428,0.0023803980963108097,0.29259803698459774
36,0.9878,4422434.474715064,1853800.0,17819024.0,0.27399281367591183,6.098009995345947e-06,1.7963721847234566,1580,0.0015544585148383355,0.2739928136759118
37,0.9899,3299920.8923052694,1875184.0,17132064.0,0.2634298275503639,0.20394350991392848,1.2073084355825905,1640,0.0011599018953621333,0.2634298275503639
38,0.9897,2393685.655794178,1932564.0,16571160.0,0.2548051315422058,1.5016081098940624e-08,2.5924525836458345,1717,0.0008413657841104317,0.2548051315422058
