round,accuracy,flops,memory_bytes,communication_bytes,sparsity,avg_grad_norm,avg_phi,skipped_batches,effective_compute_ratio,compression_ratio
1,0.6493,113732769.77815399,5831104.0,57711992.0,0.887403881992735,2.0527584314346314,1.4114345040817378,0,0.31592436049487216,0.8874038819927349
2,0.1765,42742675.46406567,5989920.0,56693840.0,0.8717483482648631,7.404777549952269,4.894973563500418,0,0.11872965406684909,0.8717483482648631
3,0.5418,7559152.994035548,4356724.0,39493160.0,0.6072634522156192,10.708805856108665,7.584573716996315,0,0.0209976472056543,0.6072634522156193
4,0.7744,8679048.517745713,3014432.0,22183448.0,0.341102034238984,5.9402686633169655,3.953703803502029,0,0.024108468104849203,0.341102034238984
5,0.6694,8103118.66400268,1483264.0,12865752.0,0.19782921839807216,4.645910827629268,3.15329388714491,1,0.022508662955563,0.19782921839807216
6,0.7856,8186967.284108579,1271084.0,10892760.0,0.16749166290456902,10.76481589525938,7.049158437002515,1,0.022741575789190498,0.16749166290456902
7,0.9034,7322075.352847385,1190080.0,10541976.0,0.1620978604632854,4.003874395228922,2.8561884109478908,2,0.02033909820235385,0.16209786046328542
8,0.9325,6263913.358004765,1060912.0,9779608.0,0.15037536918786665,5.7136044889688495,3.8152144276642432,10,0.017399759327791014,0.15037536918786665
9,0.9546,5573971.8460266525,1006332.0,9055960.0,0.13924825293105336,2.123691329173744,1.5516068883678034,18,0.015483255127851812,0.13924825293105336
10,0.9582,4674869.220094094,958288.0,8703280.0,0.1338252967956769,1.7826402369737935,1.5917292053321364,55,0.012985747833594706,0.1338252967956769
11,0.9587,4358918.254561918,917324.0,8235496.0,0.12663245310499144,0.21071285400874115,1.5956082174575748,63,0.012108106262671994,0.12663245310499144
12,0.9581,4061764.286136098,847808.0,8063416.0,0.12398647859048655,1.6626193561144675,2.1221837679374964,82,0.011282678572600274,0.12398647859048655
13,0.9628,3592164.155233165,845572.0,8056064.0,0.123873431143772,0.1642455797102503,2.3369478418002503,99,0.009978233764536569,0.123873431143772
14,0.9625,3316016.786086888,855948.0,7986472.0,0.12280335525805938,1.6245636832404269,1.760133013586692,118,0.009211157739130244,0.1228033552580594
15,0.9661,2793682.7030963963,838556.0,7523664.0,0.1156870246379468,3.52579035796889,2.6491819938666645,139,0.007760229730823323,0.11568702463794679
16,0.9652,2994869.072459203,805880.0,7492944.0,0.11521466098682179,5.057450077781743,4.023074768360429,147,0.00831908075683112,0.11521466098682179
17,0.9677,3092212.136572115,877124.0,7846992.0,0.12065865206603743,5.78138136622365,4.389538069772746,126,0.008589478157144764,0.12065865206603742
18,0.9639,2399267.48489203,856404.0,7779544.0,0.1196215432268096,1.0630888891231733,1.297123588033235,163,0.0066646319024778605,0.1196215432268096
19,0.9714,2043100.7755752837,836732.0,7329944.0,0.11270830437440724,0.4786032471978558,1.4739095195958654,209,0.005675279932153565,0.11270830437440724
20,0.967,2335008.169130529,800916.0,7359456.0,0.1131620933090427,0.047568082369986824,0.4655313677440837,185,0.006486133803140358,0.11316209330904269
21,0.9716,1952927.2307631741,785328.0,7065720.0,0.10864548492926232,1.953364144533509e-05,1.7613716011543132,202,0.005424797863231039,0.1086454849292623
22,0.9726,1366514.069604929,757176.0,6491888.0,0.09982200255125576,0.0009488895375534794,1.4007594565566897,270,0.0037958724155692475,0.09982200255125576
23,0.9709,1129257.4211137579,708616.0,6039104.0,0.09285980517459619,0.0007565624250027873,1.0145292864102005,295,0.0031368261697604385,0.09285980517459619
24,0.971,1153129.9826775067,730324.0,5732960.0,0.0881524061638536,0.6209991242348288,1.6226349802282993,301,0.003203138840770852,0.0881524061638536
25,0.9735,1443690.2078699244,732628.0,5982480.0,0.09198913071556943,0.5694140992524543,1.7520506871008734,275,0.004010250577416457,0.09198913071556943
26,0.9741,1042061.1798980335,723616.0,6049968.0,0.09302685461163467,0.023040020154738716,1.2081129130417114,317,0.0028946143886056487,0.09302685461163467
27,0.9735,1223591.8092163536,756812.0,6336416.0,0.09743139963564033,0.005740498753516854,1.996694138467785,306,0.0033988661367120934,0.09743139963564033
28,0.9699,1630984.1341705874,796104.0,6680312.0,0.10271928928952326,0.9555516435999707,1.7770766879198885,264,0.004530511483807187,0.10271928928952324
29,0.9734,1305911.1779295693,820512.0,6780192.0,0.10425508621251692,0.005367899595732537,1.108763956044536,290,0.0036275310498043592,0.1042550862125169
30,0.9744,1019786.1508631716,780176.0,6694744.0,0.10294120179645802,1.283166122059178e-07,1.0841170155491777,326,0.0028327393079532544,0.102941201796458
31,0.9747,1205325.6825653045,758348.0,6847976.0,0.1052973615291789,2.548674786972101,2.3253461874982317,301,0.0033481268960147345,0.10529736152917892
32,0.9727,1073468.6571130499,772976.0,6760976.0,0.1039596129078288,0.003934883348131646,1.3698131823640778,318,0.002981857380869583,0.10395961290782882
33,0.9748,1046822.4050707668,737940.0,6505896.0,0.10003739545571406,0.9464050993720784,2.3426109477503276,303,0.0029078400140854633,0.10003739545571406
34,0.9741,1336657.373870593,793348.0,6662864.0,0.10245100149704833,1.8966036680927005,2.5322723502132023,299,0.003712937149640536,0.10245100149704835
