round,accuracy,flops,memory_bytes,communication_bytes,sparsity,avg_grad_norm,avg_phi,skipped_batches,effective_compute_ratio,compression_ratio
1,0.8395,241638551.0373811,6148688.0,60596528.0,0.9317577217310653,2.1236435174942017,2.61090111383173,0,0.12887389388660325,0.9317577217310652
2,0.9763,140242945.51288354,2688016.0,24468392.0,0.3762362949960206,2.4287117570638657,3.0356153857917625,0,0.07479623760687122,0.37623629499602057
3,0.9818,90231490.27578197,2143808.0,21063064.0,0.32387453824607937,1.0117331579327584,1.2547389126341675,23,0.04812346148041705,0.3238745382460793
4,0.9847,70294097.31107655,2032732.0,20008256.0,0.30765536643241204,1.8921521358191966,2.4532075311777923,63,0.037490185232574164,0.30765536643241204
5,0.9861,58061513.30682467,1988552.0,19465192.0,0.2993049857737353,1.030871633067727,1.2731552479498105,126,0.03096614043030649,0.2993049857737354
6,0.987,50223597.3455247,1963580.0,19049864.0,0.29291872761961935,1.2890870690345764,1.5765610245942103,173,0.02678591858427984,0.29291872761961935
7,0.9873,45382907.0786008,1917536.0,18813032.0,0.28927709909672755,1.1824296470731497,1.5076544673892278,241,0.024204217108587094,0.28927709909672755
8,0.9888,39827206.89553357,1951856.0,18980432.0,0.29185111196125635,1.6207247063517571,2.0162697936958613,321,0.021241177010951236,0.29185111196125635
9,0.9876,37059402.74305625,1944828.0,18865392.0,0.29008220849688715,0.9709361928049475,1.1741489719161564,363,0.01976501479629667,0.2900822084968872
10,0.9879,31509026.643176325,1877808.0,18043824.0,0.277449433102113,1.1389383394167454,2.0968567209934674,464,0.01680481420969404,0.27744943310211295
11,0.9866,30507277.78488612,1918784.0,18052408.0,0.2775814242994195,1.8958481474022846,2.5250177708864348,498,0.016270548151939266,0.2775814242994195
12,0.9896,27399799.585638084,1901784.0,17922680.0,0.2755866719643562,1.5173573110150755,2.1498838047727604,567,0.014613226445673644,0.2755866719643562
13,0.9893,26175960.487982526,1803892.0,17655168.0,0.27147329484717686,1.0754718702977697,1.6980620236468933,586,0.013960512260257348,0.2714732948471768
14,0.9899,25063335.982559394,1799764.0,17308808.0,0.2661475176921099,1.390679360057939,1.7570653395623357,595,0.013367112524031676,0.2661475176921099
15,0.9903,23639156.340426367,1797788.0,17463088.0,0.2685197919139708,1.040174276381731,1.2493587264917383,664,0.012607550048227396,0.2685197919139708
16,0.9906,16718911.783232616,1759992.0,16321472.0,0.2509658237517729,0.0017847492252258234,1.4128042874959665,856,0.008916752951057396,0.2509658237517729
17,0.9905,18337211.619850002,1792348.0,16266824.0,0.2501255331005138,0.7793510381248779,1.7271452501625455,856,0.009779846197253335,0.25012553310051383
18,0.9899,18000022.760378726,1731656.0,16287744.0,0.2504472078264753,0.5359576109258342,1.1470055434015705,837,0.009600012138868654,0.2504472078264752
19,0.9907,16889478.061455484,1692664.0,16078304.0,0.24722677022583656,0.5682078532412774,1.0999808023916822,860,0.009007721632776258,0.24722677022583656
20,0.9901,15250554.24597941,1668644.0,15841240.0,0.24358157437328787,0.5012547360351945,1.2659208104626363,945,0.008133628931189019,0.24358157437328784
21,0.9902,14218734.621365726,1630820.0,15589328.0,0.23970806942269535,0.4342822119034281,1.5578942448595847,984,0.007583325131395054,0.23970806942269535
22,0.9909,14107481.890120272,1667760.0,15685168.0,0.24118174560511138,0.8071733452554121,1.792223399578316,1023,0.007523990341397478,0.24118174560511138
23,0.9905,11849244.478455147,1606456.0,15114008.0,0.23239934902384327,0.1577943081593423,1.5630032965238145,1076,0.006319597055176079,0.2323993490238433
24,0.9916,10825472.185586896,1549352.0,14653904.0,0.2253245962459391,0.0015037588575211203,0.5633986011787073,1150,0.005773585165646344,0.2253245962459391
25,0.992,10070594.697939016,1506236.0,14263688.0,0.2193244707743443,0.2813365534791556,0.6551001891785355,1195,0.005370983838900808,0.21932447077434425
26,0.9905,9970832.267081358,1551796.0,14445440.0,0.22211916603213303,0.2546646142841382,1.129942425617119,1197,0.0053177772091100575,0.22211916603213303
27,0.9904,8666323.620598018,1615764.0,14292568.0,0.21976854181094874,0.5242986417372777,0.6312229680551518,1285,0.004622039264318943,0.21976854181094874
28,0.9902,7883458.863998741,1570012.0,14401176.0,0.22143854413586359,0.7980954519288155,1.500793318956959,1314,0.004204511394132662,0.22143854413586359
29,0.9901,7236774.9896655595,1522728.0,13999120.0,0.21525636184039768,0.9828387860285744,2.2657866551140664,1326,0.003859613327821632,0.21525636184039768
30,0.9894,9686456.713450523,1522460.0,14443400.0,0.2220877981334255,0.34435821675048467,1.1335271706430081,1198,0.005166110247173612,0.22208779813342552
31,0.9902,6359645.3563906215,1432884.0,13682328.0,0.2103852346995386,0.18477206343343297,2.6675360673133204,1383,0.003391810856741665,0.2103852346995386
32,0.9911,6600183.805436898,1533624.0,13693448.0,0.21055622050033646,0.26511430164623917,1.7729466543956511,1425,0.0035200980295663456,0.21055622050033643
33,0.9913,5210580.869471072,1479880.0,13498032.0,0.207551421826891,0.3481748278280507,1.2085197514077164,1461,0.002778976463717905,0.207551421826891
34,0.9905,4124694.887895907,1322376.0,12122920.0,0.1864071208820407,0.9806154748605328,1.4824353380421904,1529,0.0021998372735444836,0.1864071208820407
35,0.9904,4215524.79281904,1309976.0,11608320.0,0.17849441466885954,0.4916180433096414,1.0939680748598284,1532,0.002248279889503488,0.17849441466885954
