round,accuracy,flops,memory_bytes,communication_bytes,sparsity,avg_grad_norm,avg_phi,skipped_batches,effective_compute_ratio,compression_ratio
1,0.4672,270487113.9347651,6142756.0,60102368.0,0.9241593095617965,0.18252251946396428,0.2965343861452619,84,0.1442597940985414,0.9241593095617966
2,0.5405,173630493.24816442,5343428.0,49600848.0,0.7626835175838599,0.6320166827989852,0.46227007337370074,182,0.09260292973235436,0.7626835175838599
3,0.6635,129473677.92956828,4676596.0,40323416.0,0.6200298179554772,0.6947711978573352,0.40806989673469596,283,0.06905262822910307,0.6200298179554773
4,0.8552,97092552.31196237,4150132.0,37073920.0,0.5700641996326881,0.22723991911043412,0.30241534785464746,365,0.051782694566379926,0.5700641996326881
5,0.8303,80363643.80130312,3725724.0,33147728.0,0.5096934187688283,0.11491354545853483,0.0797622656790618,511,0.04286061002736166,0.5096934187688285
6,0.9066,73092151.85232575,3619944.0,32493584.0,0.49963502527268544,0.40387831029929655,0.4118522624338361,518,0.03898248098790707,0.49963502527268544
7,0.8361,61076142.07889608,3399248.0,30824632.0,0.4739725168002775,0.31333636184281205,0.18125213450902594,668,0.03257394244207791,0.4739725168002775
8,0.9153,58666241.80626364,3355908.0,30835040.0,0.47413255458936965,0.34796417788379586,0.23452619785464526,640,0.031288662296673944,0.4741325545893696
9,0.9473,50482285.04360151,3341228.0,29836128.0,0.4587728632002884,0.46842891638833634,0.33258553108219563,803,0.026923885356587473,0.4587728632002883
10,0.916,44905960.88167557,3277624.0,29228296.0,0.44942658251048984,0.07570188367067203,0.23624578961777334,873,0.023949845803560306,0.4494265825104898
11,0.947,43228167.87563237,3273200.0,28728224.0,0.44173726494065324,0.39065496899634383,0.38146531202799105,897,0.02305502286700393,0.4417372649406532
12,0.9315,40759891.53756815,3139192.0,29690720.0,0.45653700858496327,0.6446589999250136,0.4143528050559574,953,0.021738608820036347,0.4565370085849633
13,0.9569,33845675.4050117,3302496.0,28104328.0,0.4321439774249538,0.0008942690755077365,0.057445432850540136,1015,0.018051026882672905,0.43214397742495386
14,0.9431,35594349.151591495,3112444.0,28215440.0,0.4338524823078901,0.3648626026491151,0.26394908924781557,1010,0.018983652880848797,0.4338524823078901
15,0.9544,30714812.454479244,3043280.0,27336872.0,0.42034325091981745,0.2415646333338401,0.1802438343087532,1056,0.016381233309055596,0.4203432509198175
16,0.9544,32876619.062616877,3166164.0,28481424.0,0.4379423642538807,0.4514476844626415,0.30222133177390315,1067,0.017534196833395667,0.4379423642538807
17,0.9204,26162555.24005434,3088112.0,27815584.0,0.4277041281384813,0.004558790989904082,0.18910197243998791,1184,0.013953362794695648,0.4277041281384813
18,0.9584,24664517.553788316,3125648.0,27054872.0,0.41600710021613097,0.1968227736562534,0.3647237915673255,1190,0.013154409362020435,0.41600710021613097
19,0.964,25563564.201492097,2965436.0,27298712.0,0.41975648669693566,0.0004402105622943964,0.0389338437773186,1190,0.013633900907462452,0.41975648669693566
20,0.9656,21680718.63742839,2997572.0,26813672.0,0.4122983074865948,0.07971984069315985,0.09563482275850686,1255,0.011563049939961809,0.41229830748659485
21,0.9604,17724042.095628038,2769332.0,24351120.0,0.3744330713601244,0.00033776352211176695,0.1000339626859229,1341,0.009452822451001621,0.3744330713601244
22,0.971,18912480.80746442,2815616.0,25188928.0,0.38731555983088395,0.035816037639325046,0.055839025427038134,1311,0.01008665643064769,0.38731555983088395
23,0.9516,20330482.544634946,2974732.0,26261432.0,0.4038068327894181,0.00021880455933587228,0.17432347969303771,1297,0.010842924023805304,0.4038068327894181
24,0.9494,19679394.22944431,2971720.0,26761896.0,0.4115021779162612,0.005900177966245085,0.3117590407545645,1293,0.010495676922370299,0.41150217791626126
25,0.9357,17515810.466329403,2980772.0,26901360.0,0.4136466350855482,0.2831102290877965,0.24714936318339403,1337,0.009341765582042348,0.4136466350855483
26,0.9653,15387080.224798726,2872336.0,26130000.0,0.40178587903308144,0.5377979706691629,0.42581212516105466,1381,0.00820644278655932,0.40178587903308144
27,0.9457,15803585.313281234,2802708.0,25832448.0,0.39721059423101285,0.0017276137039118566,0.7415373694989726,1417,0.008428578833749992,0.3972105942310129
28,0.9391,15346350.834629234,3057844.0,25804120.0,0.39677501097876455,0.0001176394819683832,0.11510801829205197,1373,0.008184720445135591,0.39677501097876455
29,0.9108,10676157.949646663,2585520.0,24206728.0,0.3722128391884694,8.186387721487165e-07,0.04496786744904744,1518,0.00569395090647822,0.3722128391884694
30,0.9065,13518192.30920651,2732172.0,25414560.0,0.39078497243930316,0.0056196080095533675,0.1529557809419603,1451,0.007209702564910139,0.3907849724393031
31,0.8751,13497802.085588865,2926808.0,26330048.0,0.404861901288298,0.40390953095832777,0.6769108655391933,1472,0.007198827778980728,0.4048619012882981
32,0.8888,13756665.100096457,2872308.0,26612984.0,0.4092124443219798,0.0008266788241996614,0.17785786472169915,1398,0.007336888053384777,0.4092124443219798
