round,accuracy,flops,memory_bytes,communication_bytes,sparsity,avg_grad_norm,avg_phi,skipped_batches,effective_compute_ratio,compression_ratio
1,0.7875,277514930.8084487,6267288.0,60921552.0,0.9367554275690617,2.447499695420265,4.014806061828672,0,0.10221544412834205,0.9367554275690616
2,0.9747,130943126.1195646,3095212.0,29357272.0,0.4514097717770099,1.2955068164039403,2.1600267620604785,13,0.048229512382896716,0.4514097717770099
3,0.9836,83548623.55071752,2452180.0,23807168.0,0.3660690364396574,3.5242775581893513,6.093280172651163,68,0.030772973683505532,0.3660690364396574
4,0.981,64522595.51977323,2436216.0,22955288.0,0.3529701709734997,2.624365282803774,4.220914765963472,143,0.023765228552402665,0.35297017097349964
5,0.9858,49379715.0892699,2301144.0,21642544.0,0.3327848666495271,0.8067416162705767,2.202581135430417,229,0.01818774036437197,0.33278486664952706
6,0.987,43666006.82073188,2313784.0,21540336.0,0.33121327341859663,1.3674768475746064,4.2196887601321675,367,0.016083243764542128,0.33121327341859663
7,0.9862,38343371.685596764,2220292.0,21093592.0,0.32434394962438484,3.201322682085447,6.120500519578135,407,0.014122788834473946,0.3243439496243848
8,0.9868,33597442.717663035,2168008.0,20388216.0,0.31349779133089684,1.8163262266512425,4.331492820279916,475,0.012374748698955077,0.3134977913308969
9,0.9878,31499064.979035847,2244384.0,20778200.0,0.3194943494728348,0.4093803840135742,2.762980538101936,534,0.011601865553972688,0.3194943494728348
10,0.9895,26392459.671069466,2177840.0,19684568.0,0.3026782034927848,0.9286766652124718,1.8900758773654487,617,0.009720979621020061,0.3026782034927848
11,0.9887,24588254.29125411,2207588.0,19452640.0,0.2991119809381585,0.8703105096240215,3.184879197545047,705,0.009056447252763946,0.2991119809381585
12,0.9899,21384913.067656152,2103972.0,19188048.0,0.29504350297010945,0.34127446207679196,6.249836876361959,775,0.00787657939876838,0.29504350297010945
13,0.9906,22293712.84521959,2045348.0,18953352.0,0.29143471848233493,3.3523545835580024,5.8466038531952105,694,0.008211312281848836,0.29143471848233493
14,0.9898,19476492.219641343,1900544.0,18243944.0,0.2805265624596369,0.31194419058988854,1.4770902131378607,826,0.007173661959352244,0.2805265624596369
15,0.9901,18519357.39453948,1974084.0,18685736.0,0.2873197422173783,0.04080203485284127,1.4226253362155648,891,0.006821126112169237,0.2873197422173783
16,0.9903,16111162.920021262,1955896.0,18423360.0,0.28328533839812137,2.3980273583919662,7.060406444943185,987,0.005934129988958108,0.28328533839812137
17,0.9883,16140736.033739494,1938232.0,18159072.0,0.2792215348620366,2.6467678286224343,5.156075438358909,949,0.005945022480198708,0.2792215348620366
18,0.9912,14418939.218716167,1855380.0,17079096.0,0.2626153692862757,1.809753768009314,3.994380539489587,981,0.005310843174481093,0.26261536928627577
19,0.9902,8948974.921753509,1719756.0,15104272.0,0.23224964418961952,0.001121430141251789,1.4086437194610448,1232,0.003296123359761882,0.23224964418961958
20,0.9911,9634472.623570403,1616148.0,14829528.0,0.2280250647962378,2.1835469720645513,5.083551910746017,1242,0.0035486087011309037,0.22802506479623783
21,0.9898,11803788.926399088,1745560.0,16348312.0,0.2513785268896699,1.1438624350952715,1.8025723057909926,1162,0.004347620230717896,0.2513785268896699
22,0.9899,9726558.65534143,1825932.0,16103200.0,0.2476095816014358,0.4745596148744145,1.9888971493328214,1235,0.0035825262082288876,0.24760958160143579
23,0.9911,7789098.639790557,1775172.0,14592880.0,0.22438626553479807,0.2839212977531399,2.550761673391167,1336,0.002868912942832618,0.22438626553479807
24,0.9909,5784873.821381469,1624748.0,13277048.0,0.20415347882297802,0.0008382645979352843,3.397932257765485,1430,0.002130708589827429,0.20415347882297802
25,0.9902,6412466.659120884,1682416.0,13524160.0,0.20795317695308224,0.6983240187998532,4.116027125020502,1445,0.0023618661727885393,0.20795317695308224
26,0.9899,8794020.417905157,1767936.0,15844360.0,0.2436295488066052,1.5207631252338536,5.565851844803446,1308,0.003239049877681458,0.24362954880660523
27,0.9898,10980262.44562115,1828392.0,17018664.0,0.26168614141632823,0.9025895126442929,2.6911629079839807,1231,0.004044295560081455,0.2616861414163283
28,0.9908,7083577.956142597,1730120.0,15923496.0,0.24484637725372202,1.3650659342247982,3.3244840995275,1346,0.0026090526541961683,0.24484637725372202
