round,accuracy,flops,memory_bytes,communication_bytes,sparsity,avg_grad_norm,avg_phi,skipped_batches,effective_compute_ratio,compression_ratio
1,0.18048,2567529.6327392324,527.78125,493632.0,0.20686046155535132,2.285772863471609,0.5470310530590391,547,0.0008189887185771076,0.09995788109509153
2,0.18886,2434918.4523472665,544.7421875,493632.0,0.22071709728116887,2.361244106701973,0.5697960006947814,572,0.0007766885015461775,0.09995788109509153
3,0.17836,2504830.1664833357,545.15625,493635.20000000007,0.2242560166099597,2.2366113577865105,0.5575665446547375,552,0.0007989888888304101,0.09995852907824397
4,0.19446,2486800.419821713,545.26953125,493632.0,0.22906824229319075,2.210266675539395,0.5601078975630677,556,0.0007932377734678511,0.09995788109509153
5,0.19,2445422.0011766935,545.44921875,493632.0,0.22656454368499293,2.255010495786506,0.5630278736405565,562,0.0007800389158458352,0.09995788109509153
6,0.19662,2419696.7462984663,544.44140625,493632.0,0.2387321890767764,2.168219499644916,0.5630192351974117,582,0.0007718330929181711,0.09995788109509153
7,0.20451999999999998,2419355.4249472506,544.484375,493632.0,0.23971090752407184,2.159127464335248,0.5209309012174648,576,0.0007717242184839715,0.09995788109509153
8,0.20578,1881907.689307848,544.57421875,493635.20000000007,0.23724168368589676,2.4218931662857783,0.5533925047266711,609,0.000600289534069489,0.09995852907824397
9,0.19988,2330540.6255269507,544.58984375,493632.0,0.2386946425470738,2.066895859711335,0.5315842312517572,630,0.0007433941389240672,0.09995788109509153
10,0.19552,1905128.8609939697,544.55859375,493632.0,0.2440829549917123,2.1273566770069907,0.5297160590372911,606,0.0006076966063776618,0.09995788109509153
11,0.20607999999999999,2375363.931719562,546.93359375,493632.0,0.25098672843122716,2.0959617953086593,0.5073051972263003,599,0.0007576918442486641,0.09995788109509153
12,0.20059999999999997,2371301.847719378,547.09375,493632.0,0.24867834037386177,2.0586565270414665,0.5254538335080176,619,0.0007563961236744426,0.09995788109509153
13,0.21761999999999998,1835406.2587334854,544.11328125,493632.0,0.2540990187712896,2.293530333818695,0.5343397417475922,630,0.0005854565418607608,0.09995788109509153
14,0.21036000000000002,2289961.6205978394,544.41796875,493632.0,0.2533195121138325,2.0509153046771518,0.529835337997439,624,0.0007304502777026601,0.09995788109509153
15,0.20926,2285372.475818755,521.58203125,493632.0,0.2508215487986752,2.0791331019559847,0.5109423534987737,649,0.0007289864356678645,0.09995788109509153
16,0.22000000000000003,2263912.911282909,521.7890625,493632.0,0.2541760537368408,2.0712869136756336,0.4888578394067659,657,0.0007221412795160795,0.09995788109509153
17,0.19841999999999999,1806780.8260426386,499.21875,493632.0,0.2530045475903946,2.2628728135802185,0.5290238942316119,674,0.0005763256223421495,0.09995788109509153
18,0.20805999999999997,2248143.374601893,499.2109375,493632.0,0.2517639620991333,1.9678070577375355,0.49423257184246666,667,0.0007171111242749261,0.09995788109509153
19,0.20048,2203791.7552033653,499.125,493632.0,0.25150066617175093,2.016109258023802,0.5201748652110686,676,0.0007029638772578518,0.09995788109509153
20,0.20028,1748069.6823392746,498.87109375,493632.0,0.2590927200506895,2.259443782234926,0.4989336661441506,681,0.0005575979847972168,0.09995788109509153
21,0.21216,2167297.401069904,499.0546875,493632.0,0.25564209705784274,1.9531816230441514,0.5145409813105049,721,0.0006913229349505277,0.09995788109509153
22,0.20600000000000002,2132861.656785754,498.8828125,493635.20000000007,0.2585200575966201,2.018409986889023,0.5158800074585681,727,0.0006803386465026328,0.09995852907824397
23,0.20804,2206878.617249846,498.93359375,493632.0,0.2558762600064775,2.0662873988683597,0.500339775133759,690,0.0007039485222487547,0.09995788109509153
