round,accuracy,flops,memory_MB,memory_saved,communication_bytes,sparsity,avg_grad_norm,avg_phi,skipped_batches,effective_compute_ratio,compression_ratio,quantization_error,avg_scale_factor
1,0.2543,94961059538.0,443.2890625,0.0,4937228.799999999,0.8897676357647704,2.27977124937541,0.0,306,0.8047844751544246,0.9997628381662077,5.366097725125423e-05,10303.088319793522
2,0.29678,81007289868.0,449.21875,13572.946197509766,4936851.199999999,0.8838484495346753,2.383365611906047,0.0,491,0.6885648968786808,0.99968637615422,5.553616066818266e-05,9566.279053087468
3,0.32210000000000005,79121645318.0,450.30859375,21778.8123626709,4936617.6,0.8843614161252136,2.3715576163371903,0.0,516,0.6725464382452216,0.999639073384092,5.6400420129568086e-05,9074.80963182246
4,0.34314,74897801526.0,455.48046875,22887.71319580078,4936627.199999999,0.8888505953659873,2.3413323862697957,0.0,572,0.6394864989869488,0.9996410173335494,5.698201963036968e-05,8734.134587543895
5,0.34056,71201938208.0,460.4453125,25371.65106201172,4936473.6,0.8914108672304464,2.3195684322520207,0.0,621,0.6056955259350749,0.9996099141422323,5.745514480294374e-05,8446.525122880132
6,0.34178000000000003,68562035838.0,461.015625,27545.09669494629,4936208.0,0.8958299994520905,2.296077790797979,0.0,656,0.5809590263115123,0.99955613154058,5.7831845975614406e-05,8218.219080983898
7,0.37,68184906928.0,437.60546875,29097.557861328125,4936275.199999999,0.9010505501247816,2.2558740589015986,0.0,661,0.5791300955260363,0.9995697391867812,5.801305968981068e-05,8021.7882200811655
8,0.38698,66751817070.0,428.55859375,29319.3380279541,4936422.399999999,0.9031163475845402,2.2494054751835595,0.0,680,0.5644620623573848,0.9995995464117933,5.817784711099722e-05,7856.225162461546
9,0.38899999999999996,62678824842.0,430.82421875,30162.102661132812,4936105.6,0.9090986674303352,2.2122301965894753,0.0,734,0.5341362436075751,0.9995353960797019,5.83053411950487e-05,7713.205127178064
10,0.3791,61019457638.0,432.06640625,32557.32846069336,4936195.199999999,0.9093240201875862,2.223824921924254,0.0,756,0.5173513670509788,0.9995535396079702,5.847347879324677e-05,7580.906890713815
11,0.41023999999999994,61094883420.0,435.3515625,33533.161193847656,4936022.3999999985,0.9108673214417593,2.174857143898934,0.0,755,0.5162753776544198,0.9995185485177386,5.85088765355119e-05,7476.6509864805585
12,0.42682000000000003,61019457638.0,438.765625,33488.80516052246,4936076.8,0.9168045790592316,2.1688977653571566,0.0,756,0.5170239429389142,0.99952956423133,5.858910742729199e-05,7379.068458661299
13,0.39659999999999995,61698289676.0,440.62890625,33533.161193847656,4936105.6,0.9147482910994651,2.179650206919093,0.0,747,0.5247424567893871,0.9995353960797019,5.86950997429008e-05,7286.868671071345
14,0.41368,59963496690.0,443.02734375,33133.9568939209,4936255.999999999,0.9172817001389202,2.178177125374648,0.0,770,0.50588807593295,0.9995658512878666,5.880081295845804e-05,7200.454914274133
15,0.4210000000000001,62377121714.0,435.34765625,34154.14566040039,4936207.999999999,0.9144317742862528,2.195584940507509,0.0,738,0.5292180631415289,0.99955613154058,5.89632259932031e-05,7116.028852277239
16,0.42572,60114348254.0,441.4453125,32734.75259399414,4936115.199999999,0.9210729003715123,2.1599591015182944,0.0,768,0.5106737284808076,0.9995373400291593,5.9059329288567095e-05,7042.332425225492
17,0.42084,60340625600.0,445.70703125,34065.43359375,4936028.8,0.9206361058719075,2.166951097124145,0.0,765,0.5111303575576829,0.9995198444840434,5.9171154376248967e-05,6971.834766606339
18,0.44844,61547438112.0,455.01171875,33932.365493774414,4936211.199999999,0.9202645271323942,2.1512407190287632,0.0,749,0.5219453492576068,0.9995567795237323,5.926409223010054e-05,6907.880633494673
19,0.45389999999999997,62603399060.0,458.87890625,33222.66896057129,4936089.599999999,0.9233673085930534,2.16259700895822,0.0,735,0.5336750029475908,0.9995321561639398,5.9389353963434284e-05,6845.962583358838
