round,accuracy,flops,memory_MB,memory_saved,communication_bytes,sparsity,avg_grad_norm,avg_phi,skipped_batches,effective_compute_ratio,compression_ratio,quantization_error,avg_scale_factor
1,0.16436,96997555652.0,1049.62109375,0.0,4935718.399999999,0.9440005079823688,1.3067177213088972,0.0,279,0.8439050434438059,0.999456990118257,3.2325257752444584e-05,160376.0408553269
2,0.16548000000000002,85985391480.0,1060.80859375,12375.333297729492,4935180.8,0.9481337075574012,1.3109538886428767,0.0,425,0.7746257332095464,0.9993481289486473,3.255956816933593e-05,155135.4526721682
3,0.16756,82364953944.0,1062.71484375,18851.314163208008,4935219.2,0.9487867112727345,1.2997532944963255,0.0,473,0.7518241426079577,0.9993559047464766,3.2718225160046594e-05,156137.966768404
4,0.16813999999999998,81610696124.0,416.90234375,20980.403762817383,4934828.8,0.9488626504768227,1.2888858611598621,0.0,483,0.7465024732581659,0.9992768508018791,3.285598574221798e-05,157415.9227066193
5,0.16982,81233567214.0,421.73828125,21423.964096069336,4934751.999999999,0.949216801602369,1.2512719139872486,0.0,488,0.7452123082228592,0.9992612992062206,3.2915890127545375e-05,159265.35536971485
6,0.16094,77236000768.0,424.2578125,21645.744262695312,4934646.399999999,0.9499011958016848,1.2288794013740865,0.0,541,0.7158233374751364,0.9992399157621902,3.285043082695342e-05,159068.5975532533
7,0.17393999999999998,77688555460.0,391.5,23996.614028930664,4934528.0,0.9499880114810566,1.2028501445817152,0.0,535,0.7173246958438945,0.99921594038555,3.2762771128189415e-05,157090.19314698773
8,0.16978,73163008540.0,404.0,23730.477828979492,4934614.399999999,0.9499187127931925,1.1897022584304924,0.0,595,0.6900326196811759,0.9992334359306658,3.274111165081498e-05,154938.3951131564
9,0.17382,71654492900.0,407.4296875,26391.83982849121,4934544.0,0.9498810825497961,1.2217177459004627,0.0,615,0.6766262817377383,0.9992191803013122,3.280043393793778e-05,151711.43915251995
10,0.17192,70372254606.0,414.4453125,27278.960494995117,4934057.6,0.9499440404693074,1.2255220919254879,0.0,632,0.6611148920110613,0.9991206868621416,3.288945447339451e-05,148002.91085591484
11,0.17568,71805344464.0,418.59765625,28033.013061523438,4934463.999999999,0.9498716626851657,1.2262926798169012,0.0,613,0.6711273755616156,0.9992029807225012,3.300920061670199e-05,144810.13553366865
12,0.17572,69165442094.0,423.19921875,27190.248428344727,4934316.799999999,0.9499624024770374,1.180617839526702,0.0,648,0.6509047873164592,0.999173173497489,3.3010358047343406e-05,141308.50637455512
13,0.17553999999999997,68486610056.0,422.83984375,28742.709594726562,4934399.999999999,0.95,1.2110409015036399,0.0,657,0.6438814656697588,0.9991900210594524,3.3114924154311916e-05,137580.23999445903
14,0.17417999999999997,69768848350.0,428.734375,29141.91389465332,4934182.399999999,0.9498733998933575,1.1856385504130018,0.0,640,0.6574854247572443,0.9991459582050867,3.314519321811952e-05,134640.86060439807
15,0.17744,70372254606.0,431.8515625,28387.861328125,4934342.399999999,0.9499560851191162,1.1694226564145667,0.0,632,0.6625999533390905,0.9991783573627085,3.317633579291779e-05,131952.22347880024
16,0.17665999999999998,70598531952.0,420.71484375,28033.013061523438,4934019.2,0.95,1.1755136188841382,0.0,629,0.6683263325336531,0.9991129110643123,3.322749937646543e-05,129423.23049664826
17,0.18006,69014590530.0,429.51171875,27899.94496154785,4934012.799999999,0.9499991732125326,1.1750699922581664,0.0,650,0.6519512170040789,0.9991116150980075,3.3283178725650666e-05,126792.76614795407
18,0.1784,68184906928.0,434.59375,28831.421661376953,4933862.399999999,0.95,1.1771251858542113,0.0,661,0.6519254003394522,0.9990811598898429,3.334398053170916e-05,124568.54291634934
19,0.17772000000000002,71201938208.0,439.1796875,29319.3380279541,4934147.199999999,0.95,1.1657399819972383,0.0,621,0.6704653234682724,0.9991388303904098,3.338595558187872e-05,122440.93884226319
20,0.17812,70145977260.0,452.59765625,27545.09669494629,4934358.399999999,0.95,1.1902109185990635,0.0,635,0.6647050051223301,0.9991815972784708,3.3478106477588845e-05,120610.64258739888
