round,accuracy,flops,memory_MB,memory_saved,communication_bytes,sparsity,avg_grad_norm,avg_phi,skipped_batches,effective_compute_ratio,compression_ratio,quantization_error,avg_scale_factor
1,0.37066000000000004,118041348830.0,1010.16015625,0.0,4937375.999999999,0.0,2.329089183329494,0.0,0,1.0,0.9997926453912198,0.0,1.0
2,0.36619999999999997,118041348830.0,1016.44921875,0.0,4937471.999999999,0.0,2.308578587393888,0.0,0,1.0,0.999812084885793,0.0,1.0
3,0.34785999999999995,118041348830.0,1016.70703125,0.0,4937500.799999999,0.0,2.3179352040451873,0.0,0,1.0,0.9998179167341649,0.0,1.0
4,0.36571999999999993,118041348830.0,1013.40234375,0.0,4937462.399999999,0.0,2.266756669628518,0.0,0,1.0,0.9998101409363357,0.0,1.0
5,0.36994000000000005,118041348830.0,1013.796875,0.0,4937564.799999999,0.0,2.3242062009782183,0.0,0,1.0,0.9998308763972137,0.0,1.0
6,0.34908,118041348830.0,1013.890625,0.0,4937510.399999999,0.0,2.315317503162251,0.0,0,1.0,0.9998198606836223,0.0,1.0
7,0.35534000000000004,118041348830.0,1013.69140625,0.0,4937430.399999999,0.0,2.3146518120746427,0.0,0,1.0,0.9998036611048112,0.0,1.0
8,0.36052,118041348830.0,1013.81640625,0.0,4937382.399999999,0.0,2.335291806934444,0.0,0,1.0,0.9997939413575248,0.0,1.0
9,0.36644,118041348830.0,1013.6875,0.0,4937475.199999999,0.0,2.339120728361494,0.0,0,1.0,0.9998127328689455,0.0,1.0
10,0.34656000000000003,118041348830.0,1013.70703125,0.0,4937420.799999999,0.0,2.3297714128792024,0.0,0,1.0,0.9998017171553539,0.0,1.0
11,0.37376,118041348830.0,1013.59375,0.0,4937385.6,0.0,2.3398548483901274,0.0,0,1.0,0.9997945893406771,0.0,1.0
12,0.36398,118041348830.0,1012.69921875,0.0,4937552.0,0.0,2.312106075816992,0.0,0,1.0,0.9998282844646039,0.0,1.0
13,0.35882,118041348830.0,1012.6875,0.0,4937433.6,0.0,2.3331464284939134,0.0,0,1.0,0.9998043090879637,0.0,1.0
14,0.36582,118041348830.0,1013.68359375,0.0,4937440.0,0.0,2.3494114461214064,0.0,0,1.0,0.9998056050542686,0.0,1.0
15,0.3823599999999999,118041348830.0,1013.6484375,0.0,4937449.6,0.0,2.342675426333577,0.0,0,1.0,0.9998075490037259,0.0,1.0
16,0.3727,118041348830.0,1013.69921875,0.0,4937513.6,0.0,2.3579335817382283,0.0,0,1.0,0.9998205086667746,0.0,1.0
17,0.36056,118041348830.0,1013.6015625,0.0,4937484.799999999,0.0,2.3696718962833163,0.0,0,1.0,0.9998146768184027,0.0,1.0
18,0.36025999999999997,118041348830.0,1013.734375,0.0,4937299.199999999,0.0,2.356606856858186,0.0,0,1.0,0.9997770937955613,0.0,1.0
19,0.38584000000000007,118041348830.0,1013.7109375,0.0,4937369.599999999,0.0,2.3596072378306707,0.0,0,1.0,0.999791349424915,0.0,1.0
20,0.35938,118041348830.0,1013.70703125,0.0,4937379.199999999,0.0,2.3639051008990046,0.0,0,1.0,0.9997932933743723,0.0,1.0
21,0.36376,118041348830.0,1013.2109375,0.0,4937363.199999999,0.0,2.3789739273620736,0.0,0,1.0,0.99979005345861,0.0,1.0
22,0.35207999999999995,118041348830.0,1013.6640625,0.0,4937251.199999999,0.0,2.348871857274688,0.0,0,1.0,0.9997673740482748,0.0,1.0
23,0.3422,118041348830.0,1013.640625,0.0,4937401.6,0.0,2.3826042874452,0.0,0,1.0,0.9997978292564393,0.0,1.0
24,0.378,118041348830.0,1013.6796875,0.0,4937328.0,0.0,2.3996213974611917,0.0,0,1.0,0.9997829256439332,0.0,1.0
25,0.34217999999999993,118041348830.0,1013.6953125,0.0,4937334.399999999,0.0,2.3963569025141522,0.0,0,1.0,0.9997842216102382,0.0,1.0
26,0.36398,118041348830.0,1013.69921875,0.0,4937360.0,0.0,2.415141091886426,0.0,0,1.0,0.9997894054754577,0.0,1.0
27,0.34696,118041348830.0,1013.66015625,0.0,4937417.6,0.0,2.407099663963203,0.0,0,1.0,0.9998010691722016,0.0,1.0
28,0.37852,118041348830.0,1013.7890625,0.0,4937369.599999999,0.0,2.4114306523584603,0.0,0,1.0,0.999791349424915,0.0,1.0
29,0.36888,118041348830.0,1013.29296875,0.0,4937414.399999999,0.0,2.4127950211757248,0.0,0,1.0,0.9998004211890491,0.0,1.0
30,0.36516,118041348830.0,1013.0859375,0.0,4937385.6,0.0,2.4467424361400676,0.0,0,1.0,0.9997945893406771,0.0,1.0
31,0.36646,118041348830.0,1012.69921875,0.0,4937276.799999999,0.0,2.4055115429127856,0.0,0,1.0,0.9997725579134943,0.0,1.0
32,0.3511,118041348830.0,1012.32421875,0.0,4937347.199999999,0.0,2.4305791060378206,0.0,0,1.0,0.9997868135428479,0.0,1.0
33,0.37312,118041348830.0,1012.36328125,0.0,4937203.2,0.0,2.4936403822459785,0.0,0,1.0,0.9997576543009882,0.0,1.0
34,0.37144,118041348830.0,1012.41796875,0.0,4937328.0,0.0,2.4421647027033355,0.0,0,1.0,0.9997829256439332,0.0,1.0
35,0.36829999999999996,118041348830.0,1012.40234375,0.0,4937251.199999999,0.0,2.4466007608322817,0.0,0,1.0,0.9997673740482748,0.0,1.0
36,0.34438,118041348830.0,1012.31640625,0.0,4937203.199999999,0.0,2.486668607871752,0.0,0,1.0,0.9997576543009882,0.0,1.0
37,0.34934000000000004,118041348830.0,1012.375,0.0,4937232.0,0.0,2.5018627751821603,0.0,0,1.0,0.9997634861493602,0.0,1.0
38,0.3517,118041348830.0,1012.49609375,0.0,4937279.999999999,0.0,2.4938775884472757,0.0,0,1.0,0.9997732058966466,0.0,1.0
39,0.37839999999999996,118041348830.0,1012.578125,0.0,4937215.999999999,0.0,2.5325924827359656,0.0,0,1.0,0.9997602462335979,0.0,1.0
40,0.36912,118041348830.0,1013.66796875,0.0,4937084.8,0.0,2.522989507282843,0.0,0,1.0,0.999733678924348,0.0,1.0
41,0.3602,118041348830.0,1013.73828125,0.0,4937094.399999999,0.0,2.516931606721943,0.0,0,1.0,0.9997356228738052,0.0,1.0
42,0.37102,118041348830.0,1013.8359375,0.0,4937219.199999999,0.0,2.527171186703499,0.0,0,1.0,0.9997608942167504,0.0,1.0
43,0.37504,118041348830.0,1013.796875,0.0,4937145.599999999,0.0,2.560966106449018,0.0,0,1.0,0.9997459906042443,0.0,1.0
44,0.35362,118041348830.0,1013.71484375,0.0,4937174.399999999,0.0,2.548701734520148,0.0,0,1.0,0.9997518224526162,0.0,1.0
45,0.37068,118041348830.0,1013.7109375,0.0,4937011.2,0.0,2.5654712906603723,0.0,0,1.0,0.999718775311842,0.0,1.0
46,0.35556,118041348830.0,1013.765625,0.0,4937046.399999999,0.0,2.577919317255516,0.0,0,1.0,0.9997259031265187,0.0,1.0
47,0.3612,118041348830.0,1013.8046875,0.0,4937244.799999999,0.0,2.5844664608899306,0.0,0,1.0,0.9997660780819698,0.0,1.0
48,0.36907999999999996,118041348830.0,1013.78515625,0.0,4937075.199999999,0.0,2.578558131992641,0.0,0,1.0,0.9997317349748907,0.0,1.0
49,0.36698000000000003,118041348830.0,1013.73828125,0.0,4936995.199999999,0.0,2.574827214740367,0.0,0,1.0,0.9997155353960797,0.0,1.0
50,0.36798000000000003,118041348830.0,1013.85546875,0.0,4937152.0,0.0,2.6033337344547482,0.0,0,1.0,0.9997472865705491,0.0,1.0
51,0.35747999999999996,118041348830.0,1013.8203125,0.0,4936719.999999999,0.0,2.6128417291780766,0.0,0,1.0,0.9996598088449701,0.0,1.0
52,0.38930000000000003,118041348830.0,1013.80078125,0.0,4936998.399999999,0.0,2.669756673754636,0.0,0,1.0,0.9997161833792322,0.0,1.0
53,0.34368,118041348830.0,1013.30859375,0.0,4937040.0,0.0,2.6522452927825384,0.0,0,1.0,0.9997246071602138,0.0,1.0
54,0.37157999999999997,118041348830.0,1012.890625,0.0,4936988.799999999,0.0,2.655775633269462,0.0,0,1.0,0.9997142394297748,0.0,1.0
55,0.35638000000000003,118041348830.0,1012.69140625,0.0,4936841.6,0.0,2.6643237311305006,0.0,0,1.0,0.9996844322047627,0.0,1.0
56,0.35414,118041348830.0,1012.3671875,0.0,4936611.199999999,0.0,2.682673087130638,0.0,0,1.0,0.9996377774177871,0.0,1.0
57,0.34862000000000004,118041348830.0,1012.32421875,0.0,4936950.399999999,0.0,2.6925294544999834,0.0,0,1.0,0.9997064636319456,0.0,1.0
58,0.3577,118041348830.0,1012.18359375,0.0,4936790.399999999,0.0,2.6810418282699007,0.0,0,1.0,0.9996740644743237,0.0,1.0
59,0.36272000000000004,118041348830.0,1011.8359375,0.0,4936819.199999999,0.0,2.7108023746533,0.0,0,1.0,0.9996798963226956,0.0,1.0
60,0.36104,118041348830.0,1011.87890625,0.0,4936761.6,0.0,2.720842954540965,0.0,0,1.0,0.9996682326259517,0.0,1.0
61,0.34478,118041348830.0,1012.0234375,0.0,4936611.199999999,0.0,2.7090793195209235,0.0,0,1.0,0.9996377774177871,0.0,1.0
62,0.34066,118041348830.0,1011.98046875,0.0,4936550.399999999,0.0,2.7395839865490896,0.0,0,1.0,0.9996254657378908,0.0,1.0
63,0.35076,118041348830.0,1012.0625,0.0,4936358.399999999,0.0,2.7167278208302434,0.0,0,1.0,0.9995865867487446,0.0,1.0
64,0.32398000000000005,118041348830.0,1011.953125,0.0,4936460.799999999,0.0,2.7369806495729376,0.0,0,1.0,0.9996073222096226,0.0,1.0
65,0.33928,118041348830.0,1012.0234375,0.0,4936527.999999999,0.0,2.7608203149115758,0.0,0,1.0,0.9996209298558237,0.0,1.0
66,0.35760000000000003,118041348830.0,1012.02734375,0.0,4936492.8,0.0,2.7231636857500305,0.0,0,1.0,0.9996138020411469,0.0,1.0
67,0.34882,118041348830.0,1012.04296875,0.0,4936275.2,0.0,2.769347857220918,0.0,0,1.0,0.9995697391867812,0.0,1.0
68,0.33465999999999996,118041348830.0,1012.0703125,0.0,4936387.199999999,0.0,2.7216603164362185,0.0,0,1.0,0.9995924185971164,0.0,1.0
69,0.35042,118041348830.0,1012.171875,0.0,4936278.399999999,0.0,2.760436342354059,0.0,0,1.0,0.9995703871699336,0.0,1.0
70,0.32877999999999996,118041348830.0,1011.984375,0.0,4936073.6,0.0,2.738303445861181,0.0,0,1.0,0.9995289162481775,0.0,1.0
71,0.32748,118041348830.0,1012.10546875,0.0,4936294.399999999,0.0,2.7547725515940327,0.0,0,1.0,0.9995736270856957,0.0,1.0
72,0.3347,118041348830.0,1012.05078125,0.0,4935936.0,0.0,2.7411691677567673,0.0,0,1.0,0.9995010529726227,0.0,1.0
73,0.3362,118041348830.0,1011.93359375,0.0,4935849.6,0.0,2.705640542694519,0.0,0,1.0,0.9994835574275068,0.0,1.0
74,0.3111,118041348830.0,1011.453125,0.0,4935827.2,0.0,2.686969171436514,0.0,0,1.0,0.9994790215454398,0.0,1.0
75,0.32194,118041348830.0,1011.5390625,0.0,4935721.6,0.0,2.687608178606875,0.0,0,1.0,0.9994576381014094,0.0,1.0
76,0.32986,118041348830.0,1011.671875,0.0,4935475.199999999,0.0,2.6992092120396416,0.0,0,1.0,0.9994077433986717,0.0,1.0
77,0.33292,118041348830.0,1011.58203125,0.0,4935436.799999999,0.0,2.673786684511021,0.0,0,1.0,0.9993999676008424,0.0,1.0
78,0.33114,118041348830.0,1011.5703125,0.0,4935270.399999999,0.0,2.622237856957059,0.0,0,1.0,0.9993662724769156,0.0,1.0
79,0.31989999999999996,118041348830.0,1011.515625,0.0,4935295.999999999,0.0,2.597296803544894,0.0,0,1.0,0.9993714563421351,0.0,1.0
80,0.31742,118041348830.0,1011.47265625,0.0,4935145.6,0.0,2.6016896830151772,0.0,0,1.0,0.9993410011339705,0.0,1.0
81,0.32076000000000005,118041348830.0,1011.53125,0.0,4934886.399999999,0.0,2.5673021663915785,0.0,0,1.0,0.999288514498623,0.0,1.0
82,0.31358,118041348830.0,1011.62890625,0.0,4934739.199999999,0.0,2.549905206078141,0.0,0,1.0,0.9992587072736109,0.0,1.0
83,0.31588,118041348830.0,1011.515625,0.0,4934537.599999999,0.0,2.5137309840817186,0.0,0,1.0,0.9992178843350072,0.0,1.0
84,0.30646,118041348830.0,1011.5859375,0.0,4934227.199999999,0.0,2.487601070269041,0.0,0,1.0,0.9991550299692208,0.0,1.0
85,0.30410000000000004,118041348830.0,1011.62109375,0.0,4933996.799999999,0.0,2.4562549066523465,0.0,0,1.0,0.9991083751822453,0.0,1.0
86,0.29716,118041348830.0,1011.828125,0.0,4933836.799999999,0.0,2.4402556310088936,0.0,0,1.0,0.9990759760246234,0.0,1.0
87,0.2982,118041348830.0,1011.8515625,0.0,4933174.399999999,0.0,2.416604706299864,0.0,0,1.0,0.9989418435120687,0.0,1.0
88,0.28848,118041348830.0,1011.8359375,0.0,4932835.199999999,0.0,2.382825583138774,0.0,0,1.0,0.9988731572979103,0.0,1.0
89,0.28614,118041348830.0,1011.80078125,0.0,4932486.399999999,0.0,2.3629034897090726,0.0,0,1.0,0.9988025271342945,0.0,1.0
90,0.28184,118041348830.0,1011.84375,0.0,4931964.8,0.0,2.3451033156270036,0.0,0,1.0,0.9986969058804471,0.0,1.0
91,0.28188,118041348830.0,1011.94140625,0.0,4931283.199999999,0.0,2.328889125466622,0.0,0,1.0,0.9985588854689778,0.0,1.0
92,0.2698,118041348830.0,1011.94140625,0.0,4930598.399999999,0.0,2.3315627941941073,0.0,0,1.0,0.998420217074356,0.0,1.0
93,0.26826,118041348830.0,1011.8828125,0.0,4929622.399999999,0.0,2.3121076687963487,0.0,0,1.0,0.9982225822128624,0.0,1.0
94,0.26083999999999996,118041348830.0,1011.94921875,0.0,4928732.799999999,0.0,2.3134406632208138,0.0,0,1.0,0.9980424428964847,0.0,1.0
95,0.26149999999999995,118041348830.0,1011.92578125,0.0,4926931.2,0.0,2.319017682122362,0.0,0,1.0,0.9976776283816621,0.0,1.0
96,0.25402,118041348830.0,1011.88671875,0.0,4925996.799999999,0.0,2.3118963002093498,0.0,0,1.0,0.9974884173011501,0.0,1.0
97,0.25486,118041348830.0,1011.921875,0.0,4924076.8,0.0,2.328143747531135,0.0,0,1.0,0.9970996274096874,0.0,1.0
98,0.24764,118041348830.0,1011.71875,0.0,4922550.399999999,0.0,2.334827055138516,0.0,0,1.0,0.9967905394459744,0.0,1.0
99,0.25066,118041348830.0,1011.68359375,0.0,4920841.6,0.0,2.335286052269576,0.0,0,1.0,0.9964445164425725,0.0,1.0
100,0.24757999999999997,118041348830.0,1011.81640625,0.0,4919804.8,0.0,2.3451771319844554,0.0,0,1.0,0.9962345699011825,0.0,1.0

