round,accuracy,flops,memory_MB,memory_saved,communication_bytes,sparsity,avg_grad_norm,avg_phi,skipped_batches,effective_compute_ratio,compression_ratio,quantization_error,avg_scale_factor
1,0.07050000000000001,116341944744.0,1089.203125,0.0,5123283.199999999,0.8253165841729011,2.2947792198145853,0.0,23,0.9853051076682261,0.999828889027665,4.4025393373667834e-05,12494.50877326179
2,0.09041999999999999,115285662496.0,1103.578125,1022.4787292480469,5122937.6,0.7982948985007811,2.4223753256319474,0.0,37,0.9763307606139595,0.9997614438268907,4.607894842762919e-05,11593.86238062275
3,0.09882,109551558864.0,1107.66796875,1644.8570861816406,5122492.799999999,0.7906858055539894,2.4692401297620163,0.0,113,0.9277429484626254,0.9996746393555236,4.779051198552535e-05,10928.873655493386
4,0.1099,104798288748.0,1111.56640625,5023.482452392578,5122575.999999999,0.7793519871600187,2.5364313750466794,0.0,176,0.8875958103265964,0.9996908761631175,4.950799213744892e-05,10348.633825357076
5,0.12358,96121684568.0,1115.3671875,7824.18505859375,5122521.6,0.7679407021411337,2.640781952066341,0.0,291,0.8141034741974498,0.9996802597889215,5.1498329255570685e-05,9817.400854283074
6,0.1316,90161234740.0,1119.28125,12936.578704833984,5122483.199999999,0.7593997187072532,2.739469706439495,0.0,370,0.7634001165594981,0.9996727658777244,5.352349747572782e-05,9350.091309500178
7,0.14604,81031938168.0,1124.91796875,16448.570861816406,5122447.999999999,0.7570828481860927,2.8334070355215,0.0,491,0.6861958008111951,0.999665896459127,5.548158714608363e-05,8935.861393813699
8,0.15638,76052321856.0,1127.7578125,21827.69808959961,5122191.999999999,0.7548010056436307,2.8947990286193863,0.0,557,0.6440364438002504,0.9996159370511459,5.7338182840965376e-05,8574.107944388445
9,0.16582000000000002,69488282172.0,1131.93359375,24761.767486572266,5122227.199999999,0.7537716321122988,2.9822171319296684,0.0,644,0.5884868528199653,0.9996228064697433,5.915733394677889e-05,8247.32321843668
10,0.17214000000000002,64206870932.0,1134.8359375,28629.404418945312,5122294.399999999,0.7536243139226788,3.0639562372220617,0.0,714,0.543704142216765,0.9996359208143384,6.093495520331025e-05,7951.936565660537
11,0.18254,62018857704.0,954.69140625,31741.29620361328,5122345.6,0.7539153630140878,3.1105560806005563,0.0,743,0.525251975832001,0.9996459126959345,6.260661717752509e-05,7688.20363370553
12,0.1961,62094306436.0,958.40234375,33030.5085144043,5122489.6,0.7544445284144526,3.165144677676803,0.0,742,0.525830213261656,0.9996740148629238,6.421119696796443e-05,7450.433848268022
13,0.20185999999999998,62094306436.0,962.48046875,32986.05291748047,5122508.8,0.754942977974617,3.1889292010226944,0.0,742,0.5258875203978205,0.9996777618185224,6.570289821857321e-05,7235.803819876664
14,0.20666,62924242488.0,971.546875,32986.05291748047,5122374.399999999,0.7557756128380305,3.224755021187498,0.0,731,0.5329225488613172,0.9996515331293324,6.710274542830092e-05,7040.790976534101
15,0.20764,63075139952.0,974.65625,32497.04135131836,5122476.8,0.7567907866163865,3.2474891887063535,0.0,729,0.5341841451814837,0.9996715168925249,6.844835886685976e-05,6859.94206144552
16,0.21800000000000003,61264370384.0,739.99609375,32408.130157470703,5122553.6,0.7576364952956204,3.2892535529918114,0.0,753,0.5188769532142509,0.9996865047149192,6.975948980374834e-05,6694.0103800904035
17,0.22836000000000004,62848793756.0,698.69921875,33475.06448364258,5122438.399999999,0.7586860099466909,3.347157857074903,0.0,732,0.5322410034086362,0.9996640229813277,7.108878527055467e-05,6537.792673800583
18,0.2286,62471550096.0,434.22265625,32541.496948242188,5122598.399999999,0.7597539598930527,3.3783135372663,0.0,737,0.5290476426686933,0.9996952476113158,7.236065435008626e-05,6392.5842746238795
19,0.24203999999999998,62848793756.0,438.34765625,32763.774932861328,5122393.6,0.7609566238467027,3.3943150842380554,0.0,732,0.5322247485704917,0.999655280084931,7.357234621382422e-05,6256.422415371716
20,0.24832,63452383612.0,441.31640625,32541.496948242188,5122422.399999999,0.7621837500054465,3.4419146522760826,0.0,724,0.5373771158093124,0.9996609005183289,7.480089624247433e-05,6127.9690340981815
21,0.255,63075139952.0,445.89453125,32185.852172851562,5122521.599999999,0.7635187607135742,3.4795362886823638,0.0,729,0.5341882292718771,0.9996802597889215,7.603858694551268e-05,6006.355904223404
22,0.24939999999999998,60208088136.0,449.828125,32408.130157470703,5122473.6,0.7648837500006697,3.529199001306414,0.0,767,0.5098453372848156,0.999670892399925,7.726622522416075e-05,5891.214436190926
23,0.26486,63603281076.0,453.65234375,34097.44284057617,5122425.6,0.7663350000000004,3.5435279396171753,0.0,722,0.5386571059156691,0.9996615250109286,7.844667744009277e-05,5781.955609243849
24,0.26291999999999993,63678729808.0,457.13671875,32096.940979003906,5122543.999999999,0.7678537500000002,3.5519840549827295,0.0,721,0.5392841712112977,0.9996846312371198,7.954438339777321e-05,5678.809277073877
25,0.28106,62471550096.0,461.09375,32052.485382080078,5122515.199999999,0.7694411363369523,3.590149514780505,0.0,737,0.5290763159924531,0.999679010803722,8.066829311596647e-05,5581.088220978843
26,0.27732,63301486148.0,473.43359375,32763.774932861328,5122540.799999999,0.7710937500000572,3.6250366556750557,0.0,726,0.5360607677540449,0.9996840067445201,8.177656238455174e-05,5487.968056302601
27,0.28663999999999995,60962575456.0,477.57421875,32274.76336669922,5122508.799999999,0.7728150000000003,3.6381665874351645,0.0,757,0.5163680702697148,0.9996777618185224,8.284296716695944e-05,5400.1333012106525
28,0.29416000000000003,61641614044.0,478.51171875,33652.88687133789,5122543.999999999,0.7746037500000005,3.667457256267143,0.0,748,0.5220369582014175,0.9996846312371198,8.390763908670078e-05,5316.009034256209
29,0.30616,62471550096.0,480.265625,33252.78649902344,5122640.0,0.7764600000000003,3.707066088999661,0.0,737,0.5290419546173375,0.9997033660151127,8.496655959168682e-05,5234.843602343122
30,0.3004,63150588684.0,477.90625,32763.774932861328,5122489.6,0.7783837500000005,3.7387470557628477,0.0,728,0.5348697866446506,0.9996740148629238,8.603919682117681e-05,5157.271066653739
31,0.30438,62245203900.0,481.94140625,32363.674560546875,5122540.8,0.5202500000000001,3.7543175529098427,0.0,740,0.5271369710607798,0.9996840067445201,8.708706990569963e-05,5082.826186770928
32,0.30798,62471550096.0,484.9609375,32897.14172363281,5122630.399999999,0.5216225000000002,3.7834847694760265,0.0,737,0.5291087874077464,0.9997014925373134,8.811978690309575e-05,5011.4067638192155
33,0.31587999999999994,62018857704.0,489.421875,32763.774932861328,5122547.199999999,0.5230400000000001,3.820988228009334,0.0,743,0.5252952197598735,0.9996852557297196,8.914334639665409e-05,4943.275194327407
34,0.31575999999999993,59830844476.0,493.265625,33030.5085144043,5122582.399999999,0.5245025000000002,3.8460891843526985,0.0,772,0.5066219708381992,0.999692125148317,9.016024510647361e-05,4877.918719088411
35,0.31992000000000004,63829627272.0,497.2109375,34319.72082519531,5122524.8,0.5260100000000003,3.880949422662114,0.0,719,0.5405823612981469,0.9996808842815212,9.116777069225633e-05,4815.0916101564435
36,0.3337,61867960240.0,509.6171875,31963.574188232422,5122652.8,0.5275625000000003,3.896539664159407,0.0,745,0.5239991830418811,0.9997058639855118,9.216622779514964e-05,4754.328224240385
37,0.33634,60962575456.0,513.37109375,33119.41970825195,5122451.199999999,0.5291600000000002,3.91832011421364,0.0,757,0.5162698268688771,0.9996665209517267,9.314576486898495e-05,4696.136385029802
38,0.33449999999999996,60736229260.0,516.95703125,33652.88687133789,5122380.799999999,0.5308025000000001,3.9703094854157115,0.0,760,0.5143895379092998,0.9996527821145319,9.414591078292364e-05,4639.755404594832
39,0.3337,60208088136.0,520.78125,33786.253662109375,5122380.799999999,0.5324900000000004,3.9715578215498484,0.0,767,0.5098839778063817,0.9996527821145319,9.510397299727303e-05,4585.694388802101
40,0.35563999999999996,61641614044.0,524.25,34097.44284057617,5122479.999999999,0.5342225000000003,4.006021708272976,0.0,748,0.5219841503583048,0.9996721413851246,9.604787812526458e-05,4533.477815703919
41,0.3541,60660780528.0,528.046875,33252.78649902344,5122441.6,0.5360000000000005,4.031889632084647,0.0,761,0.5137791821658293,0.9996646474739275,9.700070417519827e-05,4483.086283533123
42,0.36078000000000005,60585331796.0,531.83203125,33830.7092590332,5122361.6,0.5378225000000001,4.081030224215802,0.0,762,0.5131257248687368,0.9996490351589333,9.79475898647106e-05,4434.257834231777
43,0.36394,61264370384.0,535.19140625,33875.16485595703,5122463.999999999,0.5396900000000002,4.0852164027338915,0.0,753,0.5188787917426256,0.9996690189221258,9.885081998987089e-05,4387.396939785426
44,0.363,60811677992.0,538.984375,33475.06448364258,5122265.6,0.5416025000000002,4.1208040320809305,0.0,759,0.5150752057133701,0.9996303003809405,9.97653638990196e-05,4341.897286823858
45,0.36757999999999996,63301486148.0,541.66796875,33741.79806518555,5122262.399999999,0.5435600000000003,4.1302384993021075,0.0,726,0.5361014550304946,0.9996296758883407,0.00010064879980328735,4298.095037972841
46,0.36688,61792511508.0,543.89453125,32274.76336669922,5122329.6,0.5455625000000002,4.181486983935252,0.0,746,0.5233782354210776,0.9996427902329358,0.00010155061682608,4255.337643616595
47,0.37426,60509883064.0,539.015625,33163.87530517578,5122160.0,0.5476100000000003,4.179544076024952,0.0,763,0.5124482622560897,0.9996096921251483,0.00010241500213482333,4214.242206812101
48,0.37795999999999996,60660780528.0,542.4765625,33919.62045288086,5122108.799999999,0.5497025000000004,4.193305014294034,0.0,761,0.5137179345638809,0.9995997002435522,0.00010325802542030247,4174.653390255009
49,0.3821,62245203900.0,545.3046875,33830.7092590332,5122208.0,0.5518400000000002,4.227542385435607,0.0,740,0.5270938970984205,0.9996190595141448,0.00010409872134355431,4136.1453350674365
50,0.38298,60811677992.0,560.83984375,32897.14172363281,5122185.6,0.5540225000000003,4.298430398242383,0.0,759,0.5150308112881894,0.9996146880659464,0.00010495991204701931,4098.538830064664
51,0.39044,61415267848.0,565.140625,33741.79806518555,5122102.399999999,0.5562500000000002,4.316708574683279,0.0,751,0.5200835751519962,0.9995984512583526,0.00010580824095427754,4061.9261263633794
52,0.39886000000000005,61490716580.0,567.046875,33386.15328979492,5122057.6,0.5585225000000005,4.321087487519818,0.0,750,0.5207898798035567,0.9995897083619559,0.00010662465758926628,4026.6061542284624
53,0.4002800000000001,61641614044.0,559.50390625,33341.697692871094,5122054.399999999,0.5608400000000002,4.365707276457686,0.0,748,0.521982452953821,0.9995890838693562,0.00010744955485913952,3992.01799421359
54,0.40358,61717062776.0,563.49609375,33252.78649902344,5121926.399999999,0.5632025000000002,4.366672866381902,0.0,747,0.5226941859987809,0.9995641041653657,0.00010824497856515397,3958.5925964307667
55,0.41432,59906293208.0,566.671875,33208.33090209961,5121856.0,0.5656100000000003,4.410236311209267,0.0,771,0.5073931117063732,0.9995503653281709,0.0001090303495912807,3926.3216462423725
56,0.40618,59453600816.0,571.43359375,34275.265228271484,5121859.199999999,0.5680625000000002,4.457019317967543,0.0,777,0.5034943319027122,0.9995509898207706,0.00010982134315128852,3894.6477706363485
57,0.4051,61264370384.0,574.43359375,34541.99880981445,5121900.8,0.5705600000000003,4.488332543971398,0.0,753,0.5188074740799758,0.9995591082245675,0.00011060671781370763,3863.9589432410403
58,0.41706000000000004,62245203900.0,576.75390625,33475.06448364258,5121836.799999999,0.5731025000000001,4.51717633127502,0.0,740,0.5271291823223743,0.9995466183725723,0.00011138951122501284,3833.9205409591937
59,0.41633999999999993,60736229260.0,580.84765625,32897.14172363281,5121657.6,0.5756900000000003,4.530794854260606,0.0,760,0.5143593634874726,0.9995116467869856,0.0001121505981929943,3804.758440053981
60,0.4223,60283536868.0,584.45703125,33786.253662109375,5121584.0,0.5783225000000002,4.564065073797318,0.0,766,0.5105512913356169,0.999497283457191,0.00011289938773147656,3776.316838176761
61,0.42268,61415267848.0,587.28515625,34052.987243652344,5121814.399999999,0.5810000000000004,4.591328035081834,0.0,751,0.5201384585916147,0.999542246924374,0.00011364799929765125,3748.665116208181
