round,accuracy,flops,memory_MB,memory_saved,communication_bytes,sparsity,avg_grad_norm,avg_phi,skipped_batches,effective_compute_ratio,compression_ratio,quantization_error,avg_scale_factor
1,0.6808399999999999,53524709154.0,1052.56640625,0.0,22536198.400000006,0.7632008240809093,2.518687479083591,0.0,50,0.9734021701898719,0.8663151821859858,8.336267104607622e-05,4824.405164779972
2,0.72724,42245555884.0,1077.41015625,1156.9984436035156,21450780.8,0.7503894785238455,3.445266737267069,0.0,435,0.7683169663485245,0.8245905874161831,9.594721720518391e-05,4658.002751411202
3,0.74626,37265150544.0,970.98046875,10065.886459350586,21182643.200000003,0.7508159477475665,3.638835350934504,0.0,605,0.6777283977216173,0.8142830959008922,9.78859708084826e-05,4979.753467932836
4,0.7604599999999999,35829621946.0,500.9296875,13999.681167602539,21125945.6,0.751313397875858,3.7674832395712463,0.0,654,0.6516535418703919,0.8121035804918733,9.847530455684148e-05,5201.479348482028
5,0.76922,34071831826.0,507.10546875,15133.539642333984,21007360.0,0.7514469645321752,3.852613301104667,0.0,714,0.6196366057455316,0.8075450252357821,9.83182726936785e-05,5362.807368340611
6,0.7790799999999999,32812082240.0,513.17578125,16521.937774658203,20923859.2,0.7516044115123135,3.9062885623379606,0.0,757,0.5967963122097888,0.8043351666127467,9.793505907421273e-05,5479.259323715567
7,0.78298,31610925658.0,469.828125,17516.956436157227,20847891.200000003,0.7518629506917914,3.951488861809847,0.0,798,0.5750154647945065,0.8014148767487603,9.744886244009538e-05,5566.200894850447
8,0.7891,29970321546.0,472.546875,18465.69515991211,20762396.8,0.752193050802495,4.0614022434834425,0.0,854,0.5449811956537263,0.7981283820437847,9.728090250245777e-05,5621.480221571347
9,0.7941399999999998,29735949530.0,474.01953125,19761.533416748047,20737737.6,0.752592509862624,4.119585264920227,0.0,862,0.5408280171079223,0.7971804564459801,9.71768249193199e-05,5666.183915098742
10,0.7958200000000001,28300420932.0,371.75390625,19946.65316772461,20690614.4,0.7531555030650117,4.182932493282668,0.0,911,0.5145760971842942,0.7953689910484628,9.710401614071548e-05,5699.429202089463
11,0.79952,27919566406.0,373.42578125,21080.511642456055,20740156.8,0.7537621368789125,4.238214983398165,0.0,924,0.5076994406833922,0.7972734530397954,9.717926993270946e-05,5720.601128462522
12,0.8023199999999999,27978159410.0,373.66796875,21381.33123779297,20692768.0,0.7545415447769745,4.258403627927323,0.0,922,0.5086692244061514,0.7954517776987772,9.714569182501292e-05,5744.994238698406
13,0.80876,28944943976.0,368.1875,21335.051300048828,20763331.2,0.7550191851446795,4.317787039276834,0.0,889,0.5264558463982348,0.7981643013630889,9.717399609041676e-05,5760.497715654918
14,0.81052,28359013936.0,351.8671875,20571.432327270508,20716899.200000003,0.7561192046558148,4.379497312673695,0.0,909,0.5157097584493746,0.7963794064209474,9.731408359874545e-05,5771.087766927596
15,0.81562,28476199944.0,360.98046875,21034.231704711914,20744560.0,0.7570900005061386,4.380280701711914,0.0,905,0.5179307211695904,0.7974427166814485,9.736162238472941e-05,5781.395687768367
16,0.81608,27392229370.0,369.765625,20941.671829223633,20635286.400000002,0.7577802364599797,4.4513881031387506,0.0,942,0.498140869503464,0.7932421245047255,9.747301681782989e-05,5787.357279604197
17,0.81914,27597304884.0,386.875,21797.850677490234,20702710.400000002,0.7590085219585804,4.513112784662526,0.0,935,0.5019068138751006,0.795833974017539,9.764077562884043e-05,5788.383994171334
18,0.8223800000000001,28534792948.0,394.73828125,21635.870895385742,20668803.200000003,0.7598593456565624,4.537980103776901,0.0,903,0.5190615789788924,0.794530545567716,9.786462405692956e-05,5788.358341225826
19,0.8234999999999999,27948862908.0,400.0703125,20895.391891479492,20685651.2,0.7611925332293257,4.509866561939846,0.0,923,0.508286511970164,0.7951782004175005,9.795213101061205e-05,5791.917290422876
20,0.8240999999999999,28622682454.0,399.0859375,21358.1912689209,20714294.400000002,0.7625174112371315,4.593226423241546,0.0,900,0.5205415000646145,0.7962792751678183,9.8162509039147e-05,5789.387352851097
21,0.82574,28593385952.0,388.296875,20825.97198486328,20644624.0,0.7641614620879784,4.6389127760886,0.0,901,0.5199716362170004,0.7936010716750335,9.838430598129066e-05,5784.890041931013
