round,accuracy,flops,memory_MB,memory_saved,communication_bytes,sparsity,avg_grad_norm,avg_phi,skipped_batches,effective_compute_ratio,compression_ratio,quantization_error,avg_scale_factor
1,0.21536,49247419862.0,1037.91796875,0.0,20404044.800000004,0.9216227939492019,1.9236501306932343,0.0,196,0.91251555347528,0.7843529540564843,8.807203229766882e-05,12804.023608609172
2,0.21634000000000003,47050182212.0,1069.40625,4535.433898925781,20381552.0,0.9436549465096282,1.7874804430314604,0.0,271,0.8843601194277941,0.7834883071544642,7.593974032816353e-05,17213.548845505957
3,0.25404,47020885710.0,1073.8359375,6270.931564331055,20737424.0,0.9470233684402423,1.6670704065483826,0.0,272,0.8933122753124527,0.7971684013319671,6.867343085528434e-05,19488.652841281164
4,0.28781999999999996,45204502586.0,454.00390625,6294.071533203125,20780044.799999997,0.9471515834796937,1.6766506231973524,0.0,334,0.8740902584202506,0.7988067897354395,6.441320425421099e-05,20679.814481434863
5,0.30038,44325607526.0,464.76171875,7728.749603271484,20805632.0,0.9477719463942185,1.6760312231995278,0.0,364,0.8605248159458008,0.7997903886298133,6.156215569343582e-05,21553.67268151361
6,0.30732,42011183868.0,466.8984375,8422.948669433594,20731104.0,0.9475026680716475,1.7025495270944504,0.0,443,0.8271826531347161,0.7969254538811932,5.976906857160032e-05,22208.01571889707
7,0.30963999999999997,41308067820.0,370.69921875,10251.006210327148,20721459.2,0.9476356084612411,1.721267878069097,0.0,467,0.8178707062151404,0.7965546976196071,5.848226204907332e-05,22765.963417676678
8,0.30816,39491684696.0,381.921875,10806.365463256836,20695331.2,0.9482796366757519,1.7706449784933767,0.0,529,0.7833201416331322,0.795550309804129,5.761379573894052e-05,23157.306634647815
9,0.31248,36356958982.0,386.76171875,12241.043533325195,20542822.400000002,0.9481858246094885,1.7830001435372513,0.0,636,0.7289788675285942,0.7896877110413774,5.6934718018377753e-05,23564.20950749942
10,0.31667999999999996,32694896232.0,387.8671875,14717.020202636719,20257513.6,0.9477421737579504,1.8754877391267197,0.0,761,0.6427868579202378,0.7787201405281862,5.6601627934378955e-05,23811.10959908625
11,0.32143999999999995,33105047260.0,381.61328125,17609.516311645508,20241785.6,0.9477035566881742,1.8565751355222133,0.0,747,0.6497583226358843,0.7781155396570197,5.627564151804711e-05,24083.676174271757
12,0.32164,33017157754.0,384.0859375,17285.556747436523,20303888.0,0.9476075119623856,1.8143431291184793,0.0,750,0.6499560868925325,0.7805028212657131,5.5879997409511826e-05,24268.74350899281
13,0.32178,33105047260.0,372.03125,17354.976654052734,20230003.200000003,0.9478637944465433,1.8057087039531243,0.0,747,0.6519177502207703,0.7776626118019566,5.549552192216713e-05,24561.636517550047
14,0.32172,32577710224.0,368.67578125,17285.556747436523,20098643.2,0.9480161923238551,1.8220356551898067,0.0,765,0.6399282478309193,0.7726129951668834,5.5179769810945297e-05,24743.04544507739
15,0.3227,33251529770.0,373.4375,17702.07618713379,20221964.8,0.9481693947564128,1.856560526191327,0.0,742,0.6513631988903305,0.7773536072468457,5.496544294770597e-05,24945.40995200597
16,0.32123999999999997,33544494790.0,383.94140625,17169.856903076172,20171190.4,0.9485903475731317,1.8981100682649348,0.0,732,0.6556113554160432,0.7754017858790331,5.483984766765582e-05,25178.81741071999
17,0.32338,33485901786.0,389.83203125,16938.45721435547,20062758.4,0.9482575514226277,1.84190463665532,0.0,734,0.6532344158277024,0.7712335456919573,5.465394383940329e-05,25406.10232084086
18,0.32399999999999995,34071831826.0,399.59375,16984.73715209961,20149209.6,0.9484160430608327,1.8548519718861318,0.0,714,0.6710588083374682,0.7745568207958098,5.447470237921815e-05,25622.438755313586
19,0.3237,34071831826.0,401.25390625,16521.937774658203,20078089.6,0.9482946260614028,1.9292443141607218,0.0,714,0.6660869704788428,0.7718228931535563,5.4430961872888026e-05,25785.562417811005
