round,accuracy,flops,memory_MB,memory_saved,communication_bytes,sparsity,avg_grad_norm,avg_phi,skipped_batches,effective_compute_ratio,compression_ratio,quantization_error,avg_scale_factor
1,0.68826,54989534254.0,949.6796875,0.0,23863286.4,0.0,2.547755931263753,0.0,0,1.0,0.9173298414506484,0.0,1.0
2,0.69248,54989534254.0,982.9609375,0.0,23893856.0,0.0,2.590480639253436,0.0,0,1.0,0.9185049690441893,0.0,1.0
3,0.69232,54989534254.0,983.02734375,0.0,23885164.799999997,0.0,2.5788614978027824,0.0,0,1.0,0.9181708701701125,0.0,1.0
4,0.6898799999999999,54989534254.0,994.6875,0.0,23874604.799999997,0.0,2.5823712666527174,0.0,0,1.0,0.9177649326574269,0.0,1.0
5,0.691,54989534254.0,1005.7734375,0.0,23884268.8,0.0,2.588627835155068,0.0,0,1.0,0.9181364269872179,0.0,1.0
6,0.69466,54989534254.0,1006.203125,0.0,23889628.8,0.0,2.5932110741499033,0.0,0,1.0,0.9183424710277477,0.0,1.0
7,0.68892,54989534254.0,997.453125,0.0,23875539.200000003,0.0,2.561526071487472,0.0,0,1.0,0.9178008519767312,0.0,1.0
8,0.6883000000000001,54989534254.0,998.48046875,0.0,23879065.6,0.0,2.5709133879198025,0.0,0,1.0,0.9179364105036947,0.0,1.0
9,0.68276,54989534254.0,998.4765625,0.0,23894124.8,0.0,2.5923882859214116,0.0,0,1.0,0.9185153019990577,0.0,1.0
10,0.69546,54989534254.0,998.5078125,0.0,23888665.6,0.0,2.58332608544332,0.0,0,1.0,0.9183054446061361,0.0,1.0
11,0.68106,54989534254.0,998.47265625,0.0,23869731.2,0.0,2.58011539592225,0.0,0,1.0,0.9175775863447542,0.0,1.0
12,0.6870999999999999,54989534254.0,998.5078125,0.0,23854435.200000003,0.0,2.5719058859913457,0.0,0,1.0,0.9169895920081975,0.0,1.0
13,0.69176,54989534254.0,998.44140625,0.0,23859846.4,0.0,2.570121015917204,0.0,0,1.0,0.9171976042306069,0.0,1.0
14,0.6965,54989534254.0,998.5078125,0.0,23862281.6,0.0,2.5704242238629726,0.0,0,1.0,0.9172912158812596,0.0,1.0
15,0.69452,54989534254.0,998.48828125,0.0,23851612.8,0.0,2.5657797017789545,0.0,0,1.0,0.9168810959820797,0.0,1.0
16,0.6899200000000001,54989534254.0,998.5234375,0.0,23861881.599999998,0.0,2.5695696380012207,0.0,0,1.0,0.9172758394603245,0.0,1.0
17,0.68824,54989534254.0,998.48828125,0.0,23845401.6,0.0,2.552096758505852,0.0,0,1.0,0.9166423309178001,0.0,1.0
18,0.6882600000000001,54989534254.0,998.28515625,0.0,23820371.2,0.0,2.5366248781619243,0.0,0,1.0,0.9156801360013679,0.0,1.0
19,0.6756800000000001,54989534254.0,998.3671875,0.0,23845513.6,0.0,2.5330461787976857,0.0,0,1.0,0.9166466363156619,0.0,1.0
20,0.68686,54989534254.0,998.40625,0.0,23839260.799999997,0.0,2.539841735066557,0.0,0,1.0,0.9164062721036051,0.0,1.0
21,0.6851999999999999,54989534254.0,998.35546875,0.0,23803097.599999998,0.0,2.5397001361476765,0.0,0,1.0,0.9150161206397083,0.0,1.0
22,0.68384,54989534254.0,999.39453125,0.0,23829961.6,0.0,2.5456789499023373,0.0,0,1.0,0.9160488010697069,0.0,1.0
23,0.6785800000000001,54989534254.0,999.390625,0.0,23827673.6,0.0,2.518064474053341,0.0,0,1.0,0.9159608479419583,0.0,1.0
24,0.68106,54989534254.0,999.41015625,0.0,23799395.199999996,0.0,2.5048556794342596,0.0,0,1.0,0.9148737964875334,0.0,1.0
25,0.674,54989534254.0,999.43359375,0.0,23811008.0,0.0,2.510616238191622,0.0,0,1.0,0.91532020474012,0.0,1.0
26,0.68238,54989534254.0,999.47265625,0.0,23784547.2,0.0,2.5062619402154036,0.0,0,1.0,0.914303023742424,0.0,1.0
27,0.66536,54989534254.0,999.3984375,0.0,23793651.199999996,0.0,2.495088055003456,0.0,0,1.0,0.914652991082906,0.0,1.0
28,0.6612199999999999,54989534254.0,999.4765625,0.0,23777139.2,0.0,2.474270897759224,0.0,0,1.0,0.9140182524267068,0.0,1.0
29,0.6764399999999999,54989534254.0,999.06640625,0.0,23782329.6,0.0,2.4679276195260904,0.0,0,1.0,0.91421777686476,0.0,1.0
30,0.6674599999999999,54989534254.0,999.42578125,0.0,23774265.599999998,0.0,2.470502089149792,0.0,0,1.0,0.9139077882187093,0.0,1.0
31,0.66602,54989534254.0,999.3984375,0.0,23760073.6,0.0,2.4553568552784872,0.0,0,1.0,0.9133622328039334,0.0,1.0
32,0.65564,54989534254.0,999.43359375,0.0,23759939.2,0.0,2.4418715263847064,0.0,0,1.0,0.9133570663264993,0.0,1.0
33,0.64378,54989534254.0,999.375,0.0,23726191.999999996,0.0,2.4406246210443996,0.0,0,1.0,0.9120597884450502,0.0,1.0
34,0.65138,54989534254.0,999.40625,0.0,23706822.4,0.0,2.4211910778979786,0.0,0,1.0,0.9113152006376909,0.0,1.0
35,0.6586000000000001,54989534254.0,999.36328125,0.0,23710825.6,0.0,2.4222196117358705,0.0,0,1.0,0.911469087858409,0.0,1.0
36,0.62446,54989534254.0,999.3984375,0.0,23692054.400000002,0.0,2.398019510943766,0.0,0,1.0,0.9107475031767686,0.0,1.0
37,0.63288,54989534254.0,999.3671875,0.0,23674806.4,0.0,2.37859911533376,0.0,0,1.0,0.9100844719060488,0.0,1.0
38,0.63912,54989534254.0,1001.09375,0.0,23662863.999999996,0.0,2.3780141136694377,0.0,0,1.0,0.9096253934826117,0.0,1.0
39,0.62864,54989534254.0,1003.04296875,0.0,23656003.2,0.0,2.3567075876618016,0.0,0,1.0,0.9093616571107336,0.0,1.0
40,0.62294,54989534254.0,1004.08203125,0.0,23636233.6,0.0,2.3440935986023783,0.0,0,1.0,0.9086016928824393,0.0,1.0
41,0.61986,54989534254.0,1004.765625,0.0,23611008.0,0.0,2.3394931668866112,0.0,0,1.0,0.9076319942725908,0.0,1.0
42,0.6208600000000001,54989534254.0,1004.85546875,0.0,23596902.4,0.0,2.3397849553744363,0.0,0,1.0,0.9070897601647369,0.0,1.0
43,0.6258,54989534254.0,1004.8359375,0.0,23574761.6,0.0,2.3095540954218423,0.0,0,1.0,0.9062386445131395,0.0,1.0
44,0.6067600000000001,54989534254.0,1004.86328125,0.0,23575033.599999998,0.0,2.300421960991179,0.0,0,1.0,0.9062491004793753,0.0,1.0
45,0.60494,54989534254.0,1004.921875,0.0,23539334.400000002,0.0,2.2941695995920366,0.0,0,1.0,0.9048767856637632,0.0,1.0
46,0.5987199999999999,54989534254.0,1004.890625,0.0,23518665.599999998,0.0,2.27786603004477,0.0,0,1.0,0.9040822552412069,0.0,1.0
47,0.58294,54989534254.0,1004.92578125,0.0,23483164.799999997,0.0,2.2589124006410084,0.0,0,1.0,0.9027175671303785,0.0,1.0
48,0.58222,54989534254.0,1004.89453125,0.0,23488214.4,0.0,2.2499171648509506,0.0,0,1.0,0.9029116790682628,0.0,1.0
49,0.57662,54989534254.0,1004.9296875,0.0,23444009.6,0.0,2.229743880869891,0.0,0,1.0,0.9012124000378875,0.0,1.0
50,0.5627800000000001,54989534254.0,1004.89453125,0.0,23427836.8,0.0,2.2217454673254284,0.0,0,1.0,0.9005907005866413,0.0,1.0
51,0.5682799999999999,54989534254.0,1004.921875,0.0,23385481.6,0.0,2.193191068890247,0.0,0,1.0,0.8989625221266697,0.0,1.0
52,0.5635600000000001,54989534254.0,1004.796875,0.0,23382937.6,0.0,2.1953367062892943,0.0,0,1.0,0.8988647280895228,0.0,1.0
53,0.55826,54989534254.0,1004.73828125,0.0,23364864.0,0.0,2.1801475608068053,0.0,0,1.0,0.898169959885993,0.0,1.0
54,0.54852,54989534254.0,1006.65625,0.0,23331763.200000003,0.0,2.179125491859609,0.0,0,1.0,0.8968975303007751,0.0,1.0
55,0.54016,54989534254.0,1006.69140625,0.0,23267910.400000002,0.0,2.1529231028628764,0.0,0,1.0,0.8944429614740698,0.0,1.0
56,0.53732,54989534254.0,1006.65234375,0.0,23262348.800000004,0.0,2.149509972666462,0.0,0,1.0,0.8942291677173888,0.0,1.0
57,0.5167200000000001,54989534254.0,1006.640625,0.0,23219939.199999996,0.0,2.1318088256678984,0.0,0,1.0,0.8925988980641701,0.0,1.0
58,0.51542,54989534254.0,1006.64453125,0.0,23193894.4,0.0,2.119489276221053,0.0,0,1.0,0.8915977085442466,0.0,1.0
59,0.51836,54989534254.0,1007.640625,0.0,23139654.4,0.0,2.1084211236381694,0.0,0,1.0,0.8895126658654526,0.0,1.0
60,0.5078400000000001,54989534254.0,1007.63671875,0.0,23115324.799999997,0.0,2.087707303937987,0.0,0,1.0,0.8885774104384986,0.0,1.0
