round,accuracy,flops,memory_MB,memory_saved,communication_bytes,sparsity,avg_grad_norm,avg_phi,skipped_batches,effective_compute_ratio,compression_ratio,quantization_error,avg_scale_factor
1,0.39518,55048127258.0,1014.6640625,0.0,23428531.200000003,0.0,2.5156962483993617,0.0,0,1.0,0.9006173940533845,0.0,1.0
2,0.40924000000000005,55048127258.0,1016.1796875,0.0,23409971.2,0.0,2.564345009487888,0.0,0,1.0,0.8999039281219977,0.0,1.0
3,0.40730000000000005,55048127258.0,1015.74609375,0.0,23433625.6,0.0,2.541695384471444,0.0,0,1.0,0.9008132281504134,0.0,1.0
4,0.40774,55048127258.0,1015.74609375,0.0,23448057.6,0.0,2.5727444627493314,0.0,0,1.0,0.9013680094177503,0.0,1.0
5,0.41059999999999997,55048127258.0,1017.62109375,0.0,23411225.599999998,0.0,2.583150402004835,0.0,0,1.0,0.8999521485780501,0.0,1.0
6,0.40668,55048127258.0,1017.59765625,0.0,23415555.200000003,0.0,2.5399508034999547,0.0,0,1.0,0.9001185829582512,0.0,1.0
7,0.41167999999999993,55048127258.0,1017.46484375,0.0,23422806.400000002,0.0,2.563057722174644,0.0,0,1.0,0.9003973267169619,0.0,1.0
8,0.40168,55048127258.0,1017.57421875,0.0,23442051.200000003,0.0,2.5603796615180268,0.0,0,1.0,0.9011371170809894,0.0,1.0
9,0.4093,55048127258.0,1017.5703125,0.0,23425324.8,0.0,2.566713666094978,0.0,0,1.0,0.900494136663169,0.0,1.0
10,0.39908,55048127258.0,1017.58203125,0.0,23410502.4,0.0,2.5232425692943625,0.0,0,1.0,0.8999243480089996,0.0,1.0
11,0.4058,55048127258.0,1017.59765625,0.0,23419350.4,0.0,2.556641567396456,0.0,0,1.0,0.9002644744400831,0.0,1.0
12,0.40494,55048127258.0,1017.53515625,0.0,23440352.0,0.0,2.5500842211836696,0.0,0,1.0,0.9010717980448574,0.0,1.0
13,0.39996,55048127258.0,1017.46875,0.0,23411625.6,0.0,2.578067306530291,0.0,0,1.0,0.8999675249989851,0.0,1.0
