round,accuracy,flops,memory_MB,memory_saved,communication_bytes,sparsity,avg_grad_norm,avg_phi,skipped_batches,effective_compute_ratio,compression_ratio,quantization_error,avg_scale_factor
1,0.23046000000000003,55018830756.0,634.734375,0.0,19316998.400000002,0.0,2.262171351334227,0.0,0,1.0,0.7425657465006341,0.0,1.0
2,0.23298000000000002,55018830756.0,634.3203125,0.0,19978588.800000004,0.0,2.300421868019307,0.0,0,1.0,0.7679979776931186,0.0,1.0
3,0.23113999999999998,55018830756.0,632.15625,0.0,20293798.400000002,0.0,2.2748885802717957,0.0,0,1.0,0.7801149664240472,0.0,1.0
4,0.22847999999999996,55018830756.0,631.25,0.0,20372681.6,0.0,2.268505600682952,0.0,0,1.0,0.7831473196438082,0.0,1.0
5,0.23047999999999996,55018830756.0,631.7109375,0.0,20503520.0,0.0,2.279114434196992,0.0,0,1.0,0.7881768854259822,0.0,1.0
6,0.23262,55018830756.0,631.76171875,0.0,20571340.800000004,0.0,2.268694486657526,0.0,0,1.0,0.7907839883483633,0.0,1.0
7,0.23498000000000002,55018830756.0,631.921875,0.0,20594656.0,0.0,2.269217596542942,0.0,0,1.0,0.791680249171826,0.0,1.0
8,0.23471999999999998,55018830756.0,631.77734375,0.0,20650582.4,0.0,2.293662010296433,0.0,0,1.0,0.7938301188412821,0.0,1.0
9,0.22974,55018830756.0,631.921875,0.0,20627241.6,0.0,2.2597955473188995,0.0,0,1.0,0.7929328739268796,0.0,1.0
10,0.23206,55018830756.0,631.9453125,0.0,20601248.0,0.0,2.2850642617762142,0.0,0,1.0,0.7919336525888357,0.0,1.0
11,0.22856,55018830756.0,632.12109375,0.0,20623500.800000004,0.0,2.283594595341006,0.0,0,1.0,0.7927890736382949,0.0,1.0
12,0.23292000000000002,55018830756.0,632.16015625,0.0,20639616.0,0.0,2.27325966502099,0.0,0,1.0,0.7934085588849266,0.0,1.0
13,0.23124000000000003,55018830756.0,632.3203125,0.0,20616390.400000002,0.0,2.282878882363145,0.0,0,1.0,0.7925157423797533,0.0,1.0
14,0.23068,55018830756.0,631.18359375,0.0,20589404.8,0.0,2.2952324220616154,0.0,0,1.0,0.7914783875177905,0.0,1.0
15,0.22800000000000004,55018830756.0,631.83984375,0.0,20598275.2,0.0,2.277713507430669,0.0,0,1.0,0.7918193750284463,0.0,1.0
16,0.23416,55018830756.0,631.75,0.0,20550032.0,0.0,2.3162867807944325,0.0,0,1.0,0.7899648556523108,0.0,1.0
17,0.22664,55018830756.0,631.8125,0.0,20557315.2,0.0,2.295920488698795,0.0,0,1.0,0.7902448295246963,0.0,1.0
18,0.22447999999999996,55018830756.0,631.75390625,0.0,20538048.0,0.0,2.2876483470769133,0.0,0,1.0,0.7895041780810965,0.0,1.0
19,0.22936,55018830756.0,631.89453125,0.0,20546012.8,0.0,2.319701303892526,0.0,0,1.0,0.7898103533747554,0.0,1.0
20,0.22671999999999998,55018830756.0,631.75,0.0,20541382.4,0.0,2.3117418680543147,0.0,0,1.0,0.7896323559260111,0.0,1.0
21,0.2293,55018830756.0,631.7421875,0.0,20496329.6,0.0,2.2857275845299454,0.0,0,1.0,0.7879004788832537,0.0,1.0
22,0.22712000000000004,55018830756.0,631.7421875,0.0,20482489.6,0.0,2.3231810574440552,0.0,0,1.0,0.7873684547189006,0.0,1.0
23,0.22662000000000004,55018830756.0,631.7421875,0.0,20433641.6,0.0,2.332820868042975,0.0,0,1.0,0.7854906861943112,0.0,1.0
24,0.22882000000000002,55018830756.0,631.4921875,0.0,20493356.799999997,0.0,2.3283805652215994,0.0,0,1.0,0.7877862013228643,0.0,1.0
25,0.22498,55018830756.0,631.23046875,0.0,20370905.6,0.0,2.3072422118512996,0.0,0,1.0,0.7830790483348566,0.0,1.0
26,0.22641999999999998,55018830756.0,631.23046875,0.0,20362473.6,0.0,2.3553706269380448,0.0,0,1.0,0.7827549133815456,0.0,1.0
27,0.22546,55018830756.0,631.1796875,0.0,20389900.8,0.0,2.315824501093613,0.0,0,1.0,0.7838092438122207,0.0,1.0
