round,accuracy,flops,memory_MB,memory_saved,communication_bytes,sparsity,avg_grad_norm,avg_phi,skipped_batches,effective_compute_ratio,compression_ratio,quantization_error,avg_scale_factor
1,0.80054,54989534254.0,999.4140625,0.0,22654128.000000004,0.0,2.570106969283306,0.0,0,1.0,0.8708485201117435,0.0,1.0
2,0.8089999999999999,54989534254.0,1023.6484375,0.0,22676784.0,0.0,2.633971624219533,0.0,0,1.0,0.8717194405935053,0.0,1.0
3,0.81082,54989534254.0,1031.328125,0.0,22732768.0,0.0,2.664249015169659,0.0,0,1.0,0.8738715244675761,0.0,1.0
4,0.8154600000000001,54989534254.0,460.34375,0.0,22747680.0,0.0,2.647886920485774,0.0,0,1.0,0.874444757440035,0.0,1.0
5,0.80244,54989534254.0,465.5390625,0.0,22733881.6,0.0,2.643462067903049,0.0,0,1.0,0.8739143324234593,0.0,1.0
6,0.8118000000000001,54989534254.0,473.890625,0.0,22724819.200000003,0.0,2.650477443858989,0.0,0,1.0,0.8735659642307546,0.0,1.0
7,0.8145,54989534254.0,477.59375,0.0,22713459.200000003,0.0,2.645242622178503,0.0,0,1.0,0.8731292738761989,0.0,1.0
8,0.81684,54989534254.0,478.15625,0.0,22733024.0,0.0,2.6423569980757757,0.0,0,1.0,0.8738813653769745,0.0,1.0
9,0.8040200000000001,54989534254.0,478.21484375,0.0,22684950.400000002,0.0,2.6670284381649827,0.0,0,1.0,0.8720333656033153,0.0,1.0
10,0.8071999999999999,54989534254.0,480.11328125,0.0,22682899.2,0.0,2.615620948360023,0.0,0,1.0,0.8719545153167604,0.0,1.0
11,0.80834,54989534254.0,480.0625,0.0,22669648.0,0.0,2.609330130893137,0.0,0,1.0,0.8714451252440238,0.0,1.0
12,0.8048599999999999,54989534254.0,412.4453125,0.0,22694249.6,0.0,2.6258384707012636,0.0,0,1.0,0.8723908366372136,0.0,1.0
13,0.8013399999999999,54989534254.0,412.4375,0.0,22665244.8,0.0,2.6175087510460124,0.0,0,1.0,0.8712758616023707,0.0,1.0
14,0.8059200000000001,54989534254.0,412.4765625,0.0,22698953.6,0.0,2.6075249381170886,0.0,0,1.0,0.87257166334741,0.0,1.0
15,0.8084800000000001,54989534254.0,412.51953125,0.0,22647264.0,0.0,2.5956609780012707,0.0,0,1.0,0.8705846607284979,0.0,1.0
16,0.8032600000000001,54989534254.0,412.5859375,0.0,22653744.0,0.0,2.604715567039153,0.0,0,1.0,0.8708337587476459,0.0,1.0
17,0.8013600000000001,54989534254.0,412.58984375,0.0,22626326.4,0.0,2.576709630414669,0.0,0,1.0,0.8697797973510732,0.0,1.0
18,0.79338,54989534254.0,412.8359375,0.0,22571788.8,0.0,2.579522021387347,0.0,0,1.0,0.8676833146151036,0.0,1.0
19,0.7971,54989534254.0,365.47265625,0.0,22584624.0,0.0,2.565634346072829,0.0,0,1.0,0.8681767132100677,0.0,1.0
20,0.79356,54989534254.0,368.06640625,0.0,22554784.0,0.0,2.5486279282196675,0.0,0,1.0,0.8670296322083124,0.0,1.0
21,0.7948999999999999,54989534254.0,369.64453125,0.0,22556505.6,0.0,2.5513559969002437,0.0,0,1.0,0.8670958123240169,0.0,1.0
22,0.8077,54989534254.0,369.8359375,0.0,22539785.599999998,0.0,2.528983560267551,0.0,0,1.0,0.8664530779289314,0.0,1.0
23,0.78678,54989534254.0,369.81640625,0.0,22512579.200000003,0.0,2.5294794367308637,0.0,0,1.0,0.8654072352826124,0.0,1.0
24,0.7972400000000001,54989534254.0,372.19140625,0.0,22499494.4,0.0,2.504604553186778,0.0,0,1.0,0.8649042418009848,0.0,1.0
25,0.7888,54989534254.0,372.91015625,0.0,22495638.400000002,0.0,2.484921207764848,0.0,0,1.0,0.8647560131031709,0.0,1.0
26,0.78964,54989534254.0,353.9921875,0.0,22467110.400000002,0.0,2.4921693576341517,0.0,0,1.0,0.8636593667620824,0.0,1.0
27,0.79166,54989534254.0,354.11328125,0.0,22453689.6,0.0,2.4629339287232304,0.0,0,1.0,0.8631434570868693,0.0,1.0
