round,accuracy,flops,memory_MB,memory_saved,communication_bytes,sparsity,avg_grad_norm,avg_phi,skipped_batches,effective_compute_ratio,compression_ratio,quantization_error,avg_scale_factor
1,0.48278,55018830756.0,389.4765625,0.0,22387804.800000004,0.0,2.718530083089606,0.0,0,1.0,0.860610776041814,0.0,1.0
2,0.48217999999999994,55018830756.0,392.06640625,0.0,22404489.6,0.0,2.7006736700548357,0.0,0,1.0,0.8612521573118572,0.0,1.0
3,0.4787800000000001,55018830756.0,392.2265625,0.0,22441283.200000003,0.0,2.720105305681244,0.0,0,1.0,0.8626665420151476,0.0,1.0
4,0.47246,55018830756.0,392.5625,0.0,22467014.400000002,0.0,2.7524723364862718,0.0,0,1.0,0.8636556764210581,0.0,1.0
5,0.47583999999999993,55018830756.0,394.578125,0.0,22380723.200000003,0.0,2.7130263901587495,0.0,0,1.0,0.8603385518855797,0.0,1.0
6,0.47947999999999996,55018830756.0,393.25,0.0,22439254.400000002,0.0,2.725696459821334,0.0,0,1.0,0.862588552808165,0.0,1.0
7,0.47576,55018830756.0,394.3515625,0.0,22375539.200000003,0.0,2.7089128812531045,0.0,0,1.0,0.8601392734702614,0.0,1.0
8,0.47206000000000004,55018830756.0,394.53515625,0.0,22380345.6,0.0,2.710860949670687,0.0,0,1.0,0.8603240365442171,0.0,1.0
9,0.48134,55018830756.0,402.5546875,0.0,22369315.200000003,0.0,2.7298081429710543,0.0,0,1.0,0.8599000163605118,0.0,1.0
10,0.4739000000000001,55018830756.0,404.140625,0.0,22393907.200000003,0.0,2.7277859289680806,0.0,0,1.0,0.8608453587195993,0.0,1.0
11,0.47666000000000003,55018830756.0,404.1640625,0.0,22360787.2,0.0,2.715140994134291,0.0,0,1.0,0.8595721910661764,0.0,1.0
12,0.47273999999999994,55018830756.0,404.1484375,0.0,22390214.400000002,0.0,2.704710314730721,0.0,0,1.0,0.8607034036015269,0.0,1.0
13,0.46754000000000007,55018830756.0,404.16796875,0.0,22338544.0,0.0,2.7137977955362755,0.0,0,1.0,0.8587171390508197,0.0,1.0
14,0.4726800000000001,55018830756.0,404.17578125,0.0,22327068.799999997,0.0,2.710811137156949,0.0,0,1.0,0.8582760202870348,0.0,1.0
15,0.47206000000000004,55018830756.0,404.28515625,0.0,22369952.0,0.0,2.7103950447457685,0.0,0,1.0,0.8599244956226405,0.0,1.0
