round,accuracy,flops,memory_MB,memory_saved,communication_bytes,sparsity,avg_grad_norm,avg_phi,skipped_batches,effective_compute_ratio,compression_ratio,quantization_error,avg_scale_factor
1,0.22896,54989534254.0,411.2421875,0.0,20412585.6,0.0,2.164867709596635,0.0,0,1.0,0.7846812713962897,0.0,1.0
2,0.2291,54989534254.0,411.91015625,0.0,20475164.8,0.0,2.1561226361779333,0.0,0,1.0,0.7870868816987378,0.0,1.0
3,0.22904,54989534254.0,411.92578125,0.0,20480080.0,0.0,2.147580707354037,0.0,0,1.0,0.7872758271591878,0.0,1.0
4,0.22801999999999997,54989534254.0,411.9296875,0.0,20459689.6,0.0,2.1598449621986586,0.0,0,1.0,0.7864919987256023,0.0,1.0
5,0.22876,54989534254.0,411.9375,0.0,20432844.8,0.0,2.1740497059515365,0.0,0,1.0,0.7854600563638086,0.0,1.0
6,0.22988,54989534254.0,411.9453125,0.0,20459958.4,0.0,2.158884069744365,0.0,0,1.0,0.7865023316804706,0.0,1.0
7,0.22841999999999998,54989534254.0,411.94921875,0.0,20429353.6,0.0,2.1727619478155544,0.0,0,1.0,0.7853258509618873,0.0,1.0
8,0.22822,54989534254.0,411.95703125,0.0,20393657.6,0.0,2.168193350748415,0.0,0,1.0,0.7839536591576428,0.0,1.0
9,0.22862,54989534254.0,411.9765625,0.0,20433459.200000003,0.0,2.1663842035306167,0.0,0,1.0,0.7854836745463648,0.0,1.0
10,0.22834000000000004,54989534254.0,411.58203125,0.0,20426006.4,0.0,2.168781488263169,0.0,0,1.0,0.7851971810715028,0.0,1.0
11,0.22927999999999998,54989534254.0,411.6015625,0.0,20368505.6,0.0,2.171501657572614,0.0,0,1.0,0.7829867898092463,0.0,1.0
12,0.22871999999999998,54989534254.0,411.625,0.0,20349670.4,0.0,2.1878853466664685,0.0,0,1.0,0.7822627449002563,0.0,1.0
13,0.2287,54989534254.0,411.625,0.0,20405548.8,0.0,2.190648836260748,0.0,0,1.0,0.7844107693992002,0.0,1.0
14,0.22798,54989534254.0,411.62890625,0.0,20365513.6,0.0,2.19708428761684,0.0,0,1.0,0.782871774180652,0.0,1.0
15,0.22799999999999998,54989534254.0,411.64453125,0.0,20353532.799999997,0.0,2.202383325717003,0.0,0,1.0,0.7824112196208052,0.0,1.0
16,0.22856,54989534254.0,411.64453125,0.0,20362089.6,0.0,2.2263615708491242,0.0,0,1.0,0.782740152017448,0.0,1.0
17,0.22885999999999998,54989534254.0,411.64453125,0.0,20358854.400000002,0.0,2.227923978965024,0.0,0,1.0,0.7826157875249252,0.0,1.0
18,0.22871999999999998,54989534254.0,411.64453125,0.0,20309772.8,0.0,2.2511564593580182,0.0,0,1.0,0.7807290391705097,0.0,1.0
19,0.22725999999999996,54989534254.0,411.64453125,0.0,20339699.2,0.0,2.245583991838445,0.0,0,1.0,0.7818794414791871,0.0,1.0
20,0.22809999999999997,54989534254.0,411.6328125,0.0,20314956.8,0.0,2.256669302780929,0.0,0,1.0,0.7809283175858281,0.0,1.0
21,0.22820000000000001,54989534254.0,411.65625,0.0,20351379.200000003,0.0,2.2724771934977204,0.0,0,1.0,0.7823284329704908,0.0,1.0
22,0.22782,54989534254.0,411.65625,0.0,20336496.0,0.0,2.2724718165650795,0.0,0,1.0,0.7817563071003392,0.0,1.0
23,0.22738,54989534254.0,411.65625,0.0,20326604.8,0.0,2.2995933908318205,0.0,0,1.0,0.7813760789634571,0.0,1.0
24,0.22691999999999996,54989534254.0,411.66015625,0.0,20315440.0,0.0,2.298248629654481,0.0,0,1.0,0.7809468923023176,0.0,1.0
25,0.22622,54989534254.0,411.6640625,0.0,20326825.600000005,0.0,2.3168338592435656,0.0,0,1.0,0.7813845667478132,0.0,1.0
26,0.22557999999999997,54989534254.0,411.6640625,0.0,20281884.8,0.0,2.336501158453234,0.0,0,1.0,0.7796569951029174,0.0,1.0
27,0.22611999999999996,54989534254.0,411.6640625,0.0,20316854.400000002,0.0,2.360688037479595,0.0,0,1.0,0.781001263326744,0.0,1.0
28,0.22610000000000002,54989534254.0,411.6640625,0.0,20319164.799999997,0.0,2.3648060235932458,0.0,0,1.0,0.7810900775340649,0.0,1.0
29,0.22616,54989534254.0,411.6640625,0.0,20302300.800000004,0.0,2.387475470868165,0.0,0,1.0,0.7804418076274429,0.0,1.0
30,0.22522000000000003,54989534254.0,411.5625,0.0,20281824.0,0.0,2.403426916992639,0.0,0,1.0,0.7796546578869353,0.0,1.0
31,0.22458,54989534254.0,411.67578125,0.0,20248531.2,0.0,2.4228900995004614,0.0,0,1.0,0.7783748476196686,0.0,1.0
32,0.22418,54989534254.0,411.67578125,0.0,20256563.2,0.0,2.4611892237843906,0.0,0,1.0,0.7786836061520445,0.0,1.0
33,0.22502,54989534254.0,411.6796875,0.0,20261363.2,0.0,2.4710735487333624,0.0,0,1.0,0.7788681232032653,0.0,1.0
34,0.22349999999999998,54989534254.0,411.6796875,0.0,20246560.0,0.0,2.4942000296965356,0.0,0,1.0,0.7782990726173006,0.0,1.0
35,0.22048,54989534254.0,411.6796875,0.0,20209321.6,0.0,2.510750636087938,0.0,0,1.0,0.7768675893339303,0.0,1.0
36,0.22228000000000003,54989534254.0,411.68359375,0.0,20262745.6,0.0,2.548657103435566,0.0,0,1.0,0.7789212641140167,0.0,1.0
37,0.22169999999999995,54989534254.0,411.6875,0.0,20157017.6,0.0,2.5814798797751735,0.0,0,1.0,0.7748569685324621,0.0,1.0
38,0.22038000000000002,54989534254.0,411.6875,0.0,20197756.799999997,0.0,2.6115786826603578,0.0,0,1.0,0.7764230262518559,0.0,1.0
39,0.22026000000000004,54989534254.0,411.6875,0.0,20182876.799999997,0.0,2.6412382497737346,0.0,0,1.0,0.7758510233930718,0.0,1.0
40,0.21842,54989534254.0,411.6875,0.0,20183248.0,0.0,2.6620736122734048,0.0,0,1.0,0.7758652927116995,0.0,1.0
41,0.22034000000000004,54989534254.0,411.66796875,0.0,20134224.0,0.0,2.690912809207228,0.0,0,1.0,0.7739807585618987,0.0,1.0
42,0.2182,54989534254.0,411.69140625,0.0,20138908.8,0.0,2.7312200508843896,0.0,0,1.0,0.7741608472038901,0.0,1.0
43,0.21658,54989534254.0,411.69140625,0.0,20199497.6,0.0,2.77366373326305,0.0,0,1.0,0.7764899444357654,0.0,1.0
44,0.21514000000000003,54989534254.0,411.703125,0.0,20105923.200000003,0.0,2.793572224336095,0.0,0,1.0,0.7728928460279014,0.0,1.0
45,0.21635999999999997,54989534254.0,411.70703125,0.0,20126252.799999997,0.0,2.8455378162906246,0.0,0,1.0,0.7736743372455048,0.0,1.0
46,0.21454,54989534254.0,411.70703125,0.0,20123084.8,0.0,2.8857689904741184,0.0,0,1.0,0.7735525559916991,0.0,1.0
47,0.21376,54989534254.0,411.70703125,0.0,20128835.2,0.0,2.9263836620741097,0.0,0,1.0,0.7737736074190616,0.0,1.0
48,0.21422,54989534254.0,411.7109375,0.0,20061651.2,0.0,2.982186903049006,0.0,0,1.0,0.7711909837588091,0.0,1.0
49,0.213,54989534254.0,411.71875,0.0,20044803.200000003,0.0,3.0344019760812397,0.0,0,1.0,0.7705433289090244,0.0,1.0
50,0.21308,54989534254.0,411.76171875,0.0,20021539.200000003,0.0,3.0758910323151176,0.0,0,1.0,0.7696490362674415,0.0,1.0
51,0.21261999999999998,54989534254.0,411.7421875,0.0,20035996.800000004,0.0,3.13316236627991,0.0,0,1.0,0.7702048016257182,0.0,1.0
52,0.21227999999999997,54989534254.0,411.76171875,0.0,20012713.6,0.0,3.1890133971147034,0.0,0,1.0,0.7693097709159303,0.0,1.0
53,0.21225999999999998,54989534254.0,411.7734375,0.0,19995104.000000004,0.0,3.232554675276252,0.0,0,1.0,0.7686328393606853,0.0,1.0
54,0.21189999999999998,54989534254.0,411.78125,0.0,19996518.4,0.0,3.290668838948838,0.0,0,1.0,0.7686872103851117,0.0,1.0
55,0.21142000000000002,54989534254.0,411.7890625,0.0,19939273.6,0.0,3.369088224278049,0.0,0,1.0,0.7664866600322536,0.0,1.0
56,0.21176,54989534254.0,415.7890625,0.0,19961718.400000002,0.0,3.4145495532794925,0.0,0,1.0,0.7673494617637616,0.0,1.0
57,0.21172,54989534254.0,415.7890625,0.0,19894649.6,0.0,3.4660284474099567,0.0,0,1.0,0.7647712665127384,0.0,1.0
58,0.2113,54989534254.0,415.79296875,0.0,19860252.8,0.0,3.5345154135249444,0.0,0,1.0,0.7634490173236909,0.0,1.0
59,0.21116000000000001,54989534254.0,415.79296875,0.0,19863667.200000003,0.0,3.6115366803374016,0.0,0,1.0,0.7635802704527925,0.0,1.0
60,0.21116000000000001,54989534254.0,415.80078125,0.0,19851120.0,0.0,3.672574380697616,0.0,0,1.0,0.7630979428809016,0.0,1.0
61,0.21004,54989534254.0,415.83203125,0.0,19857075.2,0.0,3.73052497322209,0.0,0,1.0,0.7633268670357828,0.0,1.0
62,0.21012,54989534254.0,415.5625,0.0,19798412.8,0.0,3.8166906738927926,0.0,0,1.0,0.7610718226471308,0.0,1.0
63,0.21048,54989534254.0,415.5859375,0.0,19759635.2,0.0,3.8804494146329516,0.0,0,1.0,0.7595811708960025,0.0,1.0
64,0.20914000000000002,54989534254.0,415.5859375,0.0,19722496.0,0.0,3.9460495043213526,0.0,0,1.0,0.7581535009650242,0.0,1.0
65,0.2097,54989534254.0,415.58984375,0.0,19679881.6,0.0,4.011624195357749,0.0,0,1.0,0.7565153585842868,0.0,1.0
66,0.20645999999999995,54989534254.0,415.58984375,0.0,19611267.2,0.0,4.081256698354986,0.0,0,1.0,0.7538777488427706,0.0,1.0
67,0.20634000000000002,54989534254.0,415.59375,0.0,19611152.0,0.0,4.140757579345853,0.0,0,1.0,0.7538733204335413,0.0,1.0
68,0.20540000000000003,54989534254.0,415.59375,0.0,19559001.6,0.0,4.208831383513425,0.0,0,1.0,0.7518686041777121,0.0,1.0
69,0.20351999999999998,54989534254.0,415.59375,0.0,19518313.6,0.0,4.275491731093768,0.0,0,1.0,0.7503045146401979,0.0,1.0
70,0.20259999999999997,54989534254.0,415.59375,0.0,19468454.400000002,0.0,4.34423672994303,0.0,0,1.0,0.7483878745234848,0.0,1.0
71,0.19935999999999998,54989534254.0,415.84375,0.0,19461017.6,0.0,4.396774024883635,0.0,0,1.0,0.7481019961054601,0.0,1.0
72,0.19854000000000002,54989534254.0,415.45703125,0.0,19403478.400000002,0.0,4.4670016267478845,0.0,0,1.0,0.7458901287067938,0.0,1.0
73,0.19130000000000003,54989534254.0,415.83203125,0.0,19353132.8,0.0,4.5248050896947865,0.0,0,1.0,0.7439547908622236,0.0,1.0
74,0.18902,54989534254.0,415.859375,0.0,19306988.8,0.0,4.60309665446003,0.0,0,1.0,0.7421809669431552,0.0,1.0
75,0.1874,54989534254.0,415.859375,0.0,19219571.2,0.0,4.647259395029776,0.0,0,1.0,0.7388205424063238,0.0,1.0
76,0.18934,54989534254.0,415.86328125,0.0,19175984.0,0.0,4.702857055636727,0.0,0,1.0,0.7371450045698723,0.0,1.0
77,0.1852,54989534254.0,415.86328125,0.0,19109094.400000002,0.0,4.766512798886085,0.0,0,1.0,0.734573697955428,0.0,1.0
78,0.18478,54989534254.0,415.87109375,0.0,19015132.8,0.0,4.7973716209908615,0.0,0,1.0,0.7309617151720991,0.0,1.0
79,0.18146,54989534254.0,415.87890625,0.0,18936419.2,0.0,4.849216948770818,0.0,0,1.0,0.7279358815548145,0.0,1.0
80,0.18648,54989534254.0,415.87890625,0.0,18869177.6,0.0,4.900658577549316,0.0,0,1.0,0.7253510436899474,0.0,1.0
