round,accuracy,flops,memory_MB,memory_saved,communication_bytes,sparsity,avg_grad_norm,avg_phi,skipped_batches,effective_compute_ratio,compression_ratio,quantization_error,avg_scale_factor
1,0.7596,54989534254.0,1023.56640625,0.0,20655680.0,0.765033874095208,2.2809058761866217,0.0,0,1.0,0.7940260759496786,7.127008861872559e-05,5772.73113185006
2,0.87844,54989534254.0,1046.671875,0.0,21614502.400000002,0.7500569211895143,3.7571674243409894,0.0,0,1.0,0.8308842180105863,9.240665215624613e-05,5128.495833559506
3,0.8987999999999999,54989534254.0,1050.49609375,0.0,21169312.0,0.7501646187593596,3.7850556390638905,0.0,0,1.0,0.8137706305439686,9.155149119547999e-05,5784.033322914783
4,0.91022,54989534254.0,1052.05859375,0.0,20982633.6,0.7505080911883459,3.725823337721394,0.0,0,1.0,0.8065945163992605,9.017147918916766e-05,6215.474813890504
5,0.9168200000000001,54989534254.0,1053.5390625,0.0,20796256.000000004,0.7513245811320871,3.6861353635426846,0.0,0,1.0,0.7994299653230955,8.896491003838525e-05,6519.424510955572
6,0.9225999999999999,54989534254.0,1059.0625,0.0,20702505.6,0.7512923117575079,3.65304671718185,0.0,0,1.0,0.7958261012900202,8.798192841531522e-05,6734.756968627042
7,0.92744,54989534254.0,1060.640625,0.0,20631324.8,0.7518555709252283,3.640699361681077,0.0,0,1.0,0.7930898364317847,8.712735636655486e-05,6910.183087618449
8,0.9326599999999999,54989534254.0,1062.10546875,0.0,20545040.0,0.7522027223004726,3.616837018959641,0.0,0,1.0,0.7897729579190413,8.624588786642129e-05,7064.541583493095
9,0.9365,54989534254.0,1062.92578125,0.0,20532566.4,0.7534380151482907,3.612668135371984,0.0,0,1.0,0.7892934596086024,8.549981797574024e-05,7198.966632865867
10,0.94018,54989534254.0,970.7265625,0.0,20461516.8,0.753853319245796,3.5853169946989807,0.0,0,1.0,0.7865622382164336,8.46153634849367e-05,7333.033194838278
11,0.9429000000000001,54989534254.0,769.49609375,0.0,20417027.2,0.754946639466368,3.5884288669597866,0.0,0,1.0,0.7848520111743527,8.38193738751069e-05,7457.703142454117
12,0.94628,54989534254.0,671.5234375,0.0,20395235.200000003,0.7560485206953865,3.575272907249802,0.0,0,1.0,0.7840143037618106,8.29999402320293e-05,7585.654398959181
13,0.94912,54989534254.0,311.7109375,0.0,20338944.0,0.7563030264231829,3.5862978770954412,0.0,0,1.0,0.7818504107964617,8.230061836546672e-05,7699.5434298626005
14,0.95246,54989534254.0,342.53515625,0.0,20311344.0,0.757213143288428,3.5674263098541736,0.0,0,1.0,0.7807894377519426,8.162447962869951e-05,7810.920322616832
15,0.9538399999999999,54989534254.0,350.4453125,0.0,20228995.200000003,0.7588754468117319,3.584522876207147,0.0,0,1.0,0.7776238632212003,8.103895632280445e-05,7918.882633613925
16,0.95564,54989534254.0,352.125,0.0,20161536.000000004,0.7604209916725437,3.569203586920588,0.0,0,1.0,0.7750306605833445,8.049271488901149e-05,8024.475295250682
17,0.9578999999999999,54989534254.0,354.1328125,0.0,20142412.8,0.7609618582085371,3.5551368301067483,0.0,0,1.0,0.7742955446512813,7.998636348962782e-05,8127.8964764093935
18,0.9587199999999999,54989534254.0,356.41796875,0.0,20076025.6,0.7624007851474546,3.5263448905060515,0.0,0,1.0,0.7717435508215315,7.948239073788247e-05,8228.809086648009
19,0.9606399999999999,54989534254.0,365.421875,0.0,20039097.6,0.7639772067727562,3.547319276808621,0.0,0,1.0,0.7703239996408068,7.907893925289327e-05,8326.040237688407
20,0.9618599999999999,54989534254.0,367.0078125,0.0,20002489.6,0.765630267533612,3.5351059978461983,0.0,0,1.0,0.7689167495968302,7.869752378494407e-05,8422.676274759078
21,0.96186,54989534254.0,368.1171875,0.0,19949280.0,0.7665020666000913,3.528102953779128,0.0,0,1.0,0.766871316578365,7.833671064219642e-05,8510.728423340173
22,0.96358,54989534254.0,369.13671875,0.0,19913001.6,0.7684522890651244,3.5232737569778125,0.0,0,1.0,0.765476736705239,7.800741219637314e-05,8600.574104419971
23,0.9644600000000001,54989534254.0,371.484375,0.0,19861164.8,0.7704335071753157,3.5197771882391704,0.0,0,1.0,0.7634840755634228,7.770830028545257e-05,8683.172568553375
24,0.9657599999999998,54989534254.0,373.71875,0.0,19812752.0,0.7717239615753024,3.5350105890784698,0.0,0,1.0,0.7616230365848108,7.743767651999836e-05,8761.413890014117
25,0.9660599999999999,54989534254.0,375.03125,0.0,19784739.200000003,0.773547063804307,3.511135097029532,0.0,0,1.0,0.7605461950738868,7.718544173184766e-05,8839.304204140772
26,0.96728,54989534254.0,377.625,0.0,19737740.8,0.7745116798103714,3.51945930889691,0.0,0,1.0,0.7587395271197012,7.697485335875441e-05,8908.88249137408
27,0.9679,54989534254.0,378.5078125,0.0,19704460.8,0.7770552934363237,3.526603934553607,0.0,0,1.0,0.7574602088979042,7.676931534064148e-05,8980.114888630329
28,0.9682599999999999,54989534254.0,371.87109375,0.0,19658160.0,0.7779652037585719,3.524177706950997,0.0,0,1.0,0.7556803574218294,7.657841794834629e-05,9043.385270525498
29,0.9694200000000001,54989534254.0,370.54296875,0.0,19615017.6,0.7813028904452991,3.506301302664526,0.0,0,1.0,0.7540219181654577,7.63882071552518e-05,9104.389432430067
30,0.9703799999999999,54989534254.0,372.6875,0.0,19574940.8,0.7831926944691454,3.487576891273318,0.0,0,1.0,0.7524813237991322,7.621283212474016e-05,9167.783086316178
31,0.97118,54989534254.0,374.375,0.0,19517152.0,0.523923713377423,3.475645927192999,0.0,0,1.0,0.7502598615138025,7.60274709565604e-05,9229.768209946596
32,0.97118,54989534254.0,375.8125,0.0,19498908.8,0.5256774754218727,3.5000041649248113,0.0,0,1.0,0.7495585737077963,7.586676738257001e-05,9286.594047478517
33,0.9717600000000001,54989534254.0,385.46875,0.0,19462937.6,0.5267387350246832,3.4860815778797574,0.0,0,1.0,0.7481758029259484,7.571053386834831e-05,9342.589490163611
34,0.97242,54989534254.0,389.359375,0.0,19395484.8,0.5286626141728843,3.496255430677271,0.0,0,1.0,0.7455828463108276,7.557718350102019e-05,9397.417379569055
35,0.9729800000000001,54989534254.0,399.203125,0.0,19334080.0,0.5296284913481824,3.4650681955405345,0.0,0,1.0,0.7432223811802449,7.542464779384896e-05,9450.210868405307
36,0.9737,54989534254.0,400.5546875,0.0,19294656.0,0.5321358258162202,3.44356950765052,0.0,0,1.0,0.7417068811328855,7.526162987964211e-05,9504.746894955813
37,0.9740800000000001,54989534254.0,395.88671875,0.0,19276915.200000003,0.5342150635186398,3.448401923816802,0.0,0,1.0,0.7410249061115738,7.510595803599528e-05,9559.585202276585
38,0.9747200000000001,54989534254.0,398.22265625,0.0,19214572.8,0.5352650685704166,3.446781984761325,0.0,0,1.0,0.7386283986503193,7.495790834150006e-05,9611.287599995212
39,0.9753999999999999,54989534254.0,399.96875,0.0,19177062.400000002,0.5366591114044971,3.4583927673323926,0.0,0,1.0,0.7371864594007133,7.483369997332922e-05,9657.715239380119
40,0.9758999999999999,54989534254.0,398.33984375,0.0,19093516.8,0.5390643719448416,3.4487832704047947,0.0,0,1.0,0.7339748786185332,7.471447308154028e-05,9702.055605194286
41,0.97564,54989534254.0,399.4453125,0.0,19049699.200000003,0.540927396906377,3.4329260492484885,0.0,0,1.0,0.7322904839636231,7.45857751135946e-05,9749.317948451539
42,0.97614,54989534254.0,397.24609375,0.0,18932649.6,0.5425372651782168,3.43775402579901,0.0,0,1.0,0.7277909741639225,7.44548302173511e-05,9793.620188540435
43,0.9761200000000001,54989534254.0,411.62109375,0.0,18911209.6,0.5449289485422639,3.428671022499784,0.0,0,1.0,0.7269667980018033,7.43309639542879e-05,9837.734260006462
