round,accuracy,flops,memory_MB,memory_saved,communication_bytes,sparsity,avg_grad_norm,avg_phi,skipped_batches,effective_compute_ratio,compression_ratio,quantization_error,avg_scale_factor
1,0.47946,55018830756.0,333.25390625,0.0,21700076.799999997,0.8441239726601847,2.7313678165329947,0.0,0,1.0,0.8341737879997491,0.00010038188339528424,4165.309522751768
2,0.69406,55018830756.0,229.1953125,0.0,21706809.6,0.7973707106310285,3.549465258129331,0.0,0,1.0,0.834432603916928,9.874644146006984e-05,5030.490561777546
3,0.77692,55018830756.0,309.3828125,0.0,21598201.6,0.8024551853959159,3.515845022612809,0.0,0,1.0,0.8302575981046408,9.324246898890507e-05,5948.207816047347
4,0.8033000000000001,55018830756.0,295.0625,0.0,21566294.4,0.8050635364159369,3.4226174681367842,0.0,0,1.0,0.8290310517594931,8.911261831145296e-05,6571.995275549622
5,0.8188000000000001,55018830756.0,282.09375,0.0,21531897.6,0.8097062908081731,3.365267525566029,0.0,0,1.0,0.8277088025704455,8.614660878587627e-05,6994.330483905729
6,0.8386799999999999,55018830756.0,339.4375,0.0,21523187.200000003,0.812652926882088,3.319020411239819,0.0,0,1.0,0.8273739656281637,8.384574044821714e-05,7304.137228077658
7,0.8477,55018830756.0,305.1328125,0.0,21511276.8,0.813813229191846,3.312979400646077,0.0,0,1.0,0.8269161173184014,8.212298766863725e-05,7563.212085349436
8,0.858,55018830756.0,315.48828125,0.0,21485945.6,0.8141821206840378,3.3012716403588542,0.0,0,1.0,0.825942359333426,8.075478078132029e-05,7767.8726224251495
9,0.86884,55018830756.0,317.81640625,0.0,21454275.200000003,0.8172512134774788,3.286061269372125,0.0,0,1.0,0.8247249158294718,7.957254942487822e-05,7938.741299483624
10,0.87966,55018830756.0,305.5703125,0.0,21437276.8,0.819610111902444,3.257453751653864,0.0,0,1.0,0.8240714794454156,7.849746992304403e-05,8107.024844866923
