round,accuracy,flops,memory_MB,memory_saved,communication_bytes,sparsity,avg_grad_norm,avg_phi,skipped_batches,effective_compute_ratio,compression_ratio,quantization_error,avg_scale_factor
1,0.19436,55018830756.0,997.6328125,0.0,19450502.400000002,0.930543550521743,1.806392425732298,0.0,0,1.0,0.7476977807519193,7.438985690549457e-05,12648.112645658382
2,0.19516000000000003,55018830756.0,1037.90625,0.0,19780035.2,0.9440970050220734,1.9601208748464394,0.0,0,1.0,0.7603653683636905,6.85831611676343e-05,14025.364886132073
3,0.19551999999999997,55018830756.0,1040.23828125,0.0,19973184.0,0.9465022160969581,1.994283572757896,0.0,0,1.0,0.7677902114934441,6.516497717013844e-05,14801.93003701747
4,0.19582,55018830756.0,1032.4453125,0.0,20045484.8,0.9478669171018067,2.035253818559362,0.0,0,1.0,0.7705695303302978,6.30178153998745e-05,15190.262057824759
5,0.20092,55018830756.0,1033.66796875,0.0,20077859.2,0.9483045453826524,2.021037118799222,0.0,0,1.0,0.7718140363350977,6.130885605314576e-05,15585.823926895991
6,0.20823999999999998,55018830756.0,1035.11328125,0.0,20119187.200000003,0.948303465848633,2.032121581769718,0.0,0,1.0,0.773402728146108,5.999536123060479e-05,15860.305379963043
7,0.21156000000000003,55018830756.0,1036.6953125,0.0,20183334.400000002,0.9485712894006817,2.003017198830415,0.0,0,1.0,0.7758686140186215,5.884396024846714e-05,16212.104858746616
8,0.21449999999999997,55018830756.0,1037.58203125,0.0,20140524.800000004,0.9486641811714248,2.017816712550436,0.0,0,1.0,0.7742229679444678,5.8018945437380916e-05,16442.372415765964
9,0.21342,55018830756.0,1042.57421875,0.0,20129622.400000006,0.9487909443898088,1.947589877710841,0.0,0,1.0,0.7738038682154618,5.7056489490050574e-05,16754.23721918092
10,0.21574,55018830756.0,1046.48046875,0.0,20119836.8,0.9490076760573458,1.9758667961130407,0.0,0,1.0,0.7734276994537065,5.6363858543492256e-05,17023.972195677696
11,0.21631999999999998,55018830756.0,1051.97265625,0.0,20120656.0,0.9487481036943107,1.9883041952555494,0.0,0,1.0,0.7734591903637815,5.579349311796062e-05,17291.34216406848
12,0.21622,55018830756.0,1052.703125,0.0,20063740.8,0.9490684057919191,1.9808895723905693,0.0,0,1.0,0.7712713101817739,5.5296859415068753e-05,17536.305248071738
