round,accuracy,flops,memory_bytes,communication_bytes,sparsity,avg_grad_norm,avg_phi,skipped_batches,effective_compute_ratio,compression_ratio,quantization_error,avg_scale_factor
1,0.34944000000000003,1273455695.233856,1064.65625,4937366.399999999,0.07363977706557608,2.5162362024524016,0.0,190,0.8784881801530148,0.9997907014417625,5.5853550632741e-05,9735.567591318495
2,0.40552,1149961295.6030903,1076.23828125,4937078.399999999,0.062007826334427064,2.74116567806757,0.0,339,0.7834122018866684,0.9997323829580431,5.904593663580338e-05,8838.715701060752
3,0.43088,1067341229.8389884,1080.18359375,4936854.399999999,0.06028159044784694,2.823414149950625,0.0,429,0.7258655622753709,0.9996870241373724,6.152440124077891e-05,8178.86673119084
4,0.47652,987107496.0353076,1084.26953125,4936806.399999999,0.06091540795994836,2.825310380507452,0.0,514,0.6715549548324375,0.9996773043900858,6.301985762191961e-05,7718.783627135621
5,0.50478,934181745.9515471,1087.02734375,4936761.6,0.0611339381540041,2.823767276373551,0.0,570,0.6358074157344777,0.9996682326259517,6.413877552364032e-05,7374.036798099623
6,0.53094,905102659.0496839,1081.7578125,4936598.399999999,0.061816183557154826,2.8218173077527577,0.0,600,0.6165683871252838,0.9996351854851774,6.498471576189062e-05,7101.299223948025
7,0.5384800000000001,856866430.3300704,1088.4375,4936671.999999999,0.06330071255502875,2.806007370911881,0.0,650,0.5846185660947893,0.9996500890976835,6.567662712405895e-05,6877.697884339686
8,0.56664,823886136.5321431,1093.19921875,4936473.6,0.06277490850683363,2.807787687914174,0.0,686,0.561736976872323,0.9996099141422323,6.617572542630894e-05,6696.3479892205605
9,0.57814,785946104.3577846,1096.015625,4936495.999999999,0.06369191455385174,2.8200607197347094,0.0,726,0.536291050024549,0.9996144500242994,6.669342250829851e-05,6534.174582378364
10,0.59714,758886264.8135612,1097.578125,4936588.8,0.06303277649900965,2.810444763660039,0.0,755,0.5175641884229045,0.9996332415357201,6.713502159160349e-05,6396.037151002676
11,0.59372,759635942.2740659,863.12890625,4936579.199999999,0.06334018222225266,2.836870335500679,0.0,754,0.5182113844205622,0.9996312975862628,6.762591852837743e-05,6268.838210977748
12,0.5926199999999999,759382636.342567,867.7109375,4936499.199999999,0.06388841873913832,2.819704076908013,0.0,754,0.5182194462422111,0.9996150980074519,6.804859858476275e-05,6156.466665308817
13,0.60674,751590875.5925603,659.69921875,4936393.6,0.06277875621753984,2.8230973022698485,0.0,763,0.512468751880317,0.9995937145634214,6.845012832943463e-05,6052.928350691261
14,0.6291599999999999,759774932.9519444,660.48828125,4936444.799999999,0.06539969190983733,2.7961916534252045,0.0,752,0.5194732682289056,0.9996040822938603,6.87630681540286e-05,5963.728077062264
15,0.62472,732666421.0198369,644.21484375,4936377.6,0.06662999787121568,2.7758298297102133,0.0,780,0.5016096672721186,0.9995904746476592,6.902481033702911e-05,5882.960408600398
16,0.62968,772562671.2612362,607.56640625,4936441.6,0.06582636975686515,2.793138409102615,0.0,738,0.5284109454882906,0.999603434310708,6.930266794086089e-05,5805.503431568096
17,0.6420600000000001,750675734.2598686,611.2890625,4936441.6,0.06666304237292178,2.7971869314949673,0.0,761,0.5138200984279285,0.999603434310708,6.956185878562411e-05,5734.325220437167
18,0.65156,749589546.7209072,614.80859375,4936403.199999999,0.0665737560584152,2.8169810313894446,0.0,762,0.513078913069462,0.9995956585128787,6.9845550827564e-05,5666.184564915593
19,0.65506,746975659.9613935,609.59375,4936531.199999999,0.06619378618946514,2.812976384938712,0.0,765,0.5112072855125771,0.9996215778389762,7.009336270949503e-05,5603.5840463069235
20,0.65922,760405841.9815718,610.1796875,4936508.799999999,0.06488472827720507,2.8423627036872414,0.0,752,0.5194975580540028,0.9996170419569091,7.037080971233256e-05,5543.491150362788
21,0.6545,756075117.5825119,346.9765625,4936528.0,0.06652646165910783,2.815803936209422,0.0,755,0.5175683497839174,0.9996209298558237,7.059292793949367e-05,5488.894217103786
22,0.6694800000000001,758964642.4888543,439.65234375,4936374.399999999,0.0652684871069891,2.8432433507062016,0.0,753,0.5188423524147716,0.9995898266645067,7.085174863489811e-05,5436.0614925198915
23,0.66894,760073014.6211338,444.08984375,4936643.199999999,0.06506909048801277,2.863832531598027,0.0,752,0.5194607319657913,0.9996442572493115,7.111434757373016e-05,5384.958034409008
24,0.67006,740417689.2682487,447.51953125,4936377.6,0.06607283309339311,2.8637661081903976,0.0,772,0.5066807618095333,0.9995904746476592,7.135637372052181e-05,5336.686257955179
