round,accuracy,flops,memory_MB,memory_saved,communication_bytes,sparsity,avg_grad_norm,avg_phi,skipped_batches,effective_compute_ratio,compression_ratio,quantization_error,avg_scale_factor
1,0.07578373466606088,118188658148.0,948.13671875,0.0,8064608.000000001,0.8390576780389708,2.226649647043753,0.0,186,0.944922954343841,0.9940107479169749,7.871732838410458e-05,138575144.33719406
2,0.1142753293957292,108352214128.0,354.4140625,10893.696395874023,8070579.200000001,0.810313304952307,2.7115333007063596,0.0,446,0.8673624303238208,0.9947467337178918,9.96536902115094e-05,104824570.56319912
3,0.12572467060427078,96207989011.0,298.56640625,26121.444046020508,8066032.000000001,0.7886163691245771,3.292967603448133,0.0,767,0.769662171864859,0.9941862643593157,0.00012491238647646907,81413158.4702094
4,0.13753748296228988,90230457645.0,305.046875,44921.85556793213,8062761.6000000015,0.7763624324295499,3.8576950032781054,0.0,925,0.7227931045309799,0.993783168170389,0.00015055811895532873,65650077.23496179
5,0.14060881417537482,84025931417.0,306.44140625,54175.64067840576,8059260.800000001,0.7698834465626349,4.394575656579404,0.0,1089,0.6682039517487581,0.9933516738155105,0.00017361137467845187,54244510.0447273
6,0.14460699681962744,78275394913.0,313.12109375,63780.83535003662,8057104.0,0.7659237381725686,4.774524775143968,0.0,1241,0.6247997076384237,0.9930858354286841,0.0001933256371355274,46157893.73834861
7,0.14993184915947297,76156776201.0,315.2890625,72683.21089935303,8056361.6000000015,0.7624536414583064,4.888289118720441,0.0,1297,0.6089979096652416,0.9929943302272839,0.00020812678781117512,40303824.59026298
8,0.15331213084961381,72260031070.0,249.37890625,75963.03347015381,8054102.400000002,0.76145908082808,5.084327685833287,0.0,1400,0.577393695032449,0.9927158704333678,0.00022060531125963614,35840936.27267969
9,0.15616537937301225,68514615847.0,320.9921875,81995.56427001953,8052752.000000001,0.7626361433833585,5.145212999561603,0.0,1499,0.5471292735063961,0.9925494256273727,0.000230525981072534,32279414.11418132
10,0.16041799182189914,66585159520.0,327.70703125,87793.82202911377,8051638.400000002,0.7644632314785679,5.0692223938706364,0.0,1550,0.5322044983050566,0.9924121678252724,0.00023786377863156813,29423518.15518573
11,0.1606724216265334,65185357871.0,331.49609375,90780.8032989502,8050540.800000001,0.765838320669617,5.132966291697658,0.0,1587,0.5208846094441644,0.9922768821180299,0.00024409593930093282,27072823.412992984
12,0.16210813266696955,65979839888.0,334.93359375,92947.82892608643,8050716.800000002,0.7674516981575585,5.12033020747329,0.0,1566,0.5268173740802629,0.9922985751614652,0.00024922959427314204,25107275.093279336
13,0.16650613357564745,66698656951.0,341.6015625,91717.89546203613,8053459.200000002,0.7684857196623177,5.10755314371896,0.0,1547,0.5324969005430609,0.9926365922200858,0.0002533132529845969,23447283.635785114
14,0.1638527941844616,66017672365.0,345.90625,90605.09851837158,8052316.800000001,0.7703947062932597,5.148865597371352,0.0,1565,0.5289236694163043,0.9924957846472415,0.0002569419155526647,22019804.765161484
15,0.16743298500681508,65450185210.0,349.65625,91659.32720184326,8050745.6,0.771596314250006,5.145154172019563,0.0,1580,0.5229851964610068,0.9923021249322093,0.00025986818855057187,20784550.441189874
16,0.16610631531122216,65866342457.0,355.38671875,92537.85110473633,8051942.400000001,0.7742920256243224,5.040062955454593,0.0,1569,0.5268586352278047,0.9924496376275699,0.0002619733585433766,19705157.05121662
17,0.16434348023625622,65147525394.0,361.05078125,91893.60024261475,8049273.600000001,0.7733554421655999,5.127347214910048,0.0,1588,0.5226920487605887,0.9921206922052951,0.0002640639607308625,18754024.90373464
18,0.17108587005906406,66547327043.0,365.53125,93006.3971862793,8049744.0,0.7771535588474953,5.027949211631913,0.0,1551,0.5316916889526888,0.9921786717941133,0.0002655340347326693,17905837.484916706
19,0.1747024079963653,65185357871.0,371.4609375,90839.37155914307,8048713.6000000015,0.7784878761920083,4.997124211875273,0.0,1587,0.520014965750882,0.9920516688852734,0.0002666164400669387,17147277.69635991
20,0.17457519309404818,65374520256.0,375.0234375,92947.82892608643,8044390.400000001,0.77823918472072,5.0434171786229385,0.0,1582,0.5216478105731863,0.9915188088547059,0.0002676364437359439,16463513.199073564
21,0.1720854157201272,64126048515.0,379.578125,92654.98762512207,8041264.000000002,0.7815338852516016,5.021703197140527,0.0,1615,0.5125258533278864,0.9911334615194991,0.0002684141277526842,15843925.431709696
22,0.17702862335302136,65828509980.0,383.40625,94587.74021148682,8043948.800000001,0.7812026866370584,5.110361920125495,0.0,1570,0.5247843048450044,0.9914643790366316,0.00026937792385562585,15278533.030075297
23,0.172994093593821,65185357871.0,387.10546875,91952.16850280762,8039056.000000001,0.7823544070085925,5.077072817036172,0.0,1587,0.5231559044848058,0.9908613124291279,0.0002701095897448073,14762230.62837034
24,0.1741208541572013,66131169796.0,390.69140625,92947.82892608643,8035849.6000000015,0.7837899143378867,5.146462515665479,0.0,1562,0.5271857254539543,0.9904661046196322,0.0002708687151239804,14291754.60936727
25,0.17713766469786463,64996195486.0,394.36328125,91483.62242126465,8032294.400000001,0.78607534768715,5.138369029830935,0.0,1592,0.5180272496629379,0.9900279051422374,0.0002715341434621463,13855820.39573731
26,0.17742844161744661,65450185210.0,395.4765625,93240.67022705078,8030544.000000001,0.7870500657749654,5.195957964659231,0.0,1580,0.521442931753396,0.9898121579647982,0.00027221799098324663,13451123.180330347
27,0.17786460699681964,65677180072.0,387.09375,92537.85110473633,8028729.6000000015,0.7871986185982884,5.1505509424142675,0.0,1574,0.5236381648555112,0.9895885224079278,0.00027273492591019504,13077017.143539038
28,0.17857337573830076,66433829612.0,387.92578125,92186.4415435791,8024985.600000001,0.7881221966242418,5.245473839278996,0.0,1554,0.5319488673448354,0.9891270522112113,0.00027333874031225695,12725910.765487371
29,0.17997273966378918,64693535670.0,392.6484375,91015.07633972168,8017382.400000001,0.7902539474955839,5.201930274625358,0.0,1600,0.5191852310799587,0.9881899127348025,0.0002737142926649086,12402772.732988333
30,0.1806269877328487,65601515118.0,392.13671875,93709.21630859375,8015769.600000001,0.7925842119307995,5.360021136898498,0.0,1576,0.5276773745019365,0.9879911255731401,0.00027433278209968175,12095726.666682716
