round,accuracy,flops,memory_bytes,communication_bytes,sparsity,avg_grad_norm,avg_phi,skipped_batches,effective_compute_ratio,compression_ratio,quantization_error,avg_scale_factor
1,0.07152,1400055583.9907165,1083.48046875,5123187.199999999,0.09374074316399846,2.3780845088248883,0.0,20,0.9872241926940717,0.9998101542496721,4.568888849873058e-05,11840.724545032073
2,0.08686,1400920945.0938675,1090.25390625,5122963.199999999,0.07039090038242427,2.5833489405260956,0.0,58,0.9629626658405359,0.9997664397676888,4.9019822791032856e-05,10641.772991974965
3,0.11408,1333371207.1565917,1094.890625,5122707.2,0.0656001562099551,2.653072483033952,0.0,138,0.9118533835438967,0.9997164803597077,5.1564597646105805e-05,9872.235534478572
4,0.11957999999999999,1255084070.1226532,1091.1796875,5122806.4,0.05911968309548292,2.765916575960555,0.0,231,0.8523939793390556,0.9997358396303003,5.3868392831358324e-05,9272.78208700857
5,0.14018,1177489011.6415281,1096.0703125,5122710.399999999,0.05644115528400888,2.8467066113775115,0.0,317,0.7973872878826646,0.9997171048523075,5.596815951876295e-05,8790.17982033204
6,0.15118,1096955774.4920912,1099.7578125,5122559.999999999,0.05349944383754661,2.9535066624775452,0.0,406,0.7406047870764245,0.9996877537001186,5.795180280341916e-05,8382.82051911204
7,0.16728,1013921046.4536616,1104.06640625,5122742.399999999,0.052386113251257437,3.047794497485534,0.0,495,0.6836792188206967,0.9997233497783051,5.986280070399442e-05,8034.235714359743
8,0.17958000000000002,918281984.9449592,1107.30078125,5122649.6,0.05234082725898952,3.1282045390557536,0.0,596,0.6191952166799883,0.999705239492912,6.168210931540945e-05,7728.353418937566
9,0.19332,827258747.6163914,1111.72265625,5122483.199999999,0.05238881433822704,3.196245784907243,0.0,692,0.5578068380238463,0.9996727658777244,6.333800755612773e-05,7457.925166607309
10,0.19854000000000002,804665952.8580087,1116.23828125,5122531.199999999,0.0522223488100334,3.2431544478097316,0.0,716,0.5424303488079439,0.9996821332667208,6.486731664944901e-05,7220.655681093349
11,0.21072000000000002,776149414.0607744,1119.87109375,5122547.199999999,0.05231975049672259,3.3226418256796406,0.0,746,0.5233049462751767,0.9996852557297196,6.641827105279441e-05,7007.605664111167
12,0.21669999999999998,778783274.552191,1122.6015625,5122534.399999999,0.05257309211864232,3.3466652713715725,0.0,743,0.5252201171761419,0.9996827577593206,6.779578307962499e-05,6818.507952026388
13,0.22402000000000002,780525015.0492896,1127.39453125,5122614.399999999,0.05276035554479552,3.3428859325225373,0.0,741,0.5265222596488671,0.9996983700743146,6.900798750584545e-05,6648.97937510403
14,0.23202000000000003,793639797.1004864,1136.44921875,5122547.2,0.05293581532791133,3.371270178148285,0.0,727,0.5354822035638156,0.9996852557297196,7.015521548224562e-05,6495.284437987403
15,0.23796,779231583.6053561,1143.9921875,5122515.199999999,0.05318043356052608,3.4554124228107113,0.0,742,0.525934288338459,0.999679010803722,7.135032854668881e-05,6351.483894806553
16,0.2444,790431860.7820115,1147.73828125,5122531.199999999,0.05337501692617278,3.467368465448837,0.0,730,0.5334536018973159,0.9996821332667208,7.244538296285276e-05,6219.090407166436
17,0.24232,794026615.8970008,1148.69140625,5122579.199999999,0.053603535744908906,3.5055995699799403,0.0,726,0.5360584193291309,0.9996915006557172,7.352565690149485e-05,6095.492137606518
18,0.2596,762617049.9999223,413.04296875,5122563.199999999,0.053825000000094846,3.5320362266622483,0.0,759,0.514963237784907,0.9996883781927184,7.453864430109481e-05,5980.608835828252
19,0.26128,768094545.9993708,422.7734375,5122758.399999999,0.054070807408184415,3.543549760512717,0.0,753,0.5188399705858133,0.999726472241304,7.547706360714383e-05,5873.235809293345
20,0.26654,770765874.9993455,426.66015625,5122767.999999999,0.05427500000080805,3.5534115008476688,0.0,750,0.5207814795560763,0.9997283457191032,7.637178297484074e-05,5772.984682423858
21,0.26598,785710499.9999999,430.4375,5122694.399999999,0.05450000000000027,3.5845677352582674,0.0,734,0.5310396913302247,0.9997139823893086,7.724136617599242e-05,5678.473491088563
22,0.28037999999999996,772289674.9999999,433.90234375,5122694.3999999985,0.05472500000000029,3.619827146663426,0.0,748,0.5219946249519316,0.9997139823893086,7.808535180833833e-05,5588.170665084454
23,0.28302,779666249.9999999,437.44140625,5122639.999999999,0.054950000000000276,3.5977791527347227,0.0,740,0.527230624225763,0.9997033660151127,7.8857078570613e-05,5504.422708109856
24,0.29302,780425449.9999999,441.48828125,5122636.8,0.055175000000000265,3.6610720316750913,0.0,739,0.5278367679254007,0.9997027415225129,7.966177576009526e-05,5423.785555550653
25,0.29304,788740999.9999999,445.36328125,5122572.8,0.05540000000000028,3.692379498715442,0.0,730,0.5335517675258027,0.9996902516705177,8.043628470938774e-05,5347.309921388109
26,0.29891999999999996,779109374.9999999,455.6015625,5122742.399999999,0.05562500000000026,3.7249278717003365,0.0,740,0.5271207820748938,0.9997233497783051,8.12106465157726e-05,5273.81076016486
27,0.30527999999999994,779867899.9999999,459.140625,5122627.199999999,0.055850000000000274,3.7287163499772973,0.0,739,0.5277147932877762,0.9997008680447137,8.195509304399354e-05,5203.775372011163
