round,accuracy,flops,memory_bytes,communication_bytes,sparsity,avg_grad_norm,avg_phi,skipped_batches,effective_compute_ratio,compression_ratio,quantization_error,avg_scale_factor
1,0.06235999999999999,1306500924.8624883,656.3515625,5123340.8,0.08610137023103578,2.6040546708990098,0.0,134,0.9128508981972718,0.9998401298944608,5.307883844201585e-05,9912.353799218963
2,0.077,1286181522.115641,658.52734375,5123017.6,0.0697827252804525,2.8132572235711475,0.0,181,0.8827652021327145,0.9997770561418847,5.626641635610001e-05,9155.014827733718
3,0.08137999999999998,1192909453.1065495,660.515625,5122902.399999999,0.06553196243152164,2.8914039127332702,0.0,287,0.8168113165653758,0.9997545744082933,5.872784998347372e-05,8629.722472300025
4,0.09134,1104076124.4473062,663.52734375,5122873.6,0.06236971261863733,2.959746510591727,0.0,386,0.7555497199535794,0.9997489539748954,6.0782456420892036e-05,8208.205935698721
5,0.0958,1047293333.6252666,398.0703125,5122832.0,0.05904723919393921,3.0333713689697945,0.0,451,0.7138835954489127,0.9997408355710985,6.264580988144253e-05,7849.561958594066
6,0.10678000000000001,982541803.7905542,403.66015625,5122841.6,0.05615932680891715,3.1183885403591445,0.0,523,0.6689938437923804,0.9997427090488977,6.441277333013245e-05,7543.309657075821
7,0.11213999999999999,944678239.5192294,408.55078125,5122793.6,0.055229303387462035,3.1863007628731923,0.0,564,0.6394566818665912,0.9997333416599014,6.602947780332172e-05,7278.402209977113
8,0.12032000000000001,883417938.4042572,412.39453125,5122732.8,0.054148904556523644,3.248691643912821,0.0,630,0.5980537330893627,0.9997214763005058,6.757100289240377e-05,7042.937400025634
9,0.12616,837195920.8999834,417.1640625,5122659.199999999,0.05404266975695694,3.28685377837403,0.0,679,0.5636457477827429,0.9997071129707112,6.897231100589717e-05,6836.376710885884
10,0.13324,785221871.2155802,419.9140625,5122675.199999999,0.054034541704023456,3.326737204246071,0.0,734,0.5319883500516706,0.9997102354337101,7.026314913700819e-05,6653.168661277899
11,0.1376,786693714.5463006,424.828125,5122710.399999999,0.05334632478471655,3.3664925845557834,0.0,733,0.5319124534754989,0.9997171048523075,7.149533176622622e-05,6484.46154082365
12,0.13854,790436385.0930035,429.46484375,5122665.6,0.05337316886003156,3.3748936858155516,0.0,729,0.533188023145937,0.9997083619559108,7.257165594623372e-05,6333.454841658794
13,0.1441,789628670.183196,434.5703125,5122684.8,0.053236871136151276,3.4281983210204423,0.0,730,0.5323197229367871,0.9997121089115094,7.365297445734205e-05,6194.424686832496
14,0.15082,780113072.583597,437.6796875,5122633.6,0.053268058764461265,3.428473918567428,0.0,740,0.5260819187393232,0.9997021170299132,7.459403178920572e-05,6067.965671842978
15,0.15062,771205410.6046221,443.59375,5122742.399999999,0.053740684576831996,3.4636477993717194,0.0,749,0.5210193259569141,0.9997233497783051,7.553685435691219e-05,5950.240376239436
16,0.16386,790076134.5254833,448.80078125,5122838.399999999,0.05380495573069194,3.481638037984068,0.0,729,0.5329831014687181,0.999742084556298,7.64382529303398e-05,5841.62495297003
17,0.16477999999999998,778687055.1859521,454.47265625,5122825.6,0.05386147740498533,3.49072220938641,0.0,741,0.5259011159704624,0.999739586585899,7.729665203440325e-05,5739.475857568395
18,0.16602,781311109.5785991,457.7890625,5122771.199999999,0.05412062287765483,3.5487275370310436,0.0,738,0.5284420471070079,0.999728970211703,7.820355322980391e-05,5642.525517303162
19,0.17354,767032059.9005076,461.61328125,5122633.6,0.054212114519903674,3.5491350879744497,0.0,753,0.5183700436848527,0.9997021170299132,7.901869583590742e-05,5552.39105046115
20,0.17407999999999998,795182694.8934187,465.078125,5122748.8,0.054481557144470595,3.5861837029793344,0.0,723,0.5373036462177762,0.9997245987635046,7.981629894168976e-05,5465.75618947015
21,0.1897,765725356.0043552,468.87890625,5122764.8,0.05465408667855427,3.587945720602312,0.0,754,0.5173496697874373,0.9997277212265034,8.05593758581384e-05,5384.704905797893
22,0.18927999999999998,777910361.5736318,472.4296875,5122771.199999999,0.054783118112557906,3.6412318513201365,0.0,741,0.5255845180171443,0.999728970211703,8.134217787288204e-05,5306.927450002305
23,0.19862,766430464.2362862,476.2734375,5122793.6,0.054955812323971245,3.6200565452587,0.0,753,0.5177744257086183,0.9997333416599014,8.20638868661035e-05,5234.284696284611
24,0.19232,777551100.759253,479.9296875,5122908.8,0.05523015572388488,3.695583712977347,0.0,741,0.5262862495437401,0.9997558233934928,8.285152005583197e-05,5163.988545985924
25,0.20794,778297098.5427442,483.46875,5122700.799999999,0.05546195209008629,3.6911956051731414,0.0,740,0.5280132651841685,0.9997152313745082,8.359476641164405e-05,5096.8134509408355
26,0.2061,778147792.8164544,487.1953125,5122767.999999999,0.05564873375377592,3.730362621631232,0.0,740,0.5260192669534117,0.9997283457191032,8.434127571986102e-05,5032.537928083408
27,0.19958,761901374.5869056,490.7734375,5122816.0,0.0558804175803261,3.747158499215214,0.0,757,0.5151380930896223,0.9997377131080997,8.506899344580178e-05,4971.582936805573
28,0.20950000000000002,755119278.4178644,494.28515625,5122601.6,0.05610091487571471,3.7640746830109024,0.0,764,0.5104563950832393,0.9996958721039155,8.577899134798502e-05,4913.261679602483
29,0.21000000000000002,768134342.4266268,497.734375,5122707.199999998,0.056352349283873074,3.7946722914181157,0.0,750,0.5212159930082405,0.9997164803597077,8.648849491300499e-05,4857.009096411745
30,0.22372,763271274.8584832,501.3359375,5122742.399999999,0.05652500020509266,3.7927820781732855,0.0,755,0.5176754387760151,0.9997233497783051,8.715682766656627e-05,4803.777973242415
31,0.22349999999999998,783840749.9999998,504.890625,5122783.999999999,0.05675000000000037,3.8279238933660453,0.0,733,0.5322379907586393,0.999731468182102,8.784431229062303e-05,4751.969571867509
32,0.23010000000000003,770451424.9999999,508.90625,5122656.0,0.05697500000000029,3.841629169347764,0.0,747,0.5228901987187695,0.9997064884781115,8.85216517260264e-05,4702.086771838135
33,0.22668,775924399.9999999,512.64453125,5122719.999999999,0.05720000000000027,3.8706081657676483,0.0,741,0.52545481814582,0.9997189783301068,8.918482005238772e-05,4654.514578909425
34,0.23458,788935274.9999999,516.40625,5122652.799999999,0.057425000000000295,3.8826791791005157,0.0,727,0.5346814448777671,0.9997058639855118,8.983689706931015e-05,4608.590887452053
35,0.23782,753862291.7561806,520.18359375,5122704.0,0.05767023799293659,3.92042542731365,0.0,764,0.5103326336212106,0.999715855867108,9.049064976031418e-05,4564.054452311697
36,0.23426,767831874.9125016,524.86328125,5122592.0,0.057875000099998485,3.9445365032252795,0.0,749,0.521159478184993,0.9996939986261163,9.113702083248949e-05,4520.819803616518
37,0.2405,766706599.9999999,528.3828125,5122784.0,0.058100000000000276,3.9521338513025333,0.0,750,0.5201495924294173,0.999731468182102,9.176681270442228e-05,4479.553053731414
