round,accuracy,flops,memory_bytes,communication_bytes,sparsity,avg_grad_norm,avg_phi,skipped_batches,effective_compute_ratio,compression_ratio,quantization_error,avg_scale_factor
1,0.07064000000000001,115889252352.0,1075.08984375,5123161.6,0.0956682241345906,2.353905480831178,0.0,29,0.9814814304482965,0.9998051583088741,4.516226805059726e-05,11971.786966419977
2,0.0966,114606623908.0,1081.203125,5123027.199999999,0.07323809743281581,2.5416243034194514,0.0,46,0.9705754889397664,0.999778929619684,4.809724897921479e-05,10824.653842702053
3,0.10772,108947969008.0,1083.265625,5122675.199999999,0.0667914151718209,2.631181662664786,0.0,121,0.9226692736725608,0.9997102354337101,5.0447649368828166e-05,10031.749138823303
4,0.12401999999999999,100422262292.0,422.14453125,5122723.199999999,0.05985654297080432,2.7539831110273854,0.0,234,0.8504383149673386,0.9997196028227066,5.277218543510335e-05,9399.450306864479
5,0.145,92801940360.0,426.640625,5122867.199999999,0.05558739956105091,2.8678270516654054,0.0,335,0.7860074963610459,0.9997477049896959,5.499112446651293e-05,8879.984812790992
6,0.15796,85483413356.0,430.53125,5122646.399999999,0.05298073592426368,2.9772196026117657,0.0,432,0.7240027998313101,0.9997046150003123,5.708766380680624e-05,8444.586440487301
7,0.16970000000000002,78315783816.0,397.328125,5122614.399999999,0.052768819979434126,3.0644483546315624,0.0,527,0.6633160948291594,0.9996983700743146,5.909778636581122e-05,8077.669748547096
8,0.18783999999999998,73336167504.0,401.953125,5122511.999999999,0.052176794127469915,3.1610047831679102,0.0,593,0.6211223237612924,0.9996783863111222,6.100954630083533e-05,7757.047553090595
9,0.18995999999999996,66621230356.0,405.546875,5122585.6,0.05208973597850658,3.2445687242990706,0.0,682,0.5642758644073386,0.9996927496409167,6.28303171834543e-05,7474.155607495819
10,0.20284,62396101364.0,406.55859375,5122476.799999999,0.0523943864186585,3.2620355329415305,0.0,738,0.5284189326503878,0.9996715168925249,6.443212534324564e-05,7230.86552329449
11,0.20790000000000003,64131422200.0,407.26171875,5122559.999999999,0.05251678389063889,3.3194638409026447,0.0,715,0.5431402025628145,0.9996877537001186,6.59913519857157e-05,7015.509722832876
12,0.22804000000000002,61717062776.0,411.91015625,5122540.8,0.05257308583106507,3.3608194534719615,0.0,747,0.5227007082065315,0.9996840067445201,6.742886133770754e-05,6820.0010254792505
13,0.22146,64584114592.0,414.9375,5122665.6,0.052765682832865236,3.3718316111099584,0.0,709,0.5469437885920702,0.9997083619559108,6.873078412153372e-05,6644.391473718449
14,0.23915999999999998,61867960240.0,423.3515625,5122563.199999999,0.052991847539195426,3.4084584738847274,0.0,745,0.5239946310670224,0.9996883781927184,6.994087219697653e-05,6484.03022726902
15,0.2404,63301486148.0,430.8046875,5122671.999999999,0.05316555951643635,3.435941755337063,0.0,726,0.5360642773459998,0.9997096109411103,7.107910762762307e-05,6336.764766013335
16,0.24491999999999997,61566165312.0,432.28515625,5122678.399999999,0.05341911672279807,3.445275664542064,0.0,749,0.5214227661054177,0.9997108599263099,7.211835941580426e-05,6202.4592037508955
17,0.25544,61264370384.0,403.421875,5122441.6,0.053600000026906756,3.4761274466751493,0.0,753,0.5187957448757865,0.9996646474739275,7.313521958523136e-05,6078.26203437058
18,0.25843999999999995,62169755168.0,421.0234375,5122627.2,0.05385976454732795,3.5083841752712885,0.0,741,0.526512161996903,0.9997008680447137,7.412386216183323e-05,5962.109743369287
19,0.27052,63301486148.0,428.9609375,5122595.2,0.0540576728833652,3.518688491762557,0.0,726,0.5361154404664357,0.999694623118716,7.503202171949008e-05,5853.411306637509
20,0.27186000000000005,62245203900.0,432.2421875,5122649.6,0.0542754920885584,3.543100745610628,0.0,740,0.5271145602868141,0.999705239492912,7.589290108107323e-05,5752.322767870169
21,0.28264,60358985600.0,436.87109375,5122476.8,0.05450000000001021,3.5780120558182,0.0,765,0.5112334853080094,0.9996715168925249,7.675719317751086e-05,5656.2203583343235
22,0.28662,62094306436.0,440.4375,5122572.8,0.05472500000000029,3.609628275421842,0.0,742,0.5258794193196517,0.9996902516705177,7.75946028824342e-05,5565.365343048031
23,0.28352,62018857704.0,444.171875,5122636.8,0.05495000000000026,3.6117383331907567,0.0,743,0.5251204241086846,0.9997027415225129,7.83913735251486e-05,5479.92089718273
24,0.2975,60887126724.0,447.71484375,5122655.999999999,0.055175000000000265,3.6543675921544123,0.0,758,0.5156978375682055,0.9997064884781115,7.91925253355518e-05,5398.682218842696
25,0.29850000000000004,61264370384.0,451.37109375,5122764.799999999,0.05540000000000028,3.673198014651958,0.0,753,0.5188418354550914,0.9997277212265034,7.999023505495713e-05,5321.646106727133
26,0.30148,62094306436.0,455.078125,5122659.199999999,0.05562500000000026,3.7316362343496294,0.0,742,0.5259502440072918,0.9997071129707112,8.080514296844232e-05,5247.731551463466
27,0.31048000000000003,61113472920.0,458.75,5122681.599999999,0.055850000000000274,3.745602802432346,0.0,755,0.5175566120113926,0.9997114844189097,8.160383627339026e-05,5176.99969562402
28,0.32164,61717062776.0,462.23046875,5122607.999999999,0.05607500000000028,3.7647658129036374,0.0,747,0.5226436080465164,0.9996971210891151,8.238087521889087e-05,5109.440274679794
29,0.32234000000000007,62471550096.0,466.11328125,5122534.399999999,0.05630000000000028,3.7864124171451756,0.0,737,0.5291334412430122,0.9996827577593206,8.314880712368945e-05,5045.267846114954
30,0.32938,61641614044.0,469.5234375,5122665.6,0.05652500000000029,3.8091366845698054,0.0,748,0.522040989610004,0.9997083619559108,8.390998130675012e-05,4983.5147361428135
31,0.33348,61415267848.0,473.37109375,5122655.999999999,0.056750000000000286,3.8348391847930055,0.0,751,0.520134427183028,0.9997064884781115,8.467412953808704e-05,4924.452744975957
32,0.33648,61792511508.0,477.1171875,5122556.8,0.056975000000000296,3.86536599967271,0.0,746,0.5233743727276449,0.9996871292075189,8.543001508795407e-05,4867.752364955641
33,0.34716,62245203900.0,480.60546875,5122764.799999999,0.057200000000000285,3.888105127248889,0.0,740,0.5271755469804467,0.9997277212265034,8.616350279582788e-05,4813.260502938276
34,0.34786,62471550096.0,484.05078125,5122748.799999999,0.057425000000000295,3.9177067974258732,0.0,737,0.5290885789333664,0.9997245987635046,8.69014206272411e-05,4760.185500136503
35,0.3444,62697896292.0,488.6171875,5122620.799999999,0.05765000000000031,3.9385424934054205,0.0,734,0.5309586397868216,0.9996996190595141,8.76370942116434e-05,4709.315735943896
36,0.3616,61717062776.0,492.421875,5122595.199999999,0.0578750000000003,3.9515714646620346,0.0,747,0.5227169498742243,0.999694623118716,8.834747063827812e-05,4660.486199183151
37,0.36044,60283536868.0,496.20703125,5122438.399999999,0.05810000000000028,3.9971080074257594,0.0,766,0.5105452501827833,0.9996640229813277,8.907854801630812e-05,4613.204392532379
38,0.37351999999999996,61867960240.0,499.796875,5122582.399999999,0.05832500000000031,4.03036399365667,0.0,745,0.5239764850186962,0.999692125148317,8.97979859269149e-05,4567.460753067916
39,0.3757,60283536868.0,503.21484375,5122588.8,0.05855000000000031,4.048154120915683,0.0,766,0.5105656010314138,0.9996933741335166,9.051475848248814e-05,4523.262479548879
40,0.38296,61038024188.0,506.7734375,5122560.0,0.0587750000000003,4.07793784945531,0.0,756,0.5169171520703335,0.9996877537001186,9.121771813593894e-05,4480.789580417918
41,0.37722,60208088136.0,510.5859375,5122422.399999999,0.05900000000000029,4.088589679252854,0.0,767,0.5099898280600195,0.9996609005183289,9.190252174017637e-05,4439.793868847075
42,0.37988000000000005,62622447560.0,514.12109375,5122454.4,0.059225000000000305,4.119747923383824,0.0,735,0.5303323020336148,0.9996671454443264,9.260105301874776e-05,4399.776834613252
43,0.39319999999999994,62018857704.0,517.73828125,5122447.999999999,0.059450000000000294,4.151858410404297,0.0,743,0.5253197970731475,0.999665896459127,9.328621413739955e-05,4361.255405019838
44,0.39336,62094306436.0,521.265625,5122460.799999999,0.0596750000000003,4.179678496213754,0.0,742,0.5258853814497748,0.999668394429526,9.396648711531116e-05,4323.85915306779
45,0.40076,60585331796.0,524.94140625,5122374.399999999,0.05990000000000031,4.212773779231816,0.0,762,0.5130670972697511,0.9996515331293324,9.464808133318694e-05,4287.647578019695
46,0.40170000000000006,60887126724.0,528.4765625,5122313.6,0.0601250000000003,4.238730110084171,0.0,758,0.5156737676507518,0.999639667769937,9.532861876894838e-05,4252.292984740858
47,0.40024,61490716580.0,532.07421875,5122319.999999999,0.060350000000000306,4.26050737060929,0.0,750,0.5207775008292967,0.9996409167551364,9.599470028568459e-05,4218.218643492965
48,0.41288,61038024188.0,535.7890625,5122419.199999999,0.06057500000000031,4.295281466557418,0.0,756,0.5169374000560689,0.999660276025729,9.664938659860156e-05,4184.945887406289
49,0.41564000000000006,62018857704.0,539.62109375,5122249.6,0.06080000000000031,4.33251837134451,0.0,743,0.5252769432573894,0.9996271779179416,9.730384808953533e-05,4152.768643795385
50,0.4164,62018857704.0,542.5859375,5122291.199999999,0.06102500000000031,4.353617852145723,0.0,743,0.5251854422109037,0.9996352963217386,9.794499456595548e-05,4121.422930258514
51,0.41972,61490716580.0,546.58984375,5122275.199999999,0.06125000000000032,4.376119090067841,0.0,750,0.5207956600480745,0.9996321738587398,9.858135441199768e-05,4091.043823889441
52,0.4227200000000001,62848793756.0,550.40625,5122089.6,0.06147500000000032,4.4114156754440215,0.0,732,0.5323383097901839,0.9995959532879536,9.921302726405911e-05,4061.379709589203
53,0.43314,59453600816.0,553.8359375,5122003.199999999,0.06170000000000031,4.435151808115256,0.0,777,0.5035208531079747,0.99957909198776,9.982893553731154e-05,4032.679583684009
54,0.43172,62396101364.0,557.984375,5122000.0,0.06192500000000032,4.450079988833651,0.0,738,0.5284392559077553,0.9995784674951602,0.00010044064790642965,4004.748405552907
55,0.43689999999999996,62094306436.0,561.890625,5121919.999999999,0.062150000000000316,4.4989709666831486,0.0,742,0.5258223072395442,0.9995628551801661,0.00010105597825239282,3977.486564787975
56,0.43866000000000005,61264370384.0,565.203125,5121868.8,0.062375000000000305,4.510787303350843,0.0,753,0.5188521808449196,0.99955286329857,0.00010164660068485787,3950.9833129636086
57,0.44155999999999995,61038024188.0,568.94140625,5121983.999999999,0.06260000000000034,4.581357494649027,0.0,756,0.5170087572300737,0.9995753450321614,0.00010226269318344796,3924.813151400785
58,0.44455999999999996,62320652632.0,569.80859375,5121887.999999999,0.06282500000000031,4.588196589668696,0.0,739,0.527812463440535,0.9995566102541685,0.00010286015653736711,3899.5795845945613
59,0.44348,61415267848.0,572.21484375,5121923.199999999,0.06305000000000033,4.633544488649372,0.0,751,0.5201527814578631,0.9995634796727659,0.00010346316631636696,3874.8336507740432
60,0.45146,60962575456.0,576.44140625,5121699.199999999,0.0632750000000003,4.645232368356305,0.0,757,0.5162799364409338,0.9995197651907824,0.0001040381744754327,3850.8328232743143
61,0.4511,61943408972.0,580.4375,5121788.8,0.06350000000000033,4.6969608990926135,0.0,744,0.52466260753678,0.9995372509835758,0.00010462571668250326,3827.2531809321363
62,0.45668,61113472920.0,587.49609375,5121628.799999999,0.06372500000000034,4.729105305509947,0.0,755,0.5175399407202302,0.9995060263535878,0.00010520682483701988,3804.2841681742707
63,0.46014,62848793756.0,591.140625,5121599.999999999,0.0639500000000003,4.754402508378145,0.0,732,0.5322960674835008,0.9995004059201898,0.0001057823677195849,3781.968514687747
64,0.46414,60887126724.0,594.76953125,5121414.399999999,0.06417500000000033,4.784745725483786,0.0,758,0.5156048485941043,0.9994641853494036,0.0001063600607219744,3760.022653553212
65,0.46642,62169755168.0,598.39453125,5121270.399999999,0.06440000000000032,4.811634570077551,0.0,741,0.5265669005615524,0.9994360831824143,0.0001069253127454993,3738.6142893192373
66,0.47013999999999995,61415267848.0,601.75,5121219.199999999,0.06462500000000033,4.84659180883404,0.0,751,0.5200839270031148,0.999426091300818,0.00010748473165281265,3717.872387675623
67,0.47282,59000908424.0,605.5,5120854.4,0.06485000000000034,4.898616778868424,0.0,783,0.4996805955396855,0.9993548991444451,0.00010805395846483737,3697.283092384644
68,0.4689,61038024188.0,609.34765625,5120841.6,0.06507500000000033,4.918180815259585,0.0,756,0.5169271851203985,0.9993524011740461,0.00010861233555196227,3677.301091164246
69,0.47804,60283536868.0,613.140625,5120838.3999999985,0.06530000000000036,4.936140233783059,0.0,766,0.5105741317330521,0.9993517766814464,0.00010915807521372925,3657.9104225641945
70,0.48138,62471550096.0,616.71875,5120886.4,0.06552500000000032,4.973708504699008,0.0,737,0.5290906137681576,0.9993611440704427,0.00010970271171123461,3638.842723133959
71,0.48597999999999997,61641614044.0,620.8125,5120460.799999999,0.06575000000000032,5.018996346694526,0.0,748,0.5220634398953249,0.9992780865546743,0.00011024590090026032,3620.13916194514
