round,accuracy,flops,memory_MB,memory_saved,communication_bytes,sparsity,avg_grad_norm,avg_phi,skipped_batches,effective_compute_ratio,compression_ratio,quantization_error,avg_scale_factor
1,0.05841999999999999,109174315204.0,1076.5546875,0.0,5123219.199999999,0.810170283645377,2.4860045821863985,0.0,118,0.9270396597291051,0.9998163991756698,5.0911735112678684e-05,10115.113289756719
2,0.07532,105250981140.0,1090.85546875,5245.760437011719,5123119.999999999,0.7967480945746344,2.5988225940917546,0.0,170,0.8920287051972162,0.9997970399050772,5.2777528661536334e-05,9458.822792733854
3,0.07284,97857005404.0,1093.953125,7557.451477050781,5122902.399999999,0.7913229434477193,2.6726465040366327,0.0,268,0.8303059491830622,0.9997545744082933,5.472900196371917e-05,8940.374799015577
4,0.09022,90463029668.0,489.1328125,11914.099975585938,5122825.6,0.7808766997761768,2.7865386307270947,0.0,366,0.7671835599632366,0.999739586585899,5.706294815788103e-05,8463.06286405781
5,0.10239999999999998,84427131108.0,493.46484375,16270.748474121094,5122627.199999999,0.7742814411080521,2.835166844475745,0.0,446,0.715323731619941,0.9997008680447137,5.898714965735082e-05,8068.6369755229625
6,0.10996000000000002,80805591972.0,498.484375,19827.196228027344,5122630.399999999,0.7684637379195404,2.8883969740653095,0.0,494,0.6883387459785574,0.9997014925373134,6.082672730769829e-05,7731.590700017032
7,0.1186,73109821308.0,499.88671875,21961.064880371094,5122499.199999999,0.7663496219422476,2.9529470150184705,0.0,596,0.6201921184097876,0.9996758883407232,6.254518445274621e-05,7440.522682023145
8,0.12476000000000001,70846359348.0,453.87890625,26495.535766601562,5122627.199999999,0.7639856507030696,3.0030323825998564,0.0,626,0.6003446017939412,0.9997008680447137,6.415026468837005e-05,7184.119763872914
9,0.13078,66168537964.0,458.234375,27829.203674316406,5122611.199999999,0.7633062161435671,3.0186392110381943,0.0,688,0.5594007625668791,0.9996977455817149,6.55184599576744e-05,6962.805128091661
10,0.13707999999999998,62546998828.0,460.859375,30585.45068359375,5122569.6,0.7627083194410738,3.0604499380071384,0.0,736,0.5286693460715461,0.999689627177918,6.680076802909255e-05,6764.012737774758
11,0.14102,61339819116.0,424.55859375,32719.3193359375,5122428.799999999,0.7622572600590837,3.0874369018814525,0.0,752,0.5198241942810518,0.9996621495035284,6.79726865217579e-05,6586.422996317577
12,0.15074,64055973468.0,429.69921875,33430.60888671875,5122617.599999999,0.7610160716899952,3.1084695260982453,0.0,716,0.541472687774637,0.9996989945669144,6.90468535635652e-05,6426.0423409332
13,0.1527,62094306436.0,435.5859375,31830.207397460938,5122531.199999999,0.7609799598682228,3.1424598714324774,0.0,742,0.5244436602638696,0.9996821332667208,7.010950907502126e-05,6280.090038253305
14,0.15825999999999998,61264370384.0,421.08984375,32986.05291748047,5122431.999999999,0.7626398421443166,3.1683418479583794,0.0,753,0.5187961923169789,0.9996627739961281,7.112536637250854e-05,6144.9342121466225
15,0.16188,61641614044.0,428.8828125,33475.06448364258,5122547.199999999,0.7617095748841437,3.197780019688965,0.0,748,0.5240052516292046,0.9996852557297196,7.210446847449368e-05,6020.5845126666845
16,0.17302,60585331796.0,432.02734375,33252.78649902344,5122675.199999999,0.7615153418469712,3.234047030711035,0.0,762,0.5148414428583955,0.9997102354337101,7.308476479946427e-05,5902.174358759023
17,0.18312,62622447560.0,447.828125,33875.16485595703,5122636.8,0.7618736002542448,3.2399244226138726,0.0,735,0.5335877007880478,0.9997027415225129,7.400646427464405e-05,5792.603169117456
18,0.175,61264370384.0,296.84375,32674.863739013672,5122534.399999999,0.7633346045076104,3.251040169684719,0.0,753,0.5157481913992848,0.9996827577593206,7.488956573320602e-05,5690.129894018343
19,0.18234,61415267848.0,442.6484375,33475.06448364258,5122636.8,0.7642066024389038,3.263180383541168,0.0,751,0.520269347614113,0.9997027415225129,7.571862268278936e-05,5594.007166882417
20,0.18431999999999998,61792511508.0,449.35546875,33386.15328979492,5122604.8,0.7648226518254024,3.3054671706253806,0.0,746,0.5239767836985206,0.9996964965965154,7.659747333029042e-05,5502.745460388852
21,0.19491999999999998,61717062776.0,459.28515625,33163.87530517578,5122652.799999999,0.7660520734164985,3.311185405470011,0.0,747,0.5222154714264082,0.9997058639855118,7.74365723735157e-05,5417.343015987205
22,0.2008,64131422200.0,462.94921875,33208.33090209961,5122617.6,0.7671523862358389,3.334058618460228,0.0,715,0.5441966912883478,0.9996989945669144,7.826104860671054e-05,5335.747688023287
23,0.20122,63980524736.0,466.6796875,31785.75180053711,5122662.399999999,0.7684528405593951,3.359204432109685,0.0,717,0.5419525268787295,0.9997077374633111,7.908257840633654e-05,5257.955625152959
24,0.2048,61717062776.0,470.32421875,31874.662994384766,5122691.199999999,0.7690862177601716,3.370038506516515,0.0,747,0.5258152182971056,0.9997133578967089,7.989854294286695e-05,5183.991554013447
