round,accuracy,flops,memory_bytes,communication_bytes,sparsity,avg_grad_norm,avg_phi,skipped_batches,effective_compute_ratio,compression_ratio
1,0.07074,4187860.223587514,986.7109375,512207.99999999994,0.08511124439399839,2.3733220689137884,0.9409837209513071,133,0.002650544445308553,0.09995940798101542
2,0.08288000000000001,4498174.41836108,990.4609375,512207.99999999994,0.06527724998148018,2.564287855538932,0.9704546054057228,59,0.002846945834405747,0.09995940798101542
3,0.09146000000000001,4603945.50656985,990.81640625,512207.99999999994,0.057650253893308676,2.687443286658396,0.9814931953885019,36,0.0029138895611201584,0.09995940798101542
4,0.10394,4671601.685401479,983.4765625,512207.99999999994,0.0548630026521403,2.7429463426066194,0.9894302054440434,18,0.0029567099274692902,0.09995940798101542
5,0.11879999999999999,4678685.673387751,983.57421875,512207.99999999994,0.052785614223187484,2.815383064131074,0.9908314403956326,19,0.002961193464169463,0.09995940798101542
6,0.12116000000000002,4710444.704621995,983.78515625,512207.99999999994,0.0518688627129155,2.8713983849207834,0.9971408081415613,10,0.0029812941168493637,0.09995940798101542
7,0.13086,4739189.983414307,984.09375,512207.99999999994,0.05094612315897347,2.956871474818886,0.9995595015982529,2,0.002999487331274878,0.09995940798101542
8,0.14382,4734885.073936938,984.33984375,512207.99999999994,0.05058609674091098,3.0104042662052612,0.9984683717001289,4,0.0029967627050233787,0.09995940798101542
9,0.16019999999999998,4742047.966777889,984.484375,512207.99999999994,0.05037920301484737,3.0739793667583735,0.9998352274942436,2,0.003001296181504993,0.09995940798101542
10,0.16282,4749038.656431476,984.7265625,512207.99999999994,0.050192268713705045,3.1199003063562984,0.9999334160634128,0,0.003005720668627516,0.09995940798101542
11,0.17438000000000003,4749501.973430297,984.91796875,512207.99999999994,0.05009960531394038,3.16420743129277,0.9999923260113335,0,0.0030060139072343654,0.09995940798101542
12,0.18810000000000002,4749825.646246254,985.15625,512207.99999999994,0.05003487075074934,3.1952839073335895,0.9995731817673347,0,0.0030062187634469963,0.09995940798101542
13,0.18546,4749832.222527126,985.328125,512207.99999999994,0.05003355549457518,3.2436915070725973,0.9999998315882893,0,0.00300622292565008,0.09995940798101542
14,0.18626,4749852.798741384,985.51171875,512207.99999999994,0.05002944025172331,3.2809896865204977,0.9999999941437517,0,0.0030062359485704964,0.09995940798101542
15,0.20532000000000003,4749964.068548793,985.68359375,512207.99999999994,0.05000718629024141,3.2943963975435957,0.9999991038743146,0,0.003006306372499236,0.09995940798101542
16,0.21216,4749996.219796621,985.828125,512207.99999999994,0.05000075604067598,3.3167466121963374,0.9999999908361881,0,0.0030063267213902667,0.09995940798101542
17,0.21488000000000002,4749983.52151961,986.21875,512207.99999999994,0.05000329569607803,3.3354754937625373,0.9999999999985073,0,0.003006318684506082,0.09995940798101542
18,0.21402000000000002,4749997.499800326,986.37109375,512207.99999999994,0.05000050003993497,3.356384738659686,0.9999999999999991,0,0.0030063275315191937,0.09995940798101542
19,0.22676,4749999.999999999,986.58984375,512207.99999999994,0.05000000000000025,3.3796690368613453,0.9999999999999994,0,0.00300632911392405,0.09995940798101542
20,0.23094,4749999.999999999,986.80859375,512207.99999999994,0.05000000000000025,3.4064507813285596,0.9999999999999994,0,0.00300632911392405,0.09995940798101542
21,0.23164,4749999.999999999,986.9375,512207.99999999994,0.05000000000000025,3.3971636690413076,0.9999999999999994,0,0.00300632911392405,0.09995940798101542
22,0.25054,4749849.51759271,987.2578125,512207.99999999994,0.05003009648145795,3.4192542381020443,0.9999999865829089,0,0.0030062338718941204,0.09995940798101542
23,0.2531,4749988.581277251,987.40625,512207.99999999994,0.05000228374455009,3.4302283863969847,0.9998890977637954,0,0.003006321886884336,0.09995940798101542
24,0.25515999999999994,4749992.778873688,987.69921875,512207.99999999994,0.05000144422526268,3.4378861750038574,0.9999999999999994,0,0.0030063245435909417,0.09995940798101542
25,0.25598,4749999.999999999,987.828125,512207.99999999994,0.05000000000000025,3.467196371061069,0.9999999999999994,0,0.00300632911392405,0.09995940798101542
26,0.25472,4749999.999999999,988.0234375,512207.99999999994,0.05000000000000025,3.483168613925158,0.9999999999999994,0,0.00300632911392405,0.09995940798101542
27,0.26916,4749999.999999999,988.34375,512207.99999999994,0.05000000000000025,3.476306685490889,0.9999999999999994,0,0.00300632911392405,0.09995940798101542
28,0.26996000000000003,4749999.999999999,988.47265625,512207.99999999994,0.05000000000000025,3.4856601046328186,0.9999999999999994,0,0.00300632911392405,0.09995940798101542
29,0.26434,4749999.999999999,988.62109375,512207.99999999994,0.05000000000000025,3.5168716954900043,0.9999999999999994,0,0.00300632911392405,0.09995940798101542
30,0.27602,4749999.999999999,988.75,512207.99999999994,0.05000000000000025,3.519223021268252,0.9999999999999994,0,0.00300632911392405,0.09995940798101542
31,0.27352,4749999.999999999,989.12109375,512207.99999999994,0.05000000000000025,3.542189390646788,0.9999999999999994,0,0.00300632911392405,0.09995940798101542
32,0.28579999999999994,4749999.999999999,989.17578125,512207.99999999994,0.05000000000000025,3.546470528970265,0.9999999999999994,0,0.00300632911392405,0.09995940798101542
33,0.29496,4749999.999999999,788.5703125,512207.99999999994,0.05000000000000025,3.5670608913372632,0.9999999999999994,0,0.00300632911392405,0.09995940798101542
34,0.29946,4749999.999999999,788.75,512207.99999999994,0.05000000000000025,3.5675785596816305,0.9999999999999994,0,0.00300632911392405,0.09995940798101542
35,0.31014,4749999.999999999,789.125,512207.99999999994,0.05000000000000025,3.5687254269150444,0.9999999999999994,0,0.00300632911392405,0.09995940798101542
36,0.30496,4749999.999999999,789.29296875,512207.99999999994,0.05000000000000025,3.5679457381469235,0.9999999999999994,0,0.00300632911392405,0.09995940798101542
37,0.30013999999999996,4749999.999999999,789.43359375,512207.99999999994,0.05000000000000025,3.586751726475179,0.9999999999999994,0,0.00300632911392405,0.09995940798101542
