round,accuracy,flops,memory_bytes,communication_bytes,sparsity,avg_grad_norm,avg_phi,skipped_batches,effective_compute_ratio,compression_ratio
1,0.06624,4386890.9017069265,978.0859375,512207.99999999994,0.07332873788626756,2.563220691988594,0.9579601448958492,89,0.0032495488160792048,0.09995940798101542
2,0.06838000000000001,4596411.447976405,978.484375,512207.99999999994,0.05917035883611549,2.7857013767789858,0.9751187297788688,37,0.003404749220723263,0.09995940798101542
3,0.07924,4681165.509175273,978.51953125,512207.99999999994,0.05459321349350014,2.923880501363319,0.9899743226573985,16,0.003467530006796498,0.09995940798101542
4,0.09102,4707697.58627129,978.53515625,512207.99999999994,0.052510987755128594,3.0408760412570546,0.9959388939514138,10,0.0034871833972379925,0.09995940798101542
5,0.09686,4732096.0325636715,978.59765625,512207.99999999994,0.051192534647575415,3.1290487151295983,0.9956822325778381,4,0.0035052563204175345,0.09995940798101542
6,0.1016,4730843.898941044,978.60546875,512207.99999999994,0.050887309433038,3.174257153857105,0.9970408712591412,5,0.0035043288140304027,0.09995940798101542
7,0.10308000000000002,4737804.412848581,978.59765625,512207.99999999994,0.050688846286788755,3.2128764933595555,0.9996692149962654,3,0.0035094847502582078,0.09995940798101542
8,0.11576,4741442.830070507,978.60546875,512207.99999999994,0.050602170972135894,3.238113782909892,0.9984556892954789,2,0.003512179874126301,0.09995940798101542
9,0.1173,4745591.269360333,978.671875,512207.99999999994,0.050326631305406044,3.275316026460982,0.9988568310512264,1,0.003515252792118765,0.09995940798101542
10,0.12210000000000001,4739241.1867721155,978.79296875,512207.99999999994,0.050314071708959206,3.3039133021406264,0.9994397889141033,3,0.003510549027238604,0.09995940798101542
11,0.12929999999999997,4748521.81005329,978.8125,512207.99999999994,0.05029563798934204,3.3170381627405376,0.9995152463259303,0,0.0035174235630024368,0.09995940798101542
12,0.13257999999999998,4748669.876531911,978.83984375,512207.99999999994,0.05026602469361806,3.3380632010827505,0.9976873146858031,0,0.00351753324187549,0.09995940798101542
13,0.14146,4742912.151962513,978.8203125,512207.99999999994,0.05013453026923986,3.343883164557296,0.9995126017819128,2,0.003513268260712973,0.09995940798101542
14,0.14094,4746490.22303778,978.90625,512207.99999999994,0.050191293245024006,3.344056586855656,0.9994435093176778,1,0.003515918683731689,0.09995940798101542
15,0.15106,4749416.805458361,979.015625,512207.99999999994,0.050116638908328,3.36548678674851,0.9999904084404946,0,0.003518086522561749,0.09995940798101542
16,0.16161999999999999,4745991.089660125,979.125,512207.99999999994,0.05016022386776964,3.36519011304202,0.9999995536574893,1,0.003515548955303796,0.09995940798101542
17,0.15638000000000002,4742830.39365382,979.11328125,512207.99999999994,0.050150925198583315,3.3757827854928797,0.9988723630207025,2,0.00351320769900283,0.09995940798101542
18,0.1651,4744538.615870846,979.2265625,512207.99999999994,0.050070785723399604,3.3839059112018988,0.9999994909609103,2,0.0035144730487932196,0.09995940798101542
19,0.16448000000000002,4746434.704957805,979.21875,512207.99999999994,0.05007139597723005,3.396297339088907,0.9998476833177665,1,0.0035158775592280035,0.09995940798101542
20,0.1687,4743261.270723303,979.18359375,512207.99999999994,0.0501507813743316,3.404560055565134,0.999726514364194,2,0.0035135268672024465,0.09995940798101542
21,0.17818,4746631.715846851,979.25390625,512207.99999999994,0.050031868319901064,3.420100465431216,0.9993748540261731,1,0.0035160234932198895,0.09995940798101542
22,0.16936,4749622.297470976,979.2890625,512207.99999999994,0.050075540505805025,3.441979325121416,0.9999253958713471,0,0.0035182387388673895,0.09995940798101542
23,0.1878,4749490.59423874,979.37109375,512207.99999999994,0.050101881152252045,3.425411012849306,0.9988678941332042,0,0.0035181411809175854,0.09995940798101542
24,0.1856,4749646.451371262,979.34375,512207.99999999994,0.05007070972574764,3.4317411379863585,0.9999467293659574,0,0.0035182566306453792,0.09995940798101542
25,0.19668000000000002,4749786.361808253,979.40625,512207.99999999994,0.05004272763834953,3.443960885918891,0.9999996787362371,0,0.0035183602680061137,0.09995940798101542
26,0.19992000000000001,4746779.6186076505,979.46875,512207.99999999994,0.050088558178326206,3.442085987956054,0.9993028696877655,1,0.0035161330508204818,0.09995940798101542
27,0.19252,4749681.356205117,979.60546875,512207.99999999994,0.050063728758976925,3.4603174323052506,0.9994006888649298,0,0.0035182824860778643,0.09995940798101542
28,0.19807999999999998,4749682.790527977,979.6953125,512207.99999999994,0.050063441894404835,3.4666845943897817,0.9999996973987848,0,0.0035182835485392423,0.09995940798101542
29,0.20082,4749699.905402983,979.75390625,512211.19999999995,0.050060018919403426,3.4631275412699303,0.9999999865068139,0,0.0035182962262244317,0.09996003247361519
30,0.20236,4749673.633259488,979.80078125,512207.99999999994,0.050065273348102436,3.4700398723829253,0.9996922116955606,0,0.003518276765377399,0.09995940798101542
31,0.2037,4746536.535123166,979.79296875,512207.99999999994,0.0500509732905251,3.4822654021007815,0.9992421272274624,1,0.0035159529889801228,0.09995940798101542
32,0.20451999999999998,4746261.705618147,979.76171875,512207.99999999994,0.050106080570919545,3.4854360118574332,0.9996915683719043,1,0.0035157494115689975,0.09995940798101542
33,0.20990000000000003,4749771.625651342,908.3046875,512207.99999999994,0.05004567486973168,3.499867386020361,0.9999999986183864,0,0.003518349352334327,0.09995940798101542
34,0.2183,4749816.53576675,908.3046875,512207.99999999994,0.0500366928466502,3.503883935130292,0.9999999993657394,0,0.0035183826190864813,0.09995940798101542
35,0.22897999999999996,4749829.738465518,908.33203125,512207.99999999994,0.05003405230689663,3.500517802248755,0.9999999966115322,0,0.0035183923988633464,0.09995940798101542
36,0.22946,4749701.276560612,908.359375,512207.99999999994,0.050059744687877904,3.4936079034174425,0.9998158084395758,0,0.0035182972418967497,0.09995940798101542
37,0.21669999999999998,4749867.537872307,908.3671875,512207.99999999994,0.0500264924255384,3.507435130567927,0.9998117687491664,0,0.003518420398423931,0.09995940798101542
38,0.23674,4749602.69243421,908.37890625,512207.99999999994,0.05007946151315791,3.5168135205834474,0.9999181123247711,0,0.0035182242166179336,0.09995940798101542
39,0.23416,4749672.369831053,908.3828125,512207.99999999994,0.05006552603378953,3.5102840022504447,0.9999996255884535,0,0.0035182758295044833,0.09995940798101542
40,0.23112,4746942.002446132,908.5234375,512207.99999999994,0.050056077694694424,3.5253246953484885,0.9996190743674973,1,0.0035162533351452826,0.09995940798101542
41,0.23201999999999998,4749660.765831672,908.859375,512207.99999999994,0.05006784683366572,3.5260368494092917,0.9990944776510894,0,0.0035182672339493866,0.09995940798101542
42,0.24177999999999997,4749808.725048371,908.90234375,512207.99999999994,0.05003825499032601,3.526726499945835,0.9999999999998463,0,0.0035183768333691633,0.09995940798101542
43,0.23512,4749707.853848587,908.9375,512207.99999999994,0.05005842923028279,3.5306186245472424,0.9999291524285997,0,0.0035183021139619164,0.09995940798101542
44,0.24426,4749822.209642775,908.9453125,512207.99999999994,0.05003555807144505,3.5228689734926624,0.9998767407875265,0,0.0035183868219576114,0.09995940798101542
45,0.24644000000000005,4749929.760653535,909.015625,512207.99999999994,0.050014047869293254,3.5279636399371,0.999999971344123,0,0.003518466489372989,0.09995940798101542
46,0.25254,4749647.6470226245,909.3125,512207.99999999994,0.05007047059547513,3.523533423296861,0.9999910015486305,0,0.003518257516313055,0.09995940798101542
47,0.25705999999999996,4749479.523971214,909.3203125,512207.99999999994,0.05010409520575724,3.5422528952167234,0.999362825024029,0,0.0035181329807194178,0.09995940798101542
48,0.25656,4749714.74432725,909.2734375,512207.99999999994,0.05005705113455015,3.550620029419683,0.999938842005147,0,0.0035183072180201853,0.09995940798101542
49,0.24900000000000003,4749568.357762415,909.3515625,512207.99999999994,0.05008632844751704,3.553817523029816,0.9999781134834936,0,0.0035181987835277147,0.09995940798101542
50,0.24874000000000002,4746656.306236749,909.55859375,512207.99999999994,0.050026937461335484,3.5464834109725913,0.9999999999991427,1,0.0035160417083235176,0.09995940798101542
51,0.26528,4749669.316643144,909.76953125,512207.99999999994,0.05006613667137126,3.5393880239963793,0.999875397872936,0,0.0035182735678838104,0.09995940798101542
52,0.25749999999999995,4749617.545410343,909.7734375,512207.99999999994,0.05007649091793144,3.5562811751451875,0.9999605831276754,0,0.003518235218822477,0.09995940798101542
53,0.25758000000000003,4749816.805629025,909.78515625,512207.99999999994,0.05003663887419485,3.546819509262664,0.9999744101008494,0,0.003518382818984463,0.09995940798101542
54,0.26559999999999995,4749891.8215897195,909.859375,512207.99999999994,0.05002163568205627,3.5492643602871965,0.9999973830361475,0,0.003518438386362755,0.09995940798101542
55,0.26524000000000003,4749802.136210517,909.91796875,512207.99999999994,0.050039572757896625,3.5648254902476864,0.9998667883970492,0,0.0035183719527485313,0.09995940798101542
