round,accuracy,flops,memory_MB,memory_saved,communication_bytes,sparsity,avg_grad_norm,avg_phi,skipped_batches,effective_compute_ratio,compression_ratio,quantization_error,avg_scale_factor
1,0.33832,103635024468.0,1071.7578125,0.0,4937337.6,0.8144371613794675,2.344944105143122,0.0,191,0.8779025175092687,0.9997848695933905,5.321258895445238e-05,10135.17050403278
2,0.40035999999999994,92773711860.0,1081.58984375,8472.002365112305,4936976.0,0.7983533178821794,2.4978491521985156,0.0,335,0.7859269684403489,0.9997116474971651,5.577653033650759e-05,9219.63003614573
3,0.4574,85306559442.0,492.65625,14859.27116394043,4936684.8,0.7890370309125914,2.5790594065263313,0.0,434,0.7227727252789148,0.9996526810302933,5.80126620399977e-05,8536.875115231582
4,0.48782,79121645318.0,497.19921875,19250.518463134766,4936502.399999999,0.7870782961935128,2.6090618558252086,0.0,516,0.6702604062968959,0.9996157459906042,5.974045982571245e-05,8025.843233876888
5,0.51838,75199504654.0,500.75,22887.71319580078,4936422.399999999,0.78887427498834,2.6246888236780235,0.0,568,0.6370731478233816,0.9995995464117933,6.11354882269731e-05,7629.589608915683
6,0.50844,70598531952.0,459.6171875,25194.226928710938,4936412.799999999,0.791366866770667,2.608412516930873,0.0,629,0.5979680230714204,0.999597602462336,6.217364081085889e-05,7320.384732643722
7,0.5433600000000001,69693422568.0,464.30078125,27899.94496154785,4936425.6,0.7887020860957944,2.6171012444946706,0.0,641,0.5903774266384829,0.9996001943949457,6.298917310068456e-05,7061.352300973808
8,0.56718,65394152994.0,468.89453125,28432.217361450195,4936211.199999999,0.7923779428248551,2.6078872883455766,0.0,698,0.5540567611598913,0.9995567795237323,6.369460491926823e-05,6853.067127885866
9,0.5684400000000001,63282231098.0,469.3359375,30960.511260986328,4936230.399999999,0.7941734270949392,2.5970229803601326,0.0,726,0.536132200830022,0.999560667422647,6.431235357685276e-05,6673.28564600328
10,0.5871200000000001,60944031856.0,413.82421875,32202.480194091797,4936121.6,0.794596372681993,2.5992531930880434,0.0,757,0.5162454544224163,0.9995386359954641,6.487725142681177e-05,6518.904455802041
11,0.57816,61019457638.0,418.62109375,33577.51722717285,4936051.199999999,0.7939626915496758,2.599407722205234,0.0,756,0.5170232049687172,0.9995243803661105,6.536641745469898e-05,6381.424901129178
12,0.6090799999999998,60944031856.0,420.453125,33533.161193847656,4936073.6,0.7991716692838254,2.574225986591301,0.0,757,0.5162495636033537,0.9995289162481775,6.577592743089997e-05,6262.762506226382
13,0.6020399999999999,61999992804.0,425.9296875,33577.51722717285,4936275.199999999,0.796204199287023,2.5973747563966834,0.0,743,0.5252241191310256,0.9995697391867812,6.624051875152415e-05,6151.602916014386
14,0.61344,60642328728.0,435.3515625,32956.53276062012,4936268.799999999,0.7990566656541132,2.6026363067273017,0.0,761,0.5137423892506436,0.9995684432204762,6.66857723924112e-05,6050.602677203747
15,0.61738,60642328728.0,440.26953125,33754.94136047363,4936191.999999999,0.8009926436345991,2.590723734816792,0.0,761,0.5137303226082081,0.9995528916248178,6.706912569365174e-05,5959.922972174924
16,0.6097199999999999,60416051382.0,439.27734375,33754.94136047363,4936112.0,0.800547279476921,2.5952714064571722,0.0,764,0.5118214515225086,0.9995366920460068,6.744547366336617e-05,5875.782232307906
17,0.6401,61547438112.0,443.70703125,33888.00946044922,4936172.8,0.7990270933773024,2.613335873256362,0.0,749,0.5213410475052298,0.9995490037259032,6.782819650864372e-05,5795.483914948631
18,0.6368600000000001,61849141240.0,388.2265625,33222.66896057129,4936092.799999999,0.798930305669944,2.607042336607435,0.0,745,0.5239830421277469,0.9995328041470922,6.819823124485555e-05,5721.520307324307
19,0.65062,61245734984.0,437.86328125,33045.24482727051,4936188.799999999,0.8011344169352845,2.629621108144892,0.0,753,0.5188218586901595,0.9995522436416653,6.858547560206538e-05,5650.118857401345
20,0.66212,60868606074.0,445.8515625,33400.09309387207,4935993.6,0.8070852728740224,2.6045601940812313,0.0,758,0.5156801289630563,0.9995127166693666,6.890806903172121e-05,5585.391184873855
21,0.66184,61999992804.0,449.78515625,33621.87326049805,4936003.199999999,0.8072776395793813,2.618933383080362,0.0,743,0.5251871886826635,0.9995146606188239,6.923515614868976e-05,5523.584623050059
22,0.6678000000000001,61849141240.0,453.359375,32956.53276062012,4936124.799999999,0.8029382069711449,2.632121948937649,0.0,745,0.5239707667650098,0.9995392839786166,6.957934931203403e-05,5463.948703420764
23,0.66648,59360090434.0,465.203125,33045.24482727051,4936025.6,0.806016004718356,2.6586441672357077,0.0,778,0.5028920448050739,0.9995191965008909,6.993225344422196e-05,5407.090649805721
24,0.6746800000000001,59812645126.0,470.6484375,34508.99392700195,4936127.999999999,0.8093126508898882,2.648449783546582,0.0,772,0.5066849753506216,0.999539931961769,7.026981358000865e-05,5353.3384143451785
25,0.68742,60642328728.0,474.32421875,34242.85772705078,4936041.6,0.8053186857803398,2.6859055111339982,0.0,761,0.5137791631587796,0.9995224364166532,7.06195020201593e-05,5301.1725103067665
26,0.6829599999999999,61321160766.0,478.3125,33754.94136047363,4936102.399999999,0.8061232198371238,2.672588908270984,0.0,752,0.5194569358653063,0.9995347480965495,7.09650234964101e-05,5251.31574090701
27,0.6907,61019457638.0,481.88671875,33355.737060546875,4935929.6,0.8068315344661616,2.684819709948581,0.0,756,0.5169539228736089,0.9994997570063179,7.130104649815521e-05,5203.68060203443
28,0.68008,60416051382.0,485.11328125,33533.161193847656,4935980.799999999,0.8095143153400457,2.6932273819492742,0.0,764,0.5118539597094809,0.9995101247367568,7.164632315646468e-05,5157.450582300703
29,0.6901999999999999,62075418586.0,489.13671875,33888.00946044922,4936172.799999999,0.8097123451849398,2.692124838256702,0.0,742,0.5259529769466796,0.9995490037259032,7.197253697580499e-05,5113.172229441154
30,0.6965999999999999,60340625600.0,492.7109375,32912.17672729492,4935875.199999999,0.8135485967584895,2.705738386030441,0.0,765,0.5111537618002386,0.9994887412927264,7.229292377373504e-05,5070.798973773017
31,0.715,61622863894.0,496.41015625,33932.365493774414,4935964.799999999,0.5427471294101925,2.6999987632025437,0.0,748,0.5220617391390843,0.9995068848209947,7.259489222636476e-05,5030.8640711237
32,0.70634,58907535742.0,504.4921875,33178.312927246094,4935782.399999999,0.5444089044884344,2.719367358651559,0.0,784,0.49910264945963456,0.9994699497813057,7.290233383424816e-05,4992.295109615336
33,0.71606,59586367780.0,508.5546875,34775.130126953125,4935798.4,0.5470144408911126,2.710731947209701,0.0,775,0.5047394347169369,0.9994731896970679,7.319666129286001e-05,4955.701190719154
34,0.70604,60265199818.0,512.62109375,34375.92582702637,4935897.6,0.547977381208778,2.731290616066966,0.0,766,0.5105925977018916,0.9994932771747934,7.34963301251938e-05,4920.138720846158
35,0.72324,60114348254.0,516.27734375,33976.72152709961,4935772.799999999,0.5497917310476979,2.726649743177515,0.0,768,0.5092900917048518,0.9994680058318484,7.377255818077437e-05,4886.65160300932
36,0.71746,61019457638.0,520.03125,34065.43359375,4935721.6,0.5494836619881107,2.762533511177149,0.0,756,0.5169701508770574,0.9994576381014094,7.407162177644738e-05,4853.560305342599
37,0.73034,60717754510.0,523.68359375,33533.161193847656,4935833.6,0.5484588315666201,2.7735416795434227,0.0,760,0.5143161939722555,0.9994803175117447,7.43698004212662e-05,4821.121567549082
38,0.74082,62377121714.0,528.43359375,33710.58532714844,4935529.6,0.5507484987533984,2.7797332961829566,0.0,738,0.5284108933082151,0.9994187591122631,7.466377587932501e-05,4789.802430718244
39,0.73628,59058387306.0,532.68359375,32734.75259399414,4935606.399999999,0.5532698747366639,2.785951239862527,0.0,782,0.5002868762707682,0.9994343107079215,7.494824488665318e-05,4759.702082168191
40,0.7312799999999999,60793180292.0,535.6875,34686.418060302734,4935459.199999999,0.5530805862201369,2.8004510765818464,0.0,759,0.5150613841515088,0.9994045034829094,7.523201541613843e-05,4730.366561677221
41,0.74692,60038922472.0,539.4296875,33666.22929382324,4935622.399999999,0.5539568432130196,2.828237900965213,0.0,769,0.5086755604343927,0.9994375506236838,7.552045919773394e-05,4701.972360578912
42,0.74588,62301695932.0,547.11328125,34109.789627075195,4935494.399999999,0.5565893498563834,2.822186915612045,0.0,739,0.5279311301274874,0.9994116312975863,7.579789071851814e-05,4674.4879637399
43,0.7465599999999999,59586367780.0,550.171875,32779.108627319336,4935328.0,0.5570072458733539,2.850353240875253,0.0,775,0.5048292627167328,0.9993779361736594,7.608248207614575e-05,4647.711896167702
44,0.7472,60642328728.0,553.90234375,34375.92582702637,4935254.399999999,0.5588671817318089,2.845936086245316,0.0,761,0.5137384366099322,0.9993630325611534,7.635071040147659e-05,4622.000357579405
45,0.7579199999999999,59586367780.0,557.66796875,33754.94136047363,4935273.6,0.559554836876741,2.8730535327679942,0.0,775,0.5047392781767108,0.999366920460068,7.662968495913765e-05,4596.306651639871
46,0.7470800000000001,59661793562.0,561.55078125,34375.92582702637,4935206.399999999,0.5612098801112542,2.894225657570263,0.0,774,0.5054437939871921,0.9993533128138669,7.69138327899603e-05,4571.376600688041
47,0.7592,60189774036.0,564.58203125,34331.56979370117,4935084.799999999,0.5639737030204655,2.8965733939407725,0.0,767,0.5099494587050959,0.9993286894540742,7.718655552626333e-05,4547.349709284252
48,0.75374,58907535742.0,568.27734375,34021.077560424805,4935155.199999999,0.5643952133141715,2.9199034930891443,0.0,784,0.4989963325560133,0.9993429450834278,7.745985256170907e-05,4523.846770667404
49,0.7563599999999999,60717754510.0,571.8828125,34775.130126953125,4934924.799999999,0.5654504390130478,2.9205758735860385,0.0,760,0.5143569727011782,0.9992962902964523,7.772483990871647e-05,4501.133740231935
50,0.76908,61245734984.0,575.49609375,33710.58532714844,4934937.6,0.5680490752124323,2.9201515724822658,0.0,753,0.5188384519541358,0.999298882229062,7.797726754780049e-05,4479.628619431418
51,0.7680800000000001,61999992804.0,579.99609375,33400.09309387207,4934761.6,0.570015997961509,2.9490937592942448,0.0,743,0.5252077867674265,0.9992632431556779,7.823373085743664e-05,4458.434656555737
52,0.75394,59888070908.0,584.05859375,32956.53276062012,4934553.599999999,0.5721556481821896,2.965141342431278,0.0,771,0.5072340728065331,0.9992211242507695,7.848918465607349e-05,4437.891964427852
53,0.7724400000000001,60265199818.0,587.578125,34198.501693725586,4934815.999999999,0.5733158743425522,2.9911487986060963,0.0,766,0.5105231068864817,0.9992742588692693,7.87597243914636e-05,4417.307776242646
54,0.7767800000000001,60793180292.0,591.1953125,33976.72152709961,4934780.8,0.5753728433533503,3.008405197843156,0.0,759,0.5149677600512277,0.9992671310545925,7.902243652943372e-05,4397.200667026073
55,0.77326,61321160766.0,595.0234375,33666.22929382324,4934620.8,0.5766190880463424,3.034894106606795,0.0,752,0.5194853348713411,0.9992347318969707,7.928429890849413e-05,4377.786765096741
56,0.77112,60868606074.0,598.58203125,33355.737060546875,4934288.0,0.5776583468783282,3.0621355809473196,0.0,758,0.5156348757926683,0.9991673416491171,7.955838157213467e-05,4358.275103966856
57,0.77256,59435516216.0,601.703125,33621.87326049805,4933987.199999999,0.5816770970524361,3.0405019298871294,0.0,777,0.5036122146381744,0.999106431232788,7.980697083051735e-05,4339.789278693124
58,0.78358,60566902946.0,605.60546875,34464.63789367676,4933993.599999999,0.5829799323360911,3.0716417364684037,0.0,762,0.5131280145204105,0.9991077271990928,8.005839062210653e-05,4321.804595336661
59,0.7890999999999999,59963496690.0,609.30078125,33799.29739379883,4934057.6,0.5853375752749308,3.101280497307445,0.0,770,0.507991486168448,0.9991206868621416,8.031115276302528e-05,4304.163802982058
60,0.7899399999999999,59963496690.0,612.3125,34154.14566040039,4933846.399999999,0.5880457172824585,3.1112761924817787,0.0,770,0.5080119277129848,0.9990779199740807,8.056518215291966e-05,4286.820753824667
