round,accuracy,flops,memory_bytes,communication_bytes,sparsity,avg_grad_norm,avg_phi,skipped_batches,effective_compute_ratio,compression_ratio,quantization_error,avg_scale_factor
1,0.2152,50038425416.0,1057.65625,20841344.000000007,0.29133515885101485,2.0058877543212685,0.0,169,0.9276791114152575,0.8011631954908953,9.313625899625619e-05,12206.6826256241
2,0.21608,47899780770.0,1103.95703125,22110281.6,0.357720307275846,1.3816588301334922,0.0,242,0.908480488687063,0.8499424921857028,7.14879462636784e-05,18087.057816203414
3,0.24602,46581438180.0,1109.09375,22250646.400000002,0.3691236805477785,1.2686738862922406,0.0,287,0.9001267290227123,0.8553382628088662,6.13118060017623e-05,20699.23437065012
4,0.2821,45321688594.0,1109.765625,22290259.2,0.3766861931482051,1.2276747476832763,0.0,330,0.885567718804323,0.8568610205269069,5.532409312214321e-05,22022.89411878573
5,0.29476,44882241064.0,1111.2578125,22264899.2,0.3799031292410867,1.2189926447637802,0.0,345,0.8775929134716798,0.8558861554396242,5.138248286773793e-05,22924.20377010592
6,0.30211999999999994,42948671932.0,1113.85546875,22196748.800000004,0.3839334963928863,1.2058325388799995,0.0,411,0.8539093735537298,0.8532663823463926,4.855997649798081e-05,23811.80072368477
7,0.30366,41249474816.0,1114.51171875,22178495.999999996,0.38692924327914485,1.2263178969249977,0.0,469,0.8296175828245195,0.852564725506284,4.656694864702788e-05,24476.294437743833
8,0.30498,39228016178.0,1116.8046875,22120310.4,0.38714002489003063,1.2315081873307685,0.0,538,0.8001117369305986,0.8503280098113867,4.505864142896299e-05,25022.602187616052
9,0.30688,36942889022.0,1118.18359375,21997705.6,0.3911435944333134,1.2631995273305998,0.0,616,0.7564553191021235,0.84561495227774,4.396841311262163e-05,25446.915574172977
10,0.31054000000000004,33515198288.0,1118.8359375,21864064.000000004,0.39194670321951064,1.3054287004878096,0.0,733,0.6666207264248805,0.8404776285376532,4.318150261192888e-05,25757.989016541378
11,0.31144,33368715778.0,1118.89453125,21773392.000000004,0.39447377182769094,1.2441838682192687,0.0,738,0.6707735088771909,0.8369921014400941,4.237052997445574e-05,26039.822532558253
12,0.31185999999999997,32987861252.0,282.484375,21695964.8,0.3970560601662717,1.247105225680556,0.0,751,0.6579187625283283,0.8340157183925366,4.1646292409086244e-05,26332.89118125565
13,0.31464,32958564750.0,351.4140625,21739660.799999997,0.3981359232833829,1.2776308589329812,0.0,752,0.6523716680031149,0.8356954386154825,4.109724213527637e-05,26583.25381425505
14,0.31362,33544494790.0,365.859375,21540540.800000004,0.40107361149700826,1.2984149048057847,0.0,732,0.6643831045899169,0.8280410562740103,4.0635084601238375e-05,26805.076077557373
15,0.31398,32343338208.0,372.46875,21464361.6,0.4010340138202671,1.2703983270344434,0.0,773,0.6414052718202022,0.8251126476597702,4.016540535704114e-05,27059.52514447303
16,0.31416000000000005,33017157754.0,373.6640625,21473171.200000003,0.4025766538288372,1.4353317638532321,0.0,750,0.6574013739334965,0.8254512979544439,4.009095038351675e-05,27321.30208853729
17,0.3153,33544494790.0,376.453125,21554464.0,0.40604301365780493,1.243192448466891,0.0,732,0.6770646462455027,0.8285762787339178,3.965129864703888e-05,27565.17403902542
18,0.31562,32987861252.0,382.37109375,21487401.6,0.4060171970739844,1.375646435811653,0.0,751,0.6566429446948254,0.8259983295056296,3.946924903629646e-05,27805.26308651421
19,0.31492,33749570304.0,384.71484375,21444339.200000003,0.4090452561615846,1.2545768235539259,0.0,725,0.6755221489401471,0.824342965533445,3.9109222943716264e-05,28068.595839259884
20,0.31846,33456605284.0,387.8984375,21496848.0,0.4114862390550469,1.267488471723862,0.0,735,0.6639294811665496,0.826361459062432,3.879696904032495e-05,28273.496798100656
21,0.31838,33720273802.0,401.62890625,21467862.400000002,0.41280355036661576,1.2640382583641503,0.0,726,0.6751376041088599,0.8252472220957938,3.8515672530506504e-05,28429.752658908477
22,0.31688,33954645818.0,406.53515625,21366944.0,0.4141737793781899,1.3312867938647248,0.0,718,0.6769742949399263,0.8213678125995624,3.8304667412419335e-05,28680.79037378448
23,0.31756,32665599730.0,408.36328125,21321193.6,0.4189065721252151,1.329376785198329,0.0,762,0.6628872498701204,0.819609119078694,3.812635819967292e-05,28888.46107896299
24,0.31908000000000003,33808163308.0,410.0703125,21405728.000000004,0.4188085621581146,1.3383238412107534,0.0,723,0.6797335841643599,0.8228587103734256,3.7942517725797126e-05,29076.86546239192
25,0.31898,34218314336.0,412.9921875,21259484.8,0.42060285688574073,1.2743937637528826,0.0,709,0.6833227081645675,0.8172369678682007,3.77094058907931e-05,29276.221647439124
