round,accuracy,flops,memory_bytes,communication_bytes,sparsity,avg_grad_norm,avg_phi,skipped_batches,effective_compute_ratio,compression_ratio
1,0.23584,1005263.3907004609,469.265625,2604736.0,0.2832463088676163,0.9276321194831212,0.17704100304189058,1209,0.0004295997396155816,0.10012879290175206
2,0.23612000000000002,769339.2031304766,469.140625,2604736.0,0.36081673604240605,0.8036170484939541,0.16157106493483725,1314,0.0003287774372352464,0.10012879290175206
3,0.23811999999999997,805426.2446251994,472.31640625,2604736.0,0.36733709090033945,0.8930602240491528,0.19750514447729386,1311,0.0003441992498398288,0.10012879290175206
4,0.25034,639412.1440916858,471.53515625,2604736.0,0.3905260758298864,0.6506292054296742,0.17287550835769538,1389,0.00027325305303063494,0.10012879290175206
5,0.24402,663517.4747635133,471.58203125,2604736.0,0.39004577362518866,0.7975184474928028,0.147639732406296,1411,0.00028355447639466383,0.10012879290175206
6,0.26078,621773.7490012337,471.5546875,2604739.2,0.40357220986420145,0.5686270413075485,0.18109221618661325,1407,0.00026571527735095457,0.10012891591311954
7,0.25806,636650.9379391011,471.5703125,2604736.0,0.38697782925811053,0.7078090832207021,0.14130276126460792,1440,0.00027207305040132527,0.10012879290175206
8,0.32184,534652.987051437,471.16015625,2604736.0,0.40851486113363344,0.548802964532667,0.1554710877939741,1482,0.0002284841825006141,0.10012879290175206
9,0.31536,598356.1824098937,472.3671875,2604736.0,0.3962739206260951,0.689808431650763,0.16155856146249564,1439,0.00025570777026063835,0.10012879290175206
10,0.30472,594210.6439910032,472.2421875,2604739.2,0.4082391046907511,0.4933451929702343,0.15350250067204038,1433,0.00025393617264572786,0.10012891591311954
11,0.32804,561933.7212122618,472.39453125,2604736.0,0.41317659253932904,0.4613650977465634,0.13743304982254162,1462,0.000240142615902676,0.10012879290175206
12,0.37411999999999995,603284.9430712409,472.421875,2604736.0,0.41225503634702587,0.45457129330788304,0.15860578562646382,1441,0.00025781407823557306,0.10012879290175206
13,0.39028,541911.4138545808,472.3515625,2604736.0,0.405544616482139,0.4918975541367104,0.1819019843494,1484,0.00023158607429682942,0.10012879290175206
14,0.34772,660484.7725266945,472.7265625,2604736.0,0.41130216542427755,0.4628622881959685,0.14829410683576771,1425,0.00028225844979773266,0.10012879290175206
15,0.38072,527820.2810436507,472.2265625,2604736.0,0.40517088834706494,0.4625854463226101,0.1297286041639287,1509,0.0002255642226682268,0.10012879290175206
16,0.44428,493947.54692974436,472.12109375,2604739.2,0.41222986979427334,0.4209958929785456,0.14308820842845799,1517,0.00021108869526912153,0.10012891591311954
17,0.42347999999999997,523215.80404894444,472.58984375,2604736.0,0.41896852931687195,0.4115288042912086,0.16105869394589348,1492,0.00022359649745681387,0.10012879290175206
18,0.40438,538097.7392635745,472.47265625,2604736.0,0.4172257079802691,0.3986950651069606,0.14936643738497385,1498,0.00022995629883058738,0.10012879290175206
19,0.43438,458097.5138640111,472.51953125,2604736.0,0.4171011804864048,0.49210963942481384,0.1625375798461001,1538,0.00019576816831795346,0.10012879290175206
20,0.4213,504834.56173122255,472.671875,2604736.0,0.4128628512692235,0.4262240770789858,0.1442166409401903,1513,0.00021574126569710365,0.10012879290175206
21,0.40438,509901.59227109037,472.671875,2604736.0,0.41732348372813927,0.4027241442102015,0.12634710804547586,1508,0.00021790666336371384,0.10012879290175206
22,0.46368,476761.85564257676,472.1875,2604742.4000000004,0.4183205049189153,0.367911821805799,0.1356610389092382,1532,0.00020374438275323794,0.10012903892448702
23,0.39646000000000003,566269.2986186948,472.5,2604736.0,0.40315333708320117,0.48996272693867426,0.15226799485358447,1466,0.00024199542676012597,0.10012879290175206
24,0.41156,497598.3631466902,472.3125,2604736.0,0.4148003124845362,0.4359102612452507,0.13529406654415588,1519,0.0002126488731396112,0.10012879290175206
25,0.46064000000000005,525140.3430467728,472.1953125,2604736.0,0.4191225615751618,0.39967364058721655,0.13468331660711014,1494,0.00022441895001998837,0.10012879290175206
26,0.51936,523264.35349826247,472.4375,2604736.0,0.4147184725544033,0.4378939209927649,0.1571657948167164,1500,0.00022361724508472756,0.10012879290175206
27,0.48861999999999994,445538.4425053926,472.81640625,2604736.0,0.41977255223316334,0.3570032341609445,0.14938167828989762,1563,0.00019040104380572333,0.10012879290175206
28,0.46464,536285.785759774,472.44140625,2604742.4000000004,0.4049840020842523,0.4614338807084592,0.15568189681514455,1505,0.00022918195972639917,0.10012903892448702
29,0.49139999999999995,465173.7777842514,472.6328125,2604739.2,0.4235318430437511,0.30481104428694306,0.12614177123967435,1540,0.00019879221272831255,0.10012891591311954
30,0.48138000000000003,500869.00969878153,472.5,2604736.0,0.4183433129505409,0.34348815121119813,0.13537926525506708,1534,0.00021404658534135963,0.10012879290175206
31,0.48352000000000006,511480.47102069575,472.44921875,2604742.4,0.41416995809873713,0.42044739877839576,0.1499750979864219,1504,0.0002185813978720922,0.10012903892448702
32,0.47462,490932.386026697,472.4453125,2604736.0,0.41709094162093685,0.3713405321639766,0.1374671521600703,1525,0.00020980016496867392,0.10012879290175206
33,0.5390400000000001,485661.9444609346,472.12890625,2604736.0,0.42534055194184434,0.33513925188249283,0.14567730684489652,1536,0.0002075478395132199,0.10012879290175206
34,0.5385,480160.2255027693,472.53125,2604745.6,0.4143286759536714,0.4127710491982525,0.1351584945514533,1537,0.00020519667756528601,0.10012916193585449
35,0.60174,458913.52949633263,472.4609375,2604736.0,0.4243589368811641,0.3427486632934511,0.14023903043082303,1533,0.0001961168929471507,0.10012879290175206
36,0.5213,471160.4306181476,472.20703125,2604736.0,0.4222001172406629,0.35505209630262474,0.17024714881301783,1536,0.00020135061137527675,0.10012879290175206
37,0.56414,519272.23194028303,472.6015625,2604736.0,0.42186874266005986,0.3645793042311994,0.1321065047464107,1516,0.0002219112102308902,0.10012879290175206
38,0.51776,481915.05790677236,472.51953125,2604739.2,0.4194518964590916,0.3735894642576104,0.1501188676139062,1538,0.0002059466059430651,0.10012891591311954
39,0.5014799999999999,505600.8224352498,472.94921875,2604736.0,0.4090986701284944,0.43580867411192603,0.14106748460171922,1531,0.00021606872753643155,0.10012879290175206
40,0.51184,432533.99626684544,472.72265625,2604742.4,0.4199428841470372,0.36730643948824404,0.13866232390993588,1562,0.00018484358814822456,0.10012903892448702
41,0.50732,447543.6591733717,472.58203125,2604736.0,0.42228891281068714,0.350319189989563,0.1604924469198315,1570,0.0001912579740057144,0.10012879290175206
42,0.49692,469790.5570145929,472.78125,2604739.2,0.4190972160021554,0.3626131801715749,0.12133772890606136,1548,0.0002007651953053816,0.10012891591311954
43,0.5809599999999999,413989.6636172198,472.90625,2604736.0,0.42905187225517655,0.31551636105603603,0.1417690760303987,1580,0.00017691865966547855,0.10012879290175206
44,0.47146,441795.94276413776,472.52734375,2604739.2,0.42192503264327164,0.3630951845561616,0.139843353626552,1568,0.0001888016849419392,0.10012891591311954
45,0.52622,441241.26141127804,472.66015625,2604736.0,0.42413683454514234,0.31133232467669,0.15192330367942308,1566,0.0001885646416287513,0.10012879290175206
46,0.57458,448602.77335931297,472.70703125,2604736.0,0.42802430748760506,0.29470306110656225,0.13982605829071107,1557,0.0001917105869056893,0.10012879290175206
47,0.52108,396022.979238993,472.640625,2604736.0,0.4256423304069085,0.3047492739530621,0.145756600331651,1601,0.00016924058941837308,0.10012879290175206
48,0.6392,431843.400668402,472.66015625,2604739.2,0.41866863908583596,0.35289427314895605,0.1782588594155749,1568,0.00018454846182410344,0.10012891591311954
49,0.64482,432458.7733829313,472.74609375,2604736.0,0.413841028779493,0.3256612164749279,0.12016205425073279,1580,0.0001848114416166373,0.10012879290175206
50,0.6023000000000001,468218.0587437678,472.8125,2604736.0,0.41455838756764896,0.3968939467274408,0.1437945365783761,1537,0.00020009318749733665,0.10012879290175206
51,0.58728,444204.325155027,472.27734375,2604736.0,0.4231450530186347,0.2968451451439621,0.15318985423948173,1563,0.00018983090818590895,0.10012879290175206
52,0.58592,442574.5361016861,472.77734375,2604736.0,0.42462705130461276,0.29381937798126756,0.12937537482203204,1556,0.0001891344171374727,0.10012879290175206
53,0.46814,481026.3646675594,472.81640625,2604736.0,0.43008679497216884,0.2548148119135152,0.13764316450954495,1559,0.00020556682250750402,0.10012879290175206
54,0.6208799999999999,396540.0401194931,473.12109375,2604736.0,0.42037952523400024,0.3663321151913494,0.1621493841877924,1595,0.00016946155560662097,0.10012879290175206
55,0.54768,472753.85602299933,472.81640625,2604736.0,0.42110988900497703,0.30888800087645213,0.1375143335363323,1565,0.00020203156240299118,0.10012879290175206
56,0.6548999999999999,418909.63246920845,473.06640625,2604742.4,0.4143876565247916,0.38579309968335956,0.12752073355161594,1570,0.0001790212104569267,0.10012903892448702
57,0.6369,373295.09897327266,472.8828125,2604736.0,0.43316061185306987,0.232007050249948,0.12458142279727986,1617,0.00015952782007404816,0.10012879290175206
58,0.68118,376815.3518573891,472.90234375,2604739.2,0.427313811295738,0.27229491202397155,0.1137917285009598,1606,0.00016103220164845688,0.10012891591311954
59,0.55464,448733.0536332624,472.8125,2604736.0,0.42431728365966837,0.3061685314694305,0.16975868569637093,1572,0.00019176626223643692,0.10012879290175206
60,0.5671999999999999,442367.8379469488,472.8046875,2604739.2,0.4195374510050078,0.3318444454566062,0.1442246623443984,1574,0.00018904608459271318,0.10012891591311954
61,0.60298,375204.2743195075,472.8125,2604736.0,0.4302493436135741,0.2613013507401157,0.12243165269097067,1599,0.0001603437069741485,0.10012879290175206
62,0.56798,380743.73090717325,472.99609375,2604736.0,0.4262086848493902,0.29085340088781475,0.11704841783376052,1598,0.0001627109961141766,0.10012879290175206
63,0.53976,438314.2634201934,472.21875,2604736.0,0.42611412368645646,0.2798255368201318,0.16871329401675397,1590,0.00018731378778640744,0.10012879290175206
64,0.5527599999999999,453824.1232051681,472.953125,2604736.0,0.42518909131967336,0.2784106609179845,0.13012218071376697,1551,0.0001939419329936616,0.10012879290175206
65,0.5364199999999999,402071.6148248377,470.1953125,2604739.2,0.4212728858274807,0.3144449228342894,0.12026517127233483,1597,0.00017182547642087081,0.10012891591311954
66,0.59832,463035.5989326945,470.0,2604736.0,0.43016095884756533,0.30601515469409113,0.12327511753032361,1556,0.0001978784610823481,0.10012879290175206
67,0.5960000000000001,457194.0989222324,469.6328125,2604736.0,0.4274275835240585,0.28730387649679645,0.11057794962054635,1579,0.00019538209355650957,0.10012879290175206
68,0.579,423487.6448736328,470.19140625,2604736.0,0.4282580795741831,0.30697147341018016,0.12764676745863557,1605,0.000180977626014373,0.10012879290175206
69,0.58698,406529.6481104846,473.48046875,2604736.0,0.41920446623850516,0.2893061508957623,0.15360502677190074,1594,0.00017373061885063445,0.10012879290175206
70,0.5628200000000001,424532.8200581684,470.84375,2604736.0,0.4253418722157852,0.28210947620254334,0.16613184213158635,1604,0.00018142428207614032,0.10012879290175206
71,0.5882,490089.9560948177,470.57421875,2604739.2,0.42092667982247134,0.3205945492952329,0.12969822991012292,1547,0.00020944015217727252,0.10012891591311954
72,0.57714,378579.3496100014,470.859375,2604739.2,0.43315136573588314,0.24225492086437458,0.1422759472245205,1610,0.00016178604684188093,0.10012891591311954
73,0.54102,441312.5242042375,470.4921875,2604742.4,0.4249827602856412,0.2715252522091004,0.11020686761114681,1589,0.0001885950958137767,0.10012903892448702
74,0.68844,377250.06131331885,467.734375,2604745.6,0.4360359003605705,0.22385499191929994,0.11596327365420045,1626,0.00016121797492022174,0.10012916193585449
75,0.5446199999999999,426224.0190579457,465.28125,2604739.2,0.42549857981200107,0.2707198053174203,0.12214791440008625,1602,0.00018214701669142978,0.10012891591311954
76,0.7202,408172.14242141054,465.7734375,2604736.0,0.43516948861709637,0.22419551033173885,0.11531414036526096,1595,0.00017443253949632928,0.10012879290175206
77,0.6515799999999999,376005.2839679217,468.34375,2604736.0,0.4351401509846934,0.1883858608563783,0.14420773810552528,1609,0.00016068601878971013,0.10012879290175206
78,0.5583400000000001,406263.6852007361,468.6484375,2604736.0,0.42883627914324063,0.22412817752811592,0.10548194666168138,1606,0.00017361695948749407,0.10012879290175206
79,0.5725,408030.5206074392,445.96484375,2604736.0,0.42756420616096114,0.24719274113474898,0.10371504629980052,1589,0.0001743720173536065,0.10012879290175206
80,0.607,421014.29517377913,445.98046875,2604736.0,0.43245147119565264,0.26788414131492316,0.1453218416091343,1595,0.00017992063896315346,0.10012879290175206
81,0.5673600000000001,358359.69361491804,443.1328125,2604736.0,0.4273492777144604,0.1961025071857603,0.11068431196590141,1624,0.00015314516821150344,0.10012879290175206
82,0.6425000000000001,434294.78041034186,444.1328125,2604739.2,0.41651400941865796,0.3357289651427821,0.12141934927983984,1574,0.0001855960600044196,0.10012891591311954
83,0.68236,347783.23372639104,444.44921875,2604742.4000000004,0.43538437798790997,0.21578155639789612,0.13989838459754403,1633,0.00014862531355828678,0.10012903892448702
84,0.61388,396758.97250734543,444.109375,2604739.2,0.43271732201468743,0.23058241392728598,0.1349946498221307,1607,0.00016955511645613052,0.10012891591311954
85,0.60736,374958.42197088094,443.9375,2604736.0,0.4341557343407934,0.21917768293173992,0.12239871474859798,1618,0.00016023864186789783,0.10012879290175206
86,0.64598,378651.9617992642,444.09765625,2604736.0,0.4308765264146128,0.2271881673157464,0.12362227242889154,1621,0.00016181707769199325,0.10012879290175206
87,0.4809,407686.8415513846,444.12890625,2604736.0,0.42889314510243803,0.23104547058414432,0.10388594405534488,1614,0.00017422514596213018,0.10012879290175206
88,0.6287799999999999,416606.42611399567,444.15625,2604736.0,0.4306972505018917,0.2599657767841522,0.11137681505966138,1610,0.00017803693423675029,0.10012879290175206
89,0.66208,396287.16468643636,444.30078125,2604736.0,0.4307882965874855,0.2563127240558859,0.13580565983207354,1600,0.00016935348918223776,0.10012879290175206
90,0.67418,361566.53794663894,442.90625,2604736.0,0.42773857187146225,0.268570906147866,0.12093388238097705,1617,0.00015451561450711065,0.10012879290175206
91,0.6176,441733.83647802845,442.5234375,2604736.0,0.42939619454989975,0.25824335654672237,0.1577880039547271,1581,0.00018877514379402925,0.10012879290175206
92,0.6335599999999999,385201.2884420744,442.59375,2604739.2,0.4299348599040142,0.23468390126396704,0.12475246748375057,1615,0.00016461593523165572,0.10012891591311954
93,0.63192,390301.1664470216,442.6640625,2604742.4,0.43243117180152657,0.22252679342834125,0.13075224284803705,1608,0.00016679537027650495,0.10012903892448702
94,0.61466,411452.42382784374,442.703125,2604736.0,0.43290148786543614,0.19820228119685018,0.12111650080654546,1603,0.00017583436915719817,0.10012879290175206
95,0.50756,435257.8767741367,439.578125,2604736.0,0.4262520887155672,0.2955410344174413,0.13363568818001817,1588,0.00018600763964706694,0.10012879290175206
96,0.65168,418046.2100904445,439.4375,2604739.2,0.4289842320834462,0.28089695294488165,0.11762945454379095,1582,0.000178652226534378,0.10012891591311954
97,0.65246,333203.9797705299,439.59375,2604742.4,0.42423304882163915,0.24239599721915578,0.12374697685227068,1648,0.0001423948631497991,0.10012903892448702
98,0.69814,361224.67667836795,439.3671875,2604736.0,0.4253844475204163,0.25648332480754654,0.12130054017912521,1620,0.0001543695199480205,0.10012879290175206
99,0.6540199999999999,397704.33489152807,439.578125,2604745.6,0.43053876232691135,0.23878567607306037,0.1044167568066067,1627,0.000169959117475012,0.10012916193585449
100,0.59738,321486.7314519834,439.76953125,2604736.0,0.432741008486934,0.19105779496565944,0.11530081440323545,1661,0.00013738749207349717,0.10012879290175206
