round,accuracy,flops,memory_bytes,communication_bytes,sparsity,avg_grad_norm,avg_phi,skipped_batches,effective_compute_ratio,compression_ratio,quantization_error,avg_scale_factor
1,0.7410599999999999,54432900716.0,1016.90625,21879388.8,0.057416042337800496,2.2927229216900624,0.0,19,0.9898837545279724,0.8410667299765171,6.580980428534214e-05,6043.963324547656
2,0.8507399999999998,46259176658.0,1046.5390625,21685852.8,0.05022500147525043,3.6714296146390843,0.0,298,0.8414024984330798,0.8336270024712984,9.061499474276414e-05,4886.455271261047
3,0.8790600000000002,37997563094.0,1053.58203125,20909411.200000003,0.05045000000000025,3.825675005835052,0.0,580,0.6911235463739335,0.8037797702885724,9.144156365515335e-05,5226.372303979499
4,0.8932800000000001,35331581412.0,1054.859375,20533808.0,0.0507193613614618,3.8049336998494034,0.0,671,0.6426191774659534,0.7893411880191848,9.000372256087005e-05,5713.114207863493
5,0.8989800000000001,33925349316.0,1056.7265625,20299750.4,0.05111832463420061,3.7686082581404934,0.0,719,0.6168312836926022,0.780343767567561,8.868205479134578e-05,6072.520439168786
6,0.9026200000000001,32958564750.0,1059.0859375,20152278.400000002,0.05147566192553282,3.7551243777999574,0.0,752,0.5991210732602462,0.7746747886972235,8.763162320828337e-05,6344.076844650662
7,0.9084,31816001172.0,1053.01953125,19995609.599999998,0.051795681739181074,3.761565951388957,0.0,791,0.5786195883255856,0.7686522751567473,8.684243077310223e-05,6537.437538613505
8,0.91002,30702734096.0,1054.41015625,19901353.6,0.05203644290992317,3.7055107317627667,0.0,829,0.558331539645434,0.76502897532761,8.606473619862994e-05,6703.308898883637
9,0.91364,29032833482.0,1056.26171875,19678108.799999997,0.052425122499777065,3.7007262302039097,0.0,886,0.5278925681364264,0.7564472102867026,8.543624716644427e-05,6833.484764863611
10,0.91568,28183234924.0,1057.75390625,19610620.8,0.05250841790729908,3.7053017649367836,0.0,915,0.5123246336599726,0.7538529005465395,8.491288727771463e-05,6939.839066098097
11,0.9163,28095345418.0,1063.92578125,19629833.6,0.05296252170417208,3.700233394171833,0.0,918,0.5108633326079703,0.7545914607968922,8.446680990403543e-05,7032.132308417087
12,0.9190200000000001,28183234924.0,1072.9296875,19578454.4,0.05334651497181879,3.6900016202834847,0.0,915,0.5123157086659316,0.7526163902806259,8.407753356427408e-05,7111.586644651233
13,0.9213600000000002,28681275458.0,964.7265625,19530464.0,0.053291484375593966,3.6771440137894267,0.0,898,0.5215115157293322,0.7507715888025213,8.372111052971583e-05,7179.654156100705
14,0.92316,28359013936.0,327.23828125,19515948.800000004,0.05343761839214852,3.6722846956610242,0.0,909,0.515725877595715,0.7502136092396299,8.336816217353678e-05,7240.693398231988
15,0.92512,28476199944.0,352.08203125,19419635.2,0.053829664953434206,3.6708831843770797,0.0,905,0.5179515258618876,0.7465112131012027,8.304940081695167e-05,7297.849164377092
16,0.9262,29179315992.0,353.625,19470860.8,0.054740654135692415,3.6841299703139763,0.0,881,0.5305650034256713,0.7484803790718301,8.276324054769264e-05,7351.114290507721
17,0.9275,28359013936.0,361.97265625,19392784.0,0.05474635498737381,3.6638031817454277,0.0,909,0.5158636369824962,0.745479024716674,8.245304859765494e-05,7401.015968595291
18,0.92964,28593385952.0,369.578125,19367756.8,0.054949363128241356,3.6161407630087163,0.0,901,0.5198828354642426,0.7445169528116093,8.209771785857138e-05,7454.737682261248
19,0.9311399999999999,28300420932.0,373.55859375,19288172.8,0.055005005764186946,3.6443212637524,0.0,911,0.5146648501665337,0.74145766010237,8.18051779183214e-05,7500.013857281878
