round,accuracy,flops,memory_MB,memory_saved,communication_bytes,sparsity,avg_grad_norm,avg_phi,skipped_batches,effective_compute_ratio,compression_ratio,quantization_error,avg_scale_factor
1,0.33894,45350985096.0,367.85546875,0.0,21255660.8,0.8654373066250688,2.636646427586286,0.0,331,0.8260970620687512,0.8170899692840615,9.985076804978646e-05,4309.622659738071
2,0.55466,39520981198.0,398.9453125,7659.329696655273,21244764.8,0.8207423976070232,3.4047408924281797,0.0,530,0.7173770957569111,0.8166711155777906,9.947093649382741e-05,4853.268735069678
3,0.6728799999999999,37382336552.0,408.0546875,12264.183502197266,21044089.599999998,0.8310145750615903,3.412698702955128,0.0,603,0.6798356164237853,0.8089569497117228,9.440964742184242e-05,5663.10818235403
4,0.73044,36269069476.0,405.12890625,13953.401229858398,20817824.0,0.8387933964015494,3.3697813484314154,0.0,641,0.6601008671226117,0.8002590619399139,9.002166004683633e-05,6364.2226496115
5,0.7440800000000001,34071831826.0,405.66015625,14832.72004699707,20748409.6,0.8407830687809824,3.366288492365295,0.0,716,0.6164076354537071,0.7975906993565275,8.684069149571974e-05,6892.648357928269
6,0.76622,32665599730.0,405.77734375,16568.217712402344,20651616.0,0.8448605086317335,3.312300677237804,0.0,764,0.5938168521422814,0.7938698515129783,8.433785432301479e-05,7259.625622713039
7,0.7703800000000001,32079669690.0,406.05078125,17678.93621826172,20634921.6,0.8446676005985868,3.316317594373256,0.0,784,0.5869549165704644,0.7932281012088327,8.249779419749597e-05,7534.750177546159
8,0.7807999999999999,31991780184.0,419.2734375,18141.735595703125,20557923.200000003,0.8457209328295685,3.290274385570316,0.0,787,0.5861368920807019,0.7902682016845176,8.095198162397655e-05,7765.145673446379
9,0.79418,30175397060.0,420.1484375,18211.155502319336,20455552.0,0.8527796888647577,3.2826440889018214,0.0,849,0.5469086848401788,0.78633294502745,7.96499159316492e-05,7960.103518456066
10,0.7971,29237908996.0,417.96484375,19645.833572387695,20421689.6,0.84935825419612,3.298649700822744,0.0,881,0.5285047255449766,0.7850312387367717,7.863199138738528e-05,8104.708149909886
11,0.8146800000000001,28359013936.0,419.453125,20386.312576293945,20367750.400000002,0.8517421207657214,3.273121313261261,0.0,911,0.5160360011018431,0.7829577591265209,7.766180528122598e-05,8248.086568362278
12,0.8135399999999999,28739868462.0,420.5703125,21080.511642456055,20335907.2,0.8587785414256108,3.2758040103365986,0.0,898,0.5227283718040535,0.7817336730087228,7.687264623066043e-05,8369.288877313866
13,0.8209200000000001,28739868462.0,421.58984375,20779.69204711914,20301008.0,0.8555329052159578,3.290094451190457,0.0,898,0.5237989348817391,0.7803921110349807,7.617807275282284e-05,8470.353589376806
14,0.82358,28710571960.0,423.8125,20779.69204711914,20289539.200000003,0.8559836245198811,3.277012450263306,0.0,899,0.5227814788117474,0.7799512382939308,7.553356528414169e-05,8565.853300858838
15,0.8263400000000001,28974240478.0,425.62890625,20802.83201599121,20345856.0,0.8602439887674196,3.2502680464554716,0.0,890,0.5280914811896994,0.7821161153502195,7.488935284249072e-05,8657.768569907988
16,0.8302400000000001,28417606940.0,425.953125,20594.572296142578,20234108.8,0.8627183332546453,3.2708455138248587,0.0,909,0.5124499051634943,0.7778204353864341,7.434130690786162e-05,8732.296631190442
17,0.8302400000000001,29032833482.0,427.8984375,21034.231704711914,20296691.2,0.8611354149809476,3.269060851100215,0.0,888,0.5278462093928837,0.7802261687002496,7.382440963285574e-05,8804.04893644734
18,0.83834,28007455912.0,428.83203125,20548.292358398438,20215814.4,0.8665252705925788,3.291153123970092,0.0,923,0.5100500689592209,0.7771171793985482,7.336981454773267e-05,8871.687926732262
19,0.8379199999999999,29501577514.0,431.66796875,21358.1912689209,20348582.400000002,0.8652886960001661,3.2810871837084825,0.0,872,0.5369906500358468,0.7822209210353128,7.295282075314385e-05,8935.53376267018
20,0.8587199999999999,28710571960.0,433.4609375,20178.052856445312,20201145.6,0.8647596637220767,3.2580797690690035,0.0,899,0.5170529254464922,0.7765532952900177,7.251904388670275e-05,8993.36185007148
21,0.85886,28857054470.0,435.06640625,20802.83201599121,20196544.0,0.867618291696186,3.2661340388719005,0.0,894,0.5244971800434163,0.7763764049435808,7.216550138417493e-05,9050.664282025322
22,0.8513999999999999,28622682454.0,436.5390625,20687.13217163086,20256950.4,0.8719343206129982,3.2553767657984496,0.0,902,0.5212059571765647,0.7786984905275096,7.180262768765823e-05,9111.573907564856
23,0.85824,29472281012.0,436.83984375,20872.251922607422,20238841.6,0.8726573619265039,3.2831321691194106,0.0,873,0.5308546455964911,0.7780023691989377,7.148451246888389e-05,9163.237128885557
24,0.86352,28564089450.0,438.05078125,20201.192825317383,20189635.2,0.8739009077344132,3.2530169563963396,0.0,904,0.5174703124074282,0.7761108234011905,7.115139405430765e-05,9217.19194825492
25,0.86312,28476199944.0,440.1796875,20918.531860351562,20190476.8,0.8726015230532974,3.2734923944265617,0.0,907,0.5184666905117893,0.7761431753908379,7.087482316863417e-05,9259.995872320551
26,0.87026,29091426486.0,443.34375,20987.951766967773,20183641.6,0.8756957954017786,3.2526140089446978,0.0,886,0.5257432168882034,0.7758804231098996,7.059008455791774e-05,9306.391284230125
27,0.8702200000000001,28710571960.0,444.46484375,20502.012420654297,20088339.200000003,0.87694885644009,3.241662117381574,0.0,899,0.5174958758655986,0.7722168985635962,7.029864478591647e-05,9354.797845065978
28,0.8813600000000001,28681275458.0,446.46875,20802.83201599121,20068019.2,0.8781121764114792,3.266903443658795,0.0,900,0.5190400923902843,0.7714357763800953,7.004494779308277e-05,9397.499797836022
