round,accuracy,flops,memory_MB,memory_saved,communication_bytes,sparsity,avg_grad_norm,avg_phi,skipped_batches,effective_compute_ratio,compression_ratio,quantization_error,avg_scale_factor
1,0.19405999999999998,50331390436.0,985.6640625,0.0,19326841.6,0.9287817199767465,1.8465682045980067,0.0,160,0.9189396270129857,0.742944129467004,7.603772380430458e-05,12519.367614159066
2,0.19474,46552141678.0,1013.734375,3702.39501953125,19544425.6,0.9432759393185354,1.9972382327972245,0.0,289,0.857992537746109,0.7513082873988385,7.016982872714063e-05,13885.487905172151
3,0.1951,44647869048.0,422.6796875,6687.45100402832,19633846.4,0.9457711447228085,2.034119515317968,0.0,354,0.830353180922414,0.7547457170517128,6.66469369933111e-05,14696.628818669904
4,0.19538,43065857940.0,428.77734375,8191.548980712891,19699344.0,0.9473351677699071,2.1052637172836843,0.0,408,0.8042235434948453,0.757263513721303,6.46799264697853e-05,15045.174987756105
5,0.19922,41513143334.0,430.9296875,9441.107299804688,19724355.2,0.9479317054189405,2.0747465471361015,0.0,461,0.779880295233015,0.7582249705695303,6.296049582969582e-05,15412.457421063049
6,0.20702000000000004,39726056712.0,433.296875,10667.525650024414,19693974.400000002,0.9481353712725584,2.0954446261227053,0.0,522,0.7493473627448295,0.7570571006466708,6.174786069788044e-05,15694.074746523125
7,0.21316000000000002,37265150544.0,411.37109375,12079.063751220703,19653427.200000003,0.9483091783297042,2.1089111588807183,0.0,606,0.7069542382969791,0.7554984236093257,6.077620116129559e-05,15943.626451082813
8,0.21694,35741732440.0,417.28515625,14022.82113647461,19606307.2,0.9484587721297677,2.1095139306827906,0.0,658,0.6817866904962162,0.7536870812231758,5.999857823860706e-05,16118.175956967278
9,0.22012,33515198288.0,418.91796875,15226.099517822266,19541398.4,0.948741746376378,2.1311368430297675,0.0,734,0.6385997046434558,0.751191918645202,5.938050275774663e-05,16327.859003513924
10,0.22976000000000002,30907809610.0,419.625,16984.73715209961,19337737.599999998,0.9486341648042854,2.1955082050023913,0.0,823,0.5763359714671819,0.7433629831732751,5.9107115862373185e-05,16394.272380160262
11,0.2313,30644141092.0,386.88671875,19044.194381713867,19394256.0,0.9489362859449131,2.2328096554803785,0.0,832,0.5772239057802702,0.7455356099457151,5.8919986334754875e-05,16535.03174019588
12,0.23242,31464443148.0,387.50390625,19252.4541015625,19376579.2,0.9488904008788712,2.152572459054004,0.0,804,0.5898451100344018,0.744856095151753,5.860362228443865e-05,16647.004518547303
13,0.23364,31376553642.0,388.3046875,18604.53497314453,19325427.200000003,0.9490865376989619,2.146190929151886,0.0,807,0.5870191874129039,0.7428897584425777,5.83232162734785e-05,16771.672139574286
14,0.23774,30702734096.0,332.8515625,18673.954879760742,19343936.000000004,0.9489663674439518,2.1904087535801566,0.0,830,0.5781992998038937,0.7436012561920847,5.818901654224883e-05,16853.210580383195
15,0.23542000000000002,30409769076.0,369.48046875,19206.17416381836,19274838.400000002,0.9492140501302723,2.298409240064199,0.0,840,0.5738241674359893,0.740945071734079,5.8215580233413024e-05,16970.317911166716
16,0.23679999999999998,30439065578.0,381.07421875,19437.573852539062,19299683.2,0.9490720633373038,2.1680002236921734,0.0,839,0.5704367249500759,0.7419001319911973,5.803940910835358e-05,17050.7486083335
17,0.23778000000000002,30732030598.0,382.47265625,19414.433883666992,19254371.2,0.949352156567633,2.1845257705501013,0.0,829,0.5775465991719398,0.7401582910276738,5.7867101287796625e-05,17140.17480672918
18,0.2384,31112885124.0,371.19140625,19183.03419494629,19317712.0,0.9492787241228348,2.177702950741323,0.0,816,0.5838600257746787,0.7425931780355822,5.772262161648775e-05,17262.926252039324
19,0.24058000000000002,31230071132.0,376.82421875,18882.214599609375,19299248.0,0.94915089921983,2.1592825928973194,0.0,812,0.5840655480862988,0.74188340244522,5.7542164490194976e-05,17364.568482980805
20,0.23807999999999999,30849216606.0,380.2578125,18789.654724121094,19213862.400000002,0.9491318508981313,2.1822661913877597,0.0,825,0.5797003277937536,0.7386010901267386,5.74215671901266e-05,17441.679583455694
21,0.24156,31669518662.0,382.23828125,19090.474319458008,19196835.200000003,0.9490945049560147,2.200133572916684,0.0,797,0.5889599588680108,0.7379465466403751,5.733448995152368e-05,17527.05878702052
22,0.24152000000000004,31493739650.0,373.1640625,18442.55519104004,19262953.6,0.9493324925111853,2.1434199231770585,0.0,803,0.5933806546454867,0.7404882075152565,5.7195971211699466e-05,17623.650935682912
23,0.24297999999999997,31581629156.0,380.30859375,18581.39500427246,19154566.4,0.9492794738103004,2.1678800336724757,0.0,800,0.5923364095396376,0.7363216894873256,5.709348604584502e-05,17716.334363517075
24,0.2373,31464443148.0,390.89453125,18511.97509765625,19178966.400000002,0.9493522289968637,2.1939481882397565,0.0,804,0.5934528349563946,0.7372596511643641,5.70204576647666e-05,17794.178153862427
25,0.2415,31054292120.0,398.3046875,18604.53497314453,19064496.0,0.9495342654752497,2.157274886913324,0.0,818,0.5864633314582633,0.7328592885268528,5.688364904146241e-05,17915.659677896525
