round,accuracy,flops,memory_bytes,communication_bytes,sparsity,avg_grad_norm,avg_phi,skipped_batches,effective_compute_ratio,compression_ratio
1,0.88,2581888.796313797,6484479.698015704,25697907.200000003,0.012145404356816613,0.004424217279665754,0.6608409075947399,1055,0.0013733451044222326,0.9878545956431833
2,0.9782,2564282.6093046046,6476482.850409566,25918556.8,0.0036634015349358284,0.007648231581788423,0.9346040675816164,1,0.0013639801113322365,0.9963365984650642
3,0.9837,2551180.927708666,6457140.849157311,25884035.200000003,0.004990448167315154,0.004964055323762295,0.9327783622762175,22,0.0013570111317599287,0.9950095518326849
4,0.9862,2543873.7485810695,6454115.003603003,25871385.6,0.005476712102965409,0.005140689227846451,0.8279658687818259,150,0.0013531243343516328,0.9945232878970346
5,0.9872,2560104.714939777,6452393.06450101,25846416.000000004,0.006436569803415537,0.004928405832606586,0.814099739636591,388,0.001361757827095626,0.9935634301965844
6,0.9877,2544791.211148995,6444891.857777948,25826035.2,0.0072200292028986365,0.0034797127640558757,0.7957317222465262,524,0.0013536123463558484,0.9927799707971013
7,0.9891,2542132.3839904564,6435035.609723064,25789507.200000003,0.008624203962688171,0.003763434295615298,0.7159630654140539,730,0.0013521980765906683,0.9913757960373119
8,0.9901,2542961.5901066717,6430730.83086552,25720620.8,0.011272269670440238,0.001626371065492549,0.7430128763115361,967,0.0013526391436737616,0.9887277303295597
9,0.9901,2535264.3633336346,6414347.364843106,25676099.2,0.012983726826195996,0.00537474589083331,0.70044154303854,1103,0.0013485448741136353,0.987016273173804
10,0.9893,2535663.810635389,6421003.52049677,25638611.2,0.014424804996229734,0.0015396639546565894,0.7031270696473036,1140,0.0013487573460826535,0.9855751950037703
11,0.9892,2537386.720204893,6417669.095360872,25510422.400000002,0.019352517366129772,0.0012931780813829619,0.5441045708143235,1290,0.0013496737873430282,0.9806474826338702
12,0.9904,2538983.181997504,6328493.304918118,25338176.0,0.025973850243501007,0.003822279670202988,0.6555092046177038,1470,0.0013505229691476086,0.974026149756499
13,0.9898,2535138.747623923,6370021.575651376,25217536.000000004,0.030611378797514677,0.0003936625613164324,0.5473556046546888,1494,0.0013484780572467674,0.9693886212024854
14,0.9906,2544797.6330500036,6340827.611041746,24987574.400000002,0.039451344698763616,0.0009785134700564413,0.545925764347363,1546,0.00135361576226064,0.9605486553012363
15,0.9898,2531347.9650351293,6276634.1807160005,24398230.400000002,0.062106348247641566,0.0006419154265330463,0.4674847677814366,1647,0.001346461683529324,0.9378936517523584
16,0.9909,2530609.261211152,6190817.9882069,24727728.0,0.04944011376091266,0.0006857139133611412,0.4779195448937029,1659,0.0013460687559633789,0.9505598862390874
17,0.99,2537301.485308693,6150473.23103872,20337904.0,0.21818956789796945,0.0006398844848035879,0.45080570997634234,1736,0.0013496284496322833,0.7818104321020305
18,0.9907,2538756.062291409,6234929.656323461,23164121.6,0.10954678921879173,0.0005518553060255727,0.36798740050074585,1694,0.0013504021607933026,0.8904532107812083
19,0.9911,2537463.066590022,5980931.254239894,17402544.0,0.3310278952878035,0.001658367580284903,0.42006808621730957,1802,0.001349714397122352,0.6689721047121965
20,0.9902,2532180.354993737,4466738.593742658,12924588.8,0.50316520549664,0.000675857012402048,0.41313912855557344,1853,0.0013469044441456047,0.49683479450336004
21,0.9906,2543386.3911928516,5913521.274525699,20018755.2,0.23045798362226658,0.001323016382463038,0.43065115098359613,1813,0.0013528651016983253,0.7695420163777335
22,0.9905,2537097.7129139346,5915183.872844379,14382361.600000001,0.44712688499544234,0.0005242305868250696,0.3784640064350855,1828,0.0013495200600606035,0.5528731150045576
