round,accuracy,flops,memory_bytes,communication_bytes,sparsity,avg_grad_norm,avg_phi,skipped_batches,effective_compute_ratio,compression_ratio
1,0.6257,2767648.7353961538,6486762.748654563,22223126.400000002,0.14571963495146584,0.0024307879588709724,0.5252352450505995,1094,0.001537582630775641,0.8542803650485341
2,0.6554,2632365.9817896727,6472141.830270145,22218553.6,0.14589541819559548,0.004304451679734989,0.44148996005208874,1410,0.001462425545438707,0.8541045818044045
3,0.8093,2643672.566123706,6460155.361024832,21448752.0,0.1754874017907995,0.009732042570917088,0.45510949355172625,1541,0.0014687069811798366,0.8245125982092005
4,0.9013,2609863.6242813948,6436767.4348304225,22033408.0,0.15301260989528045,0.012041342677555989,0.3700569730418711,1662,0.001449924235711886,0.8469873901047196
5,0.7949,2693589.462966566,6396094.468374393,19939049.6,0.23352195076347,0.005617921547855076,0.4394956645923787,1760,0.0014964385905369812,0.76647804923653
6,0.8451,2673080.973227814,6297035.7723551635,19764067.200000003,0.24024845836003705,0.012004611487665785,0.40711452008866783,1797,0.0014850449851265633,0.759751541639963
7,0.9198,2616333.519708788,6330289.418911522,21341337.6,0.1796165243630164,0.009206414346624748,0.36195764930492125,1779,0.0014535186220604379,0.8203834756369837
8,0.8247,2621541.3065782054,6307348.178050343,20047689.6,0.22934571483750812,0.00178096207988645,0.4105570323086809,1801,0.0014564118369878919,0.7706542851624919
9,0.9117,2657223.689805453,6300910.183007702,20179494.400000002,0.2242789996223551,0.01980978633803403,0.3478697687359433,1802,0.0014762353832252517,0.7757210003776449
10,0.9554,2634411.5194362663,6225464.235738985,20324889.6,0.21868985512951253,0.009250719457293144,0.4906185378946876,1815,0.0014635619552423702,0.7813101448704874
11,0.8952,2647069.2664515083,6333858.60600074,19429324.8,0.2531163084780665,0.001147128315358259,0.3594845169025404,1796,0.0014705940369175046,0.7468836915219336
12,0.9417,2587345.5424824934,6229978.353693355,19968003.2,0.23240894391050676,0.0031749588131081198,0.36527475565761025,1816,0.0014374141902680519,0.7675910560894932
13,0.9328,2587341.396185935,6287002.705250002,19178208.0,0.26276950252972875,0.003986586402932524,0.33434611161960903,1814,0.0014374118867699639,0.7372304974702713
14,0.9317,2573129.072371519,6219186.898648474,18688457.6,0.2815960232885121,0.0024685090010763133,0.29663381325410365,1824,0.0014295161513175106,0.7184039767114879
15,0.9585,2593390.0823342376,5905309.098919591,20121248.0,0.2265180525332346,0.0022216573858602926,0.3292485833779612,1832,0.0014407722679634653,0.7734819474667654
16,0.9275,2599184.7578538777,6149659.682137396,19084256.0,0.26638111627895533,0.0003127193924008509,0.3437320094605185,1832,0.0014439915321410432,0.7336188837210447
17,0.9584,2663705.135901992,5561685.081558997,18591395.2,0.2853272040869297,0.004570935650738761,0.4024469553427813,1852,0.0014798361866122179,0.7146727959130703
18,0.9503,2606340.437903233,6123832.310884168,18244803.200000003,0.29865056529873923,0.0014078624344840307,0.3355927821779087,1838,0.0014479669099462405,0.7013494347012608
19,0.8797,2611601.9776484743,6258644.631879873,18609379.200000003,0.2846358802016894,0.0017935834345763624,0.30495412577813774,1817,0.0014508899875824858,0.7153641197983106
20,0.9667,2579688.5141883655,5541020.734707534,17138352.0,0.341183713786991,0.003758255981867187,0.3710845884131956,1854,0.0014331602856602031,0.6588162862130089
21,0.939,2588377.7528774417,6181006.829688301,17602848.0,0.32332799874036355,0.001618108628383652,0.26709618376369815,1834,0.0014379876404874677,0.6766720012596364
22,0.9656,2625981.6943783895,5846081.122782566,18776393.6,0.2782156709101488,0.0025096269376035708,0.37646744729129844,1844,0.0014588787190991054,0.7217843290898512
23,0.9388,2602010.452279288,6245456.215391674,15838624.000000002,0.39114662585969573,0.0004817378161618535,0.26792488086583754,1825,0.0014455613623773822,0.6088533741403043
24,0.9538,2619001.5736100054,6028531.163360327,15770259.2,0.39377464071454843,0.0013988240866780188,0.2579658471666654,1843,0.0014550008742277808,0.6062253592854515
25,0.9433,2596138.3247976564,6077746.964819979,16379795.200000001,0.37034343543686876,0.000942106052410141,0.24863362487379842,1838,0.0014422990693320314,0.6296565645631312
26,0.9562,2628383.807997841,5678456.0977694355,15709494.4,0.3961105035716351,0.0014400606428104368,0.29023339329799286,1850,0.0014602132266654671,0.603889496428365
27,0.9599,2582455.4798456803,5771869.986184593,17750316.799999997,0.31765914288139363,0.0050438720672238094,0.32038601391572846,1849,0.0014346974888031557,0.6823408571186064
28,0.9678,2592315.51872572,5937156.343510474,15868326.399999999,0.390004834346742,0.000656444589151306,0.23267568640423683,1844,0.0014401752881809554,0.6099951656532581
29,0.9647,2578651.0654846756,5857224.032828043,15619948.800000003,0.39955273066784097,0.0005386787009328487,0.20044706673061868,1849,0.0014325839252692643,0.600447269332159
30,0.9729,2587716.7166405143,5629705.060499451,15941004.8,0.38721100016852555,0.0006455587584521408,0.19712145768100237,1853,0.001437620398133619,0.6127889998314744
31,0.9651,2556476.558602769,5683209.588759467,15851104.0,0.39066688152652185,0.00020363684554780548,0.18512960486862962,1853,0.0014202647547793162,0.6093331184734782
32,0.9534,2548788.117155604,5431482.869790006,15263760.0,0.41324500297072453,0.000514305321743791,0.18842640466419514,1858,0.00141599339841978,0.5867549970292755
33,0.9444,2571098.8668993493,5809694.124173825,15944707.200000001,0.38706867601635064,0.0009459532978930429,0.1779110114489878,1845,0.0014283882593885274,0.6129313239836494
34,0.9614,2581053.505985965,5510296.279904986,17495420.8,0.3274576133580504,0.001607611784135443,0.2197568416128793,1853,0.0014339186144366471,0.6725423866419495
35,0.961,2587019.6527895224,5574426.041736526,14754800.000000002,0.4328099609684931,0.0010077076088649052,0.25080271060110715,1859,0.0014372331404386236,0.5671900390315069
36,0.9675,2571596.7532891957,5669219.748494648,15882188.8,0.3894719491028166,0.0006007755311770891,0.21204568402514523,1849,0.0014286648629384421,0.6105280508971834
37,0.9636,2580862.442593217,5679744.624946952,15328044.799999999,0.4107738276094094,0.0005767194577243728,0.1997635478088849,1856,0.0014338124681073426,0.5892261723905906
