round,accuracy,flops,memory_MB,memory_saved,communication_bytes,sparsity,avg_grad_norm,avg_phi,skipped_batches,effective_compute_ratio,compression_ratio,quantization_error,avg_scale_factor
1,0.0822171740118128,124506681807.0,995.96484375,0.0,8028006.4,0.8067602272643868,1.3583489558521236,0.0,19,0.9942582123023753,0.989499383720357,3.811350902151902e-05,220377836.60856217
2,0.13581099500227167,125112001439.0,998.03125,1112.7969436645508,8051660.800000003,0.7543993312939374,1.7623140373260457,0.0,3,0.9990940545338878,0.9924149287580732,5.073129904641369e-05,170949757.02281648
3,0.20581553839164016,119285799981.0,504.3984375,175.70478057861328,8060595.200000001,0.7501476637713599,2.2954056167049486,0.0,157,0.9525726401993431,0.9935161465266479,6.778812869420365e-05,135409755.77716285
4,0.2551203998182644,107368569726.0,299.04296875,9195.216850280762,8058153.6000000015,0.7503037500000004,2.9387445139392847,0.0,472,0.8573873610553917,0.9932152048513534,8.855328940118171e-05,106608211.99264966
5,0.29352112676056336,95148679655.0,296.2265625,27644.218811035156,8054576.000000001,0.7505400000000004,3.600158662386323,0.0,795,0.7598789528731491,0.9927742444411576,0.0001114165347972301,87280036.87620956
6,0.32494320763289414,87771346640.0,302.69140625,46561.76685333252,8051539.200000001,0.7508437500000003,4.106202174062083,0.0,990,0.7008954741926978,0.9923999408371542,0.00013305183033562596,73908789.16398706
7,0.35632894139027715,81188495642.0,304.4140625,57982.57759094238,8050979.200000001,0.7512150000000004,4.592041348005449,0.0,1164,0.6483477950958108,0.9923309175171325,0.00015312540530947196,64150135.71450373
8,0.39367560199909135,76459436017.0,310.50390625,68173.45486450195,8047580.800000002,0.7516537500000005,4.9712623936642455,0.0,1289,0.6105512776513129,0.9919120445693438,0.00017056766722062377,56751448.67498441
9,0.4305315765561109,71125056760.0,315.203125,75494.48738861084,8045910.400000002,0.7521600000000002,5.203158732810141,0.0,1430,0.5679100344039127,0.9917061578661933,0.00018482456888124855,50943454.2672206
10,0.45631985461154023,65034027963.0,319.03515625,83752.61207580566,8040729.600000001,0.7527337500000003,5.337117177471279,0.0,1591,0.5193704629872198,0.9910675935512498,0.00019627758272428649,46287267.97011098
11,0.4724398000908677,65677180072.0,327.8671875,93182.10196685791,8040633.6000000015,0.7533750000000003,5.469454662800724,0.0,1574,0.5244349958253605,0.9910557609821032,0.0002060352202317872,42442714.926366016
12,0.505243071331213,67114814198.0,330.09765625,92186.4415435791,8043280.000000001,0.7540837500000004,5.540821002628443,0.0,1536,0.5359989942887357,0.9913819454715772,0.0002141972541161457,39202411.14520089
13,0.5184915947296683,64466540808.0,338.22265625,89960.84765625,8039670.4,0.7548600000000005,5.65756188187269,0.0,1606,0.5148182381458877,0.9909370408716659,0.00022136149133452466,36450596.50996445
14,0.5368287142208087,66358164658.0,347.6640625,94060.62586975098,8039155.200000002,0.7557037500000006,5.681679823196676,0.0,1556,0.5299677381600312,0.990873539417246,0.0002275253004859435,34079318.96708278
15,0.547296683325761,65374520256.0,348.0078125,91132.21286010742,8037136.000000002,0.7566150000000001,5.753591918434013,0.0,1582,0.5220896704480038,0.9906246610461963,0.00023297926875939868,32014661.648096494
16,0.5654157201272149,66660824474.0,346.72265625,92654.98762512207,8039302.4,0.7575937500000001,5.875468071870975,0.0,1548,0.5324159285807755,0.9908916826899374,0.00023800536275396506,30208424.154884588
17,0.5721944570649705,65412352733.0,346.22265625,90663.66677856445,8036342.4,0.7586400000000003,5.965667232109955,0.0,1581,0.5223741398630792,0.9905268451412513,0.0002426217385975911,28599530.953597855
18,0.5813539300318038,66244667227.0,347.5078125,92596.4193649292,8035529.6,0.7597537500000004,5.990389374156385,0.0,1559,0.5290331531910674,0.9904266627224769,0.0002467432146076278,27169990.246816546
19,0.5966560654248069,64542205762.0,348.88671875,91307.91764068604,8033430.4,0.7609350000000004,5.99525137122631,0.0,1604,0.5153888391575666,0.9901679238771385,0.0002502993612983215,25886094.323501643
20,0.5999273057701044,65336687779.0,344.015625,93943.48934936523,8030086.399999999,0.7621837500000004,6.074102343802336,0.0,1583,0.5216955465856629,0.989755756051866,0.00025366488753323507,24731761.735458173
21,0.5945115856428896,64731368147.0,355.67578125,92713.55588531494,8026176.000000001,0.7635000000000003,6.138749987762281,0.0,1599,0.5169414952474334,0.9892737760686289,0.0002568664717289103,23684524.61249938
22,0.6119036801453884,65601515118.0,361.96484375,93650.64804840088,8024038.4,0.7648837500000001,6.155083361248725,0.0,1576,0.5238273803783023,0.9890103041956319,0.00025992744660618874,22726807.374860592
23,0.6108132666969559,64882698055.0,367.41015625,92303.57806396484,8019350.400000002,0.7663350000000004,6.186263594550107,0.0,1595,0.5181408813655993,0.9884324804023074,0.0002627206240198842,21851178.971149914
24,0.6256974102680599,66433829612.0,368.19140625,93416.3750076294,8015798.400000001,0.7678537500000003,6.188032286770984,0.0,1554,0.530498658634956,0.9879946753438841,0.0002652953373028672,21045617.470882915
25,0.6350931394820536,64617870716.0,374.24609375,91015.07633972168,8007689.6000000015,0.7694400000000003,6.245820031603096,0.0,1602,0.5159761682345954,0.9869952176699699,0.0002677771173306319,20307014.65993715
26,0.6364198091776465,64844865578.0,373.984375,93826.35282897949,8002531.200000001,0.7710937500000002,6.301112014986443,0.0,1596,0.517848284842199,0.9863594142878273,0.00027015320219878785,19619181.563111078
27,0.6463062244434348,64807033101.0,380.1171875,93474.94326782227,7995657.600000001,0.7728150000000003,6.3403809529765,0.0,1597,0.5175113833745734,0.9855122023369324,0.0002723001053978779,18981108.86093966
28,0.6476328941390277,64201713469.0,388.359375,93533.51152801514,7986185.6000000015,0.7746037500000005,6.302095619018805,0.0,1613,0.5126517736407407,0.9843447221811369,0.0002742716928174364,18387999.61807845
29,0.6536665152203543,64466540808.0,392.8203125,94470.60369110107,7978281.600000001,0.7764600000000003,6.324895304242059,0.0,1606,0.5148012547224411,0.9833705073214022,0.00027609787408212395,17834622.326461576
30,0.6570104497955475,65412352733.0,382.953125,94060.62586975098,7965404.800000001,0.7783837500000004,6.352376323288665,0.0,1581,0.5223679500480205,0.9817833653798748,0.0002778318953670198,17319104.00374617
31,0.6589913675601998,65979839888.0,387.875,92596.4193649292,7957609.6000000015,0.5202500000000001,6.365378014137571,0.0,1566,0.5268354774001459,0.9808225607651728,0.0002794894762231339,16833533.853400998
32,0.6645888232621535,65752845026.0,352.27734375,91717.89546203613,7941872.0,0.5216225000000002,6.387184023275361,0.0,1572,0.5251179525485726,0.9788828082630775,0.00028107138374623014,16376770.688200528
33,0.6666787823716492,64693535670.0,360.0,92069.30502319336,7920867.200000001,0.5230400000000001,6.424955184933898,0.0,1600,0.5166385605116608,0.9762938421338067,0.00028256299661756493,15946115.614723757
34,0.664516129032258,64390875854.0,325.97265625,93709.21630859375,7902323.200000001,0.5245025000000003,6.495457624469663,0.0,1608,0.5141981581888663,0.9740081841936598,0.0002840678823711781,15541613.545731599
35,0.6735302135393002,65185357871.0,330.125,94177.76239013672,7875318.400000002,0.5260100000000002,6.425511967108612,0.0,1587,0.5205615578093263,0.9706796824927278,0.0002853775132050253,15158881.466410693
36,0.6704407087687414,64693535670.0,333.62890625,92947.82892608643,7850358.400000001,0.5275625000000002,6.5723659166212345,0.0,1600,0.5166290068524566,0.9676032145146182,0.00028681928189924256,14795643.82896766
37,0.6740027260336211,65034027963.0,368.27734375,93709.21630859375,7824841.600000001,0.5291600000000001,6.501464789321254,0.0,1591,0.5193434238082494,0.9644581176354583,0.0002880570714546138,14453057.730140671
38,0.676056338028169,66055504842.0,335.26953125,93182.10196685791,7800537.600000001,0.5308025000000001,6.549936647128672,0.0,1564,0.5274869228934448,0.9614625055465168,0.0002892916468292298,14127686.866128003
39,0.6773103134938664,64882698055.0,372.78515625,91600.75894165039,7758614.4,0.5324900000000002,6.530001081079446,0.0,1595,0.5181226210511418,0.956295222600207,0.00029042437604244345,13818282.744169835
40,0.6821081326669696,64655703193.0,394.65234375,93416.3750076294,7711420.800000001,0.5342225000000003,6.568808843427729,0.0,1601,0.5162858641108155,0.9504783316077503,0.0002915159150816269,13524874.71517228
41,0.6832348932303498,64731368147.0,418.8828125,93767.78456878662,7650390.4,0.5360000000000004,6.6063333543507525,0.0,1599,0.5169259634218905,0.9429559729823005,0.00029257270879098896,13245527.207397243
42,0.683216719672876,66395997135.0,418.171875,93650.64804840088,7579936.000000001,0.5378225000000001,6.609650240057755,0.0,1555,0.5301899586982143,0.9342720504856283,0.0002936051652056581,12979175.040004363
43,0.6827805542935029,65866342457.0,418.9921875,91073.64459991455,7493446.400000001,0.5396900000000002,6.591640616176858,0.0,1569,0.5259783958496842,0.9236116945225066,0.0002945565100184172,12724504.007413026
